Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.003246753,1.0,(49|11)
0.003091190,1.0,(15|19)
0.003051882,1.0,(35|25)
0.003048780,1.0,(40|40)
0.003045685,1.0,(23|37)
0.003025718,1.0,(29|28)
0.003003003,1.0,(46|16)
0.002915452,1.0,(49|19)
0.002894356,1.0,(39|38)
0.002656043,1.0,(4|24)
0.002638523,1.0,(28|22)
0.002635046,1.0,(36|36)
0.002631579,1.0,(1|13)
0.002628121,1.0,(43|28)
0.002610966,1.0,(24|6)
0.002500000,1.0,(40|19)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002317497,1.0,(6|3)
0.002284844,1.0,(32|35)
0.002272727,1.0,(29|24)
0.002141328,1.0,(8|35)
0.002132196,1.0,(32|34)
0.002004008,1.0,(36|23)
0.001988071,1.0,(25|32)
0.001964637,1.0,(10|21)
0.001897533,1.0,(38|44)
0.001876173,1.0,(38|43)
0.001855288,1.0,(38|41)
0.001805054,1.0,(29|34)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001769911,1.0,(34|24)
0.001740644,1.0,(36|29)
0.001724138,1.0,(37|46)
0.001672241,1.0,(38|47)
0.001620746,1.0,(39|34)
0.001620746,1.0,(40|33)
0.001589825,1.0,(22|41)
0.001529052,1.0,(36|34)
0.001512859,1.0,(36|33)
0.001282051,1.0,(24|33)
0.001207729,1.0,(30|35)
0.001166861,1.0,(31|29)
0.001092299,1.0,(34|35)
0.001083424,1.0,(31|47)
0.001043841,1.0,(17|28)
0.0007686395,1.0,(29|36)
0.0007127584,1.0,(20|39)
0.0006082725,1.0,(35|40)
