Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 32 | Contracts & Franchise Law (jpg:32,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01685393,3.0,(4|32)
0.01685393,1.0,(5|22)
0.01685393,2.0,(31|7)
0.01680672,2.0,(9|25)
0.01673640,2.0,(34|44)
0.01661129,3.0,(23|43)
0.01659751,2.0,(26|15)
0.01652892,2.0,(25|46)
0.01652892,2.0,(28|7)
0.01650943,2.0,(19|38)
0.01650165,3.0,(29|43)
0.01647786,3.0,(19|31)
0.01643836,3.0,(17|12)
0.01639344,3.0,(15|4)
0.01629630,3.0,(29|39)
0.01604278,2.0,(7|15)
0.01595745,2.0,(10|45)
0.01593626,2.0,(3|32)
0.01587302,1.0,(23|24)
0.01574803,2.0,(5|15)
0.01574803,2.0,(48|4)
0.01568628,3.0,(1|21)
0.01552795,3.0,(25|0)
0.01551724,4.0,(18|22)
0.01538462,2.0,(7|36)
0.01538462,4.0,(37|36)
0.01537279,2.0,(29|36)
0.01531394,2.0,(18|27)
0.01526718,2.0,(1|47)
0.01526718,2.0,(15|20)
0.01523546,3.0,(30|41)
0.01515152,2.0,(1|2)
0.01515152,3.0,(49|46)
0.01509434,3.0,(21|20)
0.01507538,2.0,(31|6)
0.01506591,4.0,(0|21)
0.01506591,4.0,(49|21)
0.01503759,3.0,(14|28)
0.01499250,3.0,(20|27)
0.01481481,2.0,(14|45)
0.01477833,4.0,(19|12)
0.01477833,4.0,(20|12)
0.01465201,2.0,(25|43)
0.01461378,3.0,(17|28)
0.01459854,2.0,(17|17)
0.01451028,3.0,(24|35)
0.01449275,1.0,(14|23)
0.01449275,1.0,(49|40)
0.01428571,2.0,(6|16)
0.01428571,3.0,(29|16)
0.01422764,2.0,(27|37)
0.01421801,3.0,(23|8)
0.01408451,2.0,(8|5)
0.01408451,1.0,(11|27)
0.01408451,1.0,(30|2)
0.01388889,3.0,(11|24)
0.01388889,1.0,(38|42)
0.01385042,3.0,(17|29)
0.01384083,3.0,(7|18)
0.01376518,3.0,(25|45)
0.01369863,3.0,(2|4)
0.01369863,1.0,(44|31)
0.01369863,3.0,(48|38)
0.01369863,3.0,(48|39)
0.01354241,3.0,(20|39)
0.01346801,1.0,(29|35)
0.01342282,2.0,(5|34)
0.01342282,2.0,(34|8)
0.01342282,2.0,(34|10)
0.01339286,3.0,(16|15)
0.01333333,2.0,(3|19)
0.01333333,2.0,(16|13)
0.01333333,2.0,(19|44)
0.01333333,1.0,(21|5)
0.01333333,1.0,(22|6)
0.01324503,1.0,(27|6)
0.01319261,3.0,(38|40)
0.01317957,3.0,(27|17)
0.01315789,1.0,(10|26)
0.01315789,1.0,(16|24)
0.01315789,1.0,(33|41)
0.01307190,2.0,(16|8)
0.01305483,2.0,(26|34)
0.01302932,2.0,(39|44)
0.01298701,2.0,(0|19)
0.01298701,1.0,(5|31)
0.01298701,1.0,(14|12)
0.01295337,3.0,(41|37)
0.01294498,2.0,(26|22)
0.01290323,1.0,(8|12)
0.01290323,1.0,(13|5)
0.01284797,2.0,(8|35)
0.01282051,2.0,(41|1)
0.01282051,2.0,(44|40)
0.01279318,3.0,(22|28)
0.01273885,1.0,(5|23)
0.01269036,3.0,(7|43)
0.01265823,1.0,(10|42)
0.01257862,2.0,(3|23)
0.01255230,2.0,(44|45)
0.01247772,3.0,(46|28)
0.01246883,4.0,(6|47)
0.01242236,1.0,(1|33)
0.01238390,3.0,(24|28)
0.01234568,2.0,(8|10)
0.01225490,3.0,(28|24)
0.01223242,3.0,(17|45)
0.01221264,3.0,(28|35)
0.01219512,2.0,(40|40)
0.01215805,2.0,(26|8)
0.01213172,4.0,(12|4)
0.01212121,2.0,(13|44)
0.01204819,1.0,(3|5)
0.01183432,1.0,(15|5)
0.01183432,1.0,(23|30)
0.01176471,2.0,(18|17)
0.01176471,2.0,(25|35)
0.01170960,2.0,(20|8)
0.01166181,3.0,(31|16)
0.01162791,2.0,(22|0)
0.01160093,2.0,(0|1)
0.01160093,2.0,(0|2)
0.01142857,2.0,(3|18)
0.01136364,2.0,(8|7)
0.01136364,2.0,(25|5)
0.01129944,2.0,(43|30)
0.01129944,2.0,(44|30)
0.01125704,3.0,(38|43)
0.01123596,2.0,(22|32)
0.01117318,2.0,(2|39)
0.01104972,2.0,(11|45)
0.01104972,2.0,(49|27)
0.01098901,2.0,(11|7)
0.01098901,2.0,(27|27)
0.01092896,1.0,(7|25)
0.01092896,2.0,(19|45)
0.01086957,2.0,(42|40)
0.01081917,3.0,(8|28)
0.01081081,2.0,(3|46)
0.01081081,1.0,(21|3)
0.01075269,1.0,(6|34)
0.01072386,2.0,(31|45)
0.01052632,2.0,(25|21)
0.01052632,1.0,(37|38)
0.01052632,2.0,(41|6)
0.01047120,2.0,(4|13)
0.01041667,2.0,(28|10)
0.01041667,1.0,(28|46)
0.01038961,2.0,(27|40)
0.01030928,1.0,(35|45)
0.01030928,2.0,(39|40)
0.01020408,2.0,(16|26)
0.01015228,2.0,(6|27)
0.01010101,3.0,(38|45)
0.01000000,2.0,(23|47)
0.01000000,1.0,(29|41)
0.009950249,1.0,(17|22)
0.009852217,2.0,(6|4)
0.009852217,2.0,(10|7)
0.009803922,2.0,(10|17)
0.009523810,1.0,(11|28)
0.009489917,3.0,(28|38)
0.009433962,1.0,(8|3)
0.009389671,2.0,(12|29)
0.009302326,2.0,(18|29)
0.009296149,3.0,(4|24)
0.009230769,3.0,(20|31)
0.009202454,2.0,(17|42)
0.009146341,1.0,(18|41)
0.009146341,1.0,(41|4)
0.009049774,2.0,(0|4)
0.008968610,1.0,(12|2)
0.008928572,1.0,(6|30)
0.008771930,2.0,(7|21)
0.008771930,1.0,(10|40)
0.008771930,1.0,(31|41)
0.008695652,1.0,(10|46)
0.008547009,2.0,(21|13)
0.008438818,2.0,(24|21)
0.008438818,3.0,(32|41)
0.008219178,3.0,(9|42)
0.008219178,2.0,(33|36)
0.008080808,3.0,(5|45)
0.008080808,3.0,(39|45)
0.008064516,2.0,(19|27)
0.008000000,3.0,(13|27)
0.007936508,2.0,(30|16)
0.007905139,3.0,(36|36)
0.007843138,2.0,(8|8)
0.007843138,2.0,(18|30)
0.007832898,3.0,(16|25)
0.007806401,3.0,(47|49)
0.007792208,2.0,(3|42)
0.007722008,2.0,(5|4)
0.007692308,1.0,(22|25)
0.007633588,2.0,(16|1)
0.007604563,2.0,(36|43)
0.007518797,3.0,(27|41)
0.007497657,2.0,(28|36)
0.007444169,3.0,(25|26)
0.007380074,2.0,(2|19)
0.007380074,2.0,(8|38)
0.007380074,2.0,(41|36)
0.007352941,2.0,(30|25)
0.007299270,2.0,(24|16)
0.007142857,1.0,(28|48)
0.007142857,1.0,(45|29)
0.007092198,1.0,(12|45)
0.007032349,4.0,(14|25)
0.006993007,2.0,(15|6)
0.006993007,2.0,(48|5)
0.006968641,2.0,(44|32)
0.006960557,2.0,(19|32)
