Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:6)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.003676471,1.0,(18|39)
0.003676471,1.0,(30|25)
0.003623188,1.0,(12|6)
0.003614458,2.0,(24|30)
0.003614458,2.0,(24|31)
0.003610108,1.0,(29|34)
0.003603604,2.0,(16|2)
0.003412969,1.0,(44|44)
0.003395586,1.0,(22|39)
0.003307607,1.0,(29|47)
0.003300330,1.0,(26|33)
0.003289474,1.0,(27|24)
0.003257329,1.0,(39|44)
0.003250271,2.0,(31|47)
0.003125000,1.0,(13|46)
0.003115265,1.0,(38|29)
0.003091190,1.0,(15|19)
0.002976191,1.0,(16|42)
0.002962963,1.0,(12|5)
0.002915452,1.0,(14|36)
0.002915452,1.0,(45|39)
0.002754821,1.0,(7|20)
0.002695418,1.0,(37|8)
0.002688172,1.0,(18|34)
0.002680965,1.0,(21|46)
0.002659574,1.0,(31|2)
0.002656043,2.0,(4|24)
0.002577320,1.0,(29|27)
0.002538071,1.0,(7|43)
0.002512563,1.0,(10|29)
0.002493766,1.0,(6|47)
0.002481390,1.0,(9|3)
0.002450980,1.0,(28|24)
0.002415459,1.0,(9|18)
0.002369668,1.0,(35|34)
0.002358491,1.0,(19|38)
0.002227172,1.0,(42|41)
0.002141328,1.0,(15|44)
0.002096436,1.0,(48|44)
0.002087683,1.0,(5|43)
0.002057613,1.0,(27|45)
0.002053388,1.0,(28|6)
0.002020202,1.0,(39|45)
0.001964637,1.0,(21|31)
0.001879699,1.0,(9|7)
0.001855288,1.0,(38|41)
0.001798561,1.0,(38|48)
0.001697793,1.0,(17|40)
0.001672241,1.0,(20|44)
0.001582279,1.0,(28|5)
0.001369863,1.0,(33|36)
0.001290323,1.0,(17|36)
0.001282051,1.0,(24|33)
0.001242236,1.0,(4|30)
0.001029866,1.0,(19|31)
0.001015228,1.0,(23|37)
0.0009242144,1.0,(15|40)
0.0008361204,1.0,(38|47)
