Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 6 | Employment Non-Litigation (jpg:6,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.005509642,1.0,(21|28)
0.005494506,1.0,(6|31)
0.005494506,2.0,(11|7)
0.005494506,1.0,(27|27)
0.005405406,1.0,(3|46)
0.005376344,2.0,(18|34)
0.005376344,1.0,(23|31)
0.005376344,1.0,(38|6)
0.005319149,1.0,(15|31)
0.005319149,1.0,(31|2)
0.005128205,1.0,(28|18)
0.005128205,1.0,(29|17)
0.005093378,1.0,(17|40)
0.005050505,1.0,(38|45)
0.005037783,2.0,(0|37)
0.005012531,2.0,(23|18)
0.004926108,1.0,(3|26)
0.004926108,2.0,(26|0)
0.004889976,1.0,(48|15)
0.004716981,1.0,(16|38)
0.004636785,3.0,(15|19)
0.004634994,2.0,(6|3)
0.004608295,1.0,(21|43)
0.004566210,2.0,(13|31)
0.004524887,1.0,(45|7)
0.004484305,1.0,(12|2)
0.004464286,1.0,(16|15)
0.004291845,1.0,(26|18)
0.004282655,1.0,(12|28)
0.004089979,2.0,(22|8)
0.003968254,1.0,(29|40)
0.003846154,1.0,(7|36)
0.003846154,1.0,(15|13)
0.003816794,1.0,(35|43)
0.003802281,1.0,(24|26)
0.003745318,1.0,(45|16)
0.003690037,1.0,(8|38)
0.003663004,1.0,(13|38)
0.003663004,2.0,(25|43)
0.003656307,1.0,(16|29)
0.003623188,1.0,(16|20)
0.003584229,1.0,(11|20)
0.003496503,1.0,(4|10)
0.003484321,1.0,(1|1)
0.003472222,1.0,(42|3)
0.003460208,1.0,(7|18)
0.003460208,1.0,(43|36)
0.003448276,1.0,(31|46)
0.003424658,1.0,(28|47)
0.003367003,1.0,(29|22)
0.003367003,1.0,(31|22)
0.003307607,1.0,(29|47)
0.003289474,1.0,(21|47)
0.003125000,1.0,(49|48)
0.003120125,2.0,(20|35)
0.003105590,1.0,(25|0)
0.003067485,1.0,(17|42)
0.003067485,1.0,(25|41)
0.003007519,2.0,(19|43)
0.003007519,2.0,(35|44)
0.002923977,1.0,(13|7)
0.002775208,1.0,(26|35)
0.002770083,1.0,(1|11)
0.002739726,2.0,(18|48)
0.002739726,1.0,(27|36)
0.002610966,1.0,(16|25)
0.002597403,1.0,(3|42)
0.002493766,1.0,(32|3)
0.002481390,1.0,(25|26)
0.002450980,2.0,(28|24)
0.002418380,2.0,(24|35)
0.002293578,1.0,(22|43)
0.002202643,1.0,(18|15)
0.002159827,1.0,(46|46)
0.002141328,1.0,(8|35)
0.002081166,1.0,(21|37)
0.002032520,1.0,(27|37)
0.001949318,1.0,(41|48)
0.001897533,1.0,(28|33)
0.001893939,1.0,(19|18)
0.001876173,1.0,(38|43)
0.001848429,1.0,(15|40)
0.001650165,1.0,(26|33)
0.001572327,1.0,(23|16)
0.001406470,1.0,(14|25)
0.001385042,1.0,(30|41)
0.001383126,1.0,(7|30)
0.001375516,1.0,(26|41)
0.001186240,1.0,(26|40)
0.001131222,1.0,(16|49)
0.001029866,1.0,(19|31)
0.0005012531,1.0,(22|35)
