Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:19)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01104972,1.0,(31|25)
0.01104972,1.0,(33|25)
0.01104972,2.0,(49|27)
0.01095890,2.0,(9|42)
0.01095890,1.0,(27|36)
0.01084011,2.0,(25|28)
0.01076095,2.0,(29|36)
0.01071429,2.0,(4|27)
0.01071429,1.0,(28|48)
0.01071429,2.0,(29|16)
0.01060071,2.0,(22|29)
0.01058201,2.0,(2|33)
0.01048951,1.0,(15|6)
0.01041667,2.0,(3|37)
0.01041667,1.0,(22|20)
0.01041667,2.0,(28|10)
0.01030928,1.0,(35|45)
0.01020408,2.0,(34|20)
0.01015228,2.0,(6|27)
0.01015228,2.0,(8|21)
0.01012658,2.0,(20|17)
0.01007557,2.0,(0|37)
0.01006711,2.0,(40|34)
0.01005025,2.0,(23|22)
0.01000000,2.0,(2|36)
0.009975063,2.0,(38|28)
0.009950249,2.0,(0|5)
0.009950249,2.0,(43|46)
0.009852217,2.0,(40|36)
0.009852217,2.0,(40|46)
0.009708738,3.0,(22|18)
0.009615385,2.0,(27|26)
0.009523810,1.0,(28|44)
0.009478673,2.0,(40|21)
0.009416196,1.0,(20|20)
0.009389671,1.0,(34|19)
0.009345794,2.0,(23|25)
0.009280742,2.0,(20|19)
0.009259259,2.0,(44|10)
0.009174312,2.0,(49|37)
0.009146341,2.0,(39|37)
0.009090909,2.0,(0|25)
0.009090909,2.0,(42|34)
0.009077156,2.0,(7|31)
0.009009009,2.0,(20|42)
0.008968610,1.0,(12|2)
0.008928572,1.0,(13|26)
0.008928572,2.0,(22|12)
0.008849557,1.0,(22|30)
0.008823530,2.0,(41|23)
0.008658009,1.0,(0|49)
0.008620690,1.0,(30|42)
0.008620690,1.0,(49|36)
0.008583691,2.0,(46|32)
0.008547009,2.0,(37|49)
0.008528785,2.0,(22|13)
0.008528785,2.0,(22|28)
0.008510638,2.0,(22|26)
0.008333334,2.0,(38|12)
0.008264462,1.0,(0|46)
0.008264462,1.0,(10|39)
0.008253095,1.0,(26|41)
0.008213553,1.0,(28|6)
0.008130081,1.0,(7|3)
0.008130081,1.0,(7|14)
0.008108108,1.0,(42|30)
0.008097166,2.0,(41|22)
0.008042895,3.0,(3|22)
0.008000000,2.0,(36|45)
0.007874016,2.0,(41|7)
0.007874016,2.0,(42|22)
0.007843138,2.0,(1|21)
0.007843138,1.0,(6|11)
0.007843138,1.0,(7|11)
0.007838746,2.0,(23|33)
0.007751938,2.0,(35|32)
0.007692308,2.0,(15|13)
0.007692308,1.0,(19|19)
0.007640879,3.0,(19|34)
0.007604563,1.0,(44|48)
0.007575758,1.0,(19|18)
0.007490637,2.0,(41|8)
0.007453416,2.0,(4|30)
0.007407407,1.0,(24|32)
0.007380074,2.0,(41|36)
0.007334963,1.0,(11|35)
0.007326007,1.0,(13|38)
0.007299270,2.0,(32|15)
0.007287449,1.0,(25|45)
0.007255139,2.0,(24|35)
0.007246377,2.0,(33|4)
0.007246377,2.0,(34|5)
0.007194245,2.0,(38|48)
0.007142857,2.0,(35|15)
0.006993007,2.0,(48|5)
0.006968641,2.0,(44|32)
0.006932409,2.0,(12|4)
0.006920415,2.0,(39|23)
0.006861064,2.0,(30|5)
0.006802721,1.0,(5|21)
0.006734007,2.0,(31|36)
0.006688963,2.0,(20|44)
0.006666667,1.0,(2|49)
