Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000570711,0.530823, 0.227196
us_000570669,0.530823, 0.227301
us_000570642,0.530823, 0.227301
us_000570641,0.530823, 0.227301
us_000491307,0.530823, 0.227336
us_000599536,0.530823, 0.227364
us_000464751,0.530823, 0.227545
us_000464287,0.530823, 0.227545
us_000487716,0.530823, 0.227545
us_000464282,0.530823, 0.227545
us_000462552,0.530823, 0.227545
us_000550643,0.530823, 0.227545
us_000473781,0.530823, 0.227545
us_000396932,0.530823, 0.227694
us_000459254,0.530823, 0.227748
us_000599337,0.530823, 0.227778
us_000570591,0.530823, 0.228334
us_000396901,0.530823, 0.228393
us_000491185,0.530823, 0.228508
us_000459441,0.530823, 0.228693
us_000377530,0.530823, 0.228761
us_000486377,0.530823, 0.228808
us_000478526,0.530823, 0.228808
us_000570936,0.530823, 0.228956
us_000517439,0.530823, 0.229245
us_000254799,0.530823, 0.229393
us_000491730,0.530823, 0.229504
us_000284365,0.530823, 0.229563
us_000409409,0.530823, 0.229595
us_000517381,0.530823, 0.229669
us_000599203,0.530823, 0.229698
us_000491271,0.530823, 0.229915
us_000538386,0.530823, 0.230271
us_000599522,0.530823, 0.230860
us_000517404,0.530823, 0.231009
us_000467694,0.530823, 0.231167
us_000491164,0.530823, 0.231173
us_000475310,0.530823, 0.231183
us_000600513,0.530823, 0.231450
us_000065379,0.530823, 0.231566
us_000491455,0.530823, 0.231623
us_000504226,0.530823, 0.231716
us_000506436,0.530823, 0.231790
us_000468617,0.530823, 0.231809
us_000475305,0.530823, 0.232116
us_000461175,0.530823, 0.232145
us_000453806,0.530823, 0.233152
us_000551288,0.530823, 0.233572
us_000551070,0.530823, 0.234066
us_000599579,0.530823, 0.235237
us_000478686,0.530823, 0.237217
us_000491741,0.530823, 0.237357
us_000506392,0.530823, 0.238480
us_000517410,0.530823, 0.238493
us_000426102,0.530823, 0.239358
us_000491578,0.530823, 0.239427
us_000467693,0.530823, 0.239904
us_000599550,0.530823, 0.241040
us_000599161,0.530823, 0.241182
us_000491483,0.530823, 0.241203
us_000570782,0.530823, 0.241233
us_000499345,0.530823, 0.245530
us_000551064,0.530823, 0.248708
us_000551493,0.530823, 0.249431
us_000517484,0.530823, 0.249647
us_000473675,0.530823, 0.252013
us_000468696,0.530823, 0.252390
us_000468663,0.530823, 0.253986
us_000487720,0.530823, 0.256094
us_000600578,0.530823, 0.262878
us_000491160,0.530823, 0.264489
us_000517572,0.530823, 0.266206
us_000499333,0.530823, 0.267066
us_000491298,0.530823, 0.270075
us_000570682,0.530823, 0.282537
us_000538374,0.530823, 0.283921
us_000499129,0.530823, 0.284530
us_000504104,0.530823, 0.288987
us_000570560,0.530823, 0.289841
us_000253901,0.530823, 0.292345
us_000583858,0.530823, 0.295035
us_000478554,0.530823, 0.295920
us_000472583,0.530823, 0.301672
us_000570846,0.530823, 0.306801
