Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000589076,0.137370, 0.155215
us_000470888,0.137370, 0.158230
us_000518217,0.137370, 0.159833
us_000608834,0.137370, 0.160140
us_000582227,0.137370, 0.163960
us_000478047,0.137370, 0.164345
us_000482673,0.137370, 0.165712
us_000485099,0.137370, 0.166742
us_000615903,0.137370, 0.166826
us_000545266,0.137370, 0.168505
us_000119888,0.137370, 0.169723
us_000473192,0.137370, 0.169963
us_000533451,0.137370, 0.170018
us_000217870,0.137370, 0.171942
us_000585992,0.137370, 0.172463
us_000586705,0.137370, 0.173094
us_000507684,0.137370, 0.177133
us_000469794,0.137370, 0.177737
us_000611206,0.137370, 0.178305
us_000522380,0.137370, 0.178417
us_000533450,0.137370, 0.178552
us_000540616,0.137370, 0.178756
us_000578821,0.137370, 0.179432
us_000587904,0.137370, 0.181009
us_000486778,0.137370, 0.181041
us_000598303,0.137370, 0.183516
us_000522965,0.137370, 0.183620
us_000492379,0.137370, 0.183750
us_000606464,0.137370, 0.183781
us_000110410,0.137370, 0.184093
us_000568672,0.137370, 0.184822
us_000489488,0.137370, 0.185270
us_000594814,0.137370, 0.185499
us_000524967,0.137370, 0.187195
us_000520229,0.137370, 0.187266
us_000586734,0.137370, 0.188616
us_000540159,0.137370, 0.189561
us_000583280,0.137370, 0.189609
us_000583173,0.137370, 0.189944
us_000538941,0.137370, 0.190061
us_000465363,0.137370, 0.191195
us_000601135,0.137370, 0.192161
us_000549673,0.137370, 0.192628
us_000136677,0.137370, 0.192786
us_000144350,0.137370, 0.193558
us_000479914,0.137370, 0.193735
us_000493114,0.137370, 0.194369
us_000556007,0.137370, 0.194999
us_000542902,0.137370, 0.195450
us_000461189,0.137370, 0.195472
us_000497148,0.137370, 0.195780
us_000549551,0.137370, 0.196356
us_000615850,0.137370, 0.196675
us_000586646,0.137370, 0.196676
us_000499389,0.137370, 0.197966
us_000566082,0.137370, 0.198483
us_000482232,0.137370, 0.199713
us_000499244,0.137370, 0.200028
us_000467470,0.137370, 0.200394
us_000470381,0.137370, 0.200526
us_000508827,0.137370, 0.200731
us_000582923,0.137370, 0.201050
us_000558580,0.137370, 0.201750
us_000089785,0.137370, 0.201979
us_000483893,0.137370, 0.202886
us_000450646,0.137370, 0.203639
us_000564590,0.137370, 0.204184
us_000566306,0.137370, 0.204268
us_000476692,0.137370, 0.204616
us_000596650,0.137370, 0.204824
us_000534919,0.137370, 0.204828
us_000214097,0.137370, 0.205045
us_000580078,0.137370, 0.205088
us_000588890,0.137370, 0.206817
us_000560138,0.137370, 0.206861
us_000574351,0.137370, 0.206961
us_000578101,0.137370, 0.207240
us_000498916,0.137370, 0.207323
us_000471523,0.137370, 0.207331
us_000477575,0.137370, 0.207494
us_000594062,0.137370, 0.207657
us_000572196,0.137370, 0.208675
pr_000404993,0.137370, 0.209776
us_000499634,0.137370, 0.209875
us_000596345,0.137370, 0.210537
us_000514608,0.137370, 0.211134
us_000490099,0.137370, 0.211735
us_000460275,0.137370, 0.212825
us_000564521,0.137370, 0.213597
us_000474274,0.137370, 0.213703
us_000482669,0.137370, 0.214784
us_000597664,0.137370, 0.214874
us_000550685,0.137370, 0.215113
us_000472364,0.137370, 0.216197
us_000610147,0.137370, 0.216912
us_000095541,0.137370, 0.216912
us_000593953,0.137370, 0.216912
us_000559354,0.137370, 0.216912
us_000489390,0.137370, 0.217554
us_000615851,0.137370, 0.217642
us_000547035,0.137370, 0.218388
us_000573388,0.137370, 0.218388
us_000582974,0.137370, 0.218388
us_000592178,0.137370, 0.218545
us_000526947,0.137370, 0.218575
pr_000581139,0.137370, 0.218716
pr_001903470,0.137370, 0.218918
us_000572915,0.137370, 0.219463
us_000577996,0.137370, 0.219526
us_000599272,0.137370, 0.219572
us_000267081,0.137370, 0.220222
us_000594603,0.137370, 0.220467
us_000500786,0.137370, 0.220857
us_000477071,0.137370, 0.221525
us_000497806,0.137370, 0.221896
us_000500819,0.137370, 0.222095
us_000537821,0.137370, 0.222187
us_000467759,0.137370, 0.222268
us_000011324,0.137370, 0.222692
us_000472470,0.137370, 0.222920
us_000477686,0.137370, 0.222967
us_000556665,0.137370, 0.223079
us_000520531,0.137370, 0.223161
us_000562501,0.137370, 0.223258
us_000478363,0.137370, 0.223535
us_000558712,0.137370, 0.223542
pr_001903469,0.137370, 0.224028
us_000582186,0.137370, 0.224076
us_000468071,0.137370, 0.224251
pr_002132277,0.137370, 0.224575
us_000475032,0.137370, 0.224808
us_000598672,0.137370, 0.224929
us_000498922,0.137370, 0.225290
us_000579027,0.137370, 0.225542
us_000468015,0.137370, 0.225791
us_000465803,0.137370, 0.225791
us_000468460,0.137370, 0.226020
us_000547643,0.137370, 0.226690
us_000598226,0.137370, 0.226690
us_000533728,0.137370, 0.226690
us_000578625,0.137370, 0.227311
us_000539359,0.137370, 0.227435
us_000468029,0.137370, 0.227985
us_000561221,0.137370, 0.228703
us_000477664,0.137370, 0.228810
us_000476841,0.137370, 0.228970
us_000607373,0.137370, 0.230544
us_000485946,0.137370, 0.230660
us_000594051,0.137370, 0.231365
us_000315807,0.137370, 0.231609
us_000598367,0.137370, 0.232278
us_000480928,0.137370, 0.232288
us_000590279,0.137370, 0.232463
us_000520910,0.137370, 0.232779
us_000531168,0.137370, 0.233019
us_000557635,0.137370, 0.233162
us_000207895,0.137370, 0.233237
us_000529535,0.137370, 0.233309
