Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02564103,2.0,(3|43)
0.02564103,2.0,(9|38)
0.02555910,3.0,(22|28)
0.02550091,3.0,(30|5)
0.02547771,2.0,(15|22)
0.02531646,3.0,(6|24)
0.02531646,1.0,(11|7)
0.02508961,2.0,(24|0)
0.02507837,3.0,(21|36)
0.02500000,2.0,(26|15)
0.02500000,2.0,(33|3)
0.02484472,2.0,(6|32)
0.02483070,2.0,(8|14)
0.02479339,1.0,(8|2)
0.02469136,3.0,(3|29)
0.02453988,2.0,(1|41)
0.02453988,3.0,(26|31)
0.02450980,2.0,(15|29)
0.02439024,2.0,(37|3)
0.02439024,2.0,(39|6)
0.02427184,2.0,(2|29)
0.02424242,2.0,(28|11)
0.02409638,2.0,(35|6)
0.02403846,3.0,(19|22)
0.02380952,1.0,(10|2)
0.02380952,2.0,(11|21)
0.02380952,2.0,(12|22)
0.02375297,3.0,(21|33)
0.02369668,2.0,(44|32)
0.02365591,3.0,(5|20)
0.02365591,3.0,(6|19)
0.02352941,1.0,(0|28)
0.02352941,2.0,(26|21)
0.02333333,3.0,(32|15)
0.02330508,3.0,(21|14)
0.02325581,2.0,(6|25)
0.02315789,2.0,(36|21)
0.02307692,3.0,(26|49)
0.02302632,3.0,(27|11)
0.02298851,1.0,(13|41)
0.02298851,1.0,(13|42)
0.02298851,2.0,(20|27)
0.02290076,1.0,(8|0)
0.02290076,1.0,(9|4)
0.02285714,2.0,(11|27)
0.02281369,3.0,(10|23)
0.02247191,2.0,(29|46)
0.02234637,3.0,(25|28)
0.02222222,2.0,(37|36)
0.02222222,2.0,(47|8)
0.02205882,1.0,(14|29)
0.02197802,2.0,(3|11)
0.02197802,2.0,(10|31)
0.02197802,2.0,(36|33)
0.02197802,2.0,(47|10)
0.02185792,2.0,(7|27)
0.02183406,3.0,(17|25)
0.02173913,2.0,(39|36)
0.02162162,2.0,(13|43)
0.02150538,1.0,(22|22)
0.02127660,1.0,(8|26)
0.02127660,1.0,(29|1)
0.02127660,3.0,(29|44)
0.02127660,2.0,(40|26)
0.02116402,3.0,(38|28)
0.02109705,3.0,(34|49)
0.02102804,2.0,(48|33)
0.02097902,1.0,(12|42)
0.02097902,1.0,(18|27)
0.02094241,2.0,(47|24)
0.02091255,1.0,(19|28)
0.02090592,2.0,(1|38)
0.02090592,2.0,(2|38)
0.02083333,2.0,(41|27)
0.02064220,1.0,(25|33)
0.02061856,2.0,(2|2)
0.02051282,2.0,(33|5)
0.02040816,2.0,(47|35)
0.02034884,3.0,(48|15)
0.02030457,2.0,(37|48)
0.02020202,3.0,(12|41)
0.02020202,2.0,(45|11)
0.01980198,1.0,(8|32)
0.01978417,3.0,(37|23)
0.01976285,2.0,(2|32)
0.01955990,3.0,(29|28)
0.01945525,2.0,(20|25)
0.01945525,3.0,(26|34)
0.01941748,2.0,(31|7)
0.01930502,3.0,(23|21)
0.01904762,1.0,(33|48)
0.01904762,2.0,(43|30)
0.01886792,2.0,(25|49)
0.01875000,3.0,(32|6)
0.01869159,2.0,(3|6)
0.01860465,3.0,(16|32)
0.01851852,2.0,(9|37)
0.01851852,1.0,(10|5)
0.01851852,2.0,(10|37)
0.01832461,3.0,(31|6)
0.01818182,1.0,(12|31)
0.01818182,2.0,(25|14)
0.01801802,2.0,(43|14)
0.01793722,2.0,(8|12)
0.01785714,2.0,(28|45)
0.01780416,2.0,(20|24)
0.01762114,2.0,(24|31)
0.01754386,2.0,(4|11)
0.01754386,3.0,(15|34)
0.01754386,2.0,(22|25)
0.01754386,1.0,(25|35)
0.01739130,2.0,(5|26)
0.01739130,2.0,(8|46)
0.01731602,2.0,(4|31)
0.01724138,1.0,(26|11)
0.01702128,2.0,(41|12)
0.01692047,2.0,(24|20)
0.01675978,3.0,(35|22)
0.01673640,1.0,(11|41)
0.01673640,2.0,(15|17)
0.01666667,1.0,(11|37)
0.01666667,1.0,(44|9)
0.01652892,2.0,(44|1)
0.01642512,3.0,(25|23)
0.01639344,1.0,(28|26)
0.01639344,1.0,(34|26)
0.01626016,2.0,(16|5)
0.01612903,2.0,(1|25)
0.01612903,1.0,(12|3)
0.01612903,1.0,(18|28)
0.01606426,2.0,(30|23)
0.01606426,2.0,(39|49)
0.01602564,1.0,(14|34)
0.01600000,2.0,(18|29)
0.01595745,3.0,(34|6)
0.01568628,2.0,(5|25)
0.01565558,2.0,(27|5)
0.01562500,1.0,(17|5)
0.01550388,2.0,(1|18)
0.01550388,3.0,(17|8)
0.01550388,2.0,(38|49)
0.01542416,2.0,(45|16)
0.01538462,2.0,(8|33)
0.01503759,2.0,(13|5)
0.01500000,2.0,(21|26)
0.01500000,2.0,(23|26)
0.01492537,2.0,(35|48)
0.01492537,2.0,(36|49)
0.01486989,2.0,(5|29)
0.01459854,2.0,(38|39)
0.01459854,2.0,(43|45)
0.01449275,1.0,(12|23)
0.01449275,2.0,(15|1)
0.01444043,2.0,(29|15)
0.01438849,2.0,(6|30)
0.01438849,2.0,(46|34)
0.01433692,2.0,(42|37)
0.01428571,3.0,(20|26)
0.01423488,2.0,(43|24)
0.01418440,3.0,(11|19)
0.01418440,2.0,(31|0)
0.01408451,1.0,(11|23)
0.01406250,3.0,(27|32)
0.01388889,1.0,(26|12)
0.01382488,2.0,(48|29)
0.01379310,2.0,(8|43)
0.01360544,2.0,(16|15)
0.01355932,2.0,(7|29)
0.01349693,3.0,(26|29)
0.01346801,2.0,(2|49)
0.01345291,2.0,(44|29)
0.01333333,1.0,(12|32)
0.01324503,2.0,(10|12)
0.01324503,2.0,(37|11)
0.01321586,1.0,(24|49)
0.01315789,1.0,(9|48)
0.01298701,1.0,(25|29)
0.01295896,2.0,(37|12)
0.01294498,2.0,(7|31)
0.01294498,2.0,(18|15)
0.01290323,3.0,(24|21)
0.01276596,1.0,(13|18)
0.01273885,2.0,(4|33)
0.01265823,2.0,(0|20)
0.01265823,1.0,(12|39)
0.01265823,2.0,(33|0)
0.01261830,3.0,(35|4)
0.01257862,2.0,(48|18)
0.01250000,1.0,(8|5)
0.01250000,1.0,(45|20)
0.01238390,2.0,(49|2)
0.01230769,2.0,(37|37)
0.01219512,1.0,(17|20)
0.01217039,2.0,(42|27)
0.01212121,2.0,(37|13)
0.01208459,1.0,(27|36)
