Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
pr_001028509,0.773700,0.000000
pr_001058930,0.773700,0.000000
pr_001048809,0.773700,0.000000
pr_001048479,0.773700,0.000000
pr_000921715,0.773700,0.000000
pr_000346751,0.773700,0.000000
pr_000387713,0.773700,0.000000
us_000542420,0.773700,0.000000
us_000585843,0.773700,0.000000
us_000585844,0.773700,0.000000
pr_001006125,0.773700,0.000000
pr_002115692,0.773700,0.000001
pr_000268548,0.773700,0.000002
us_000576496,0.773700,0.001439
us_000504841,0.773700,0.398626
us_000597608,0.773700,0.516957
us_000588406,0.773700,0.532038
us_000571825,0.773700,0.558131
us_000562611,0.773700,0.577351
us_000580589,0.773700,0.596660
us_000622645,0.773700,0.609174
us_000617077,0.773700,0.612562
us_000614094,0.773700,0.629983
us_000563735,0.773700,0.634487
us_000565095,0.773700,0.641635
us_000573353,0.773700,0.647062
us_000565653,0.773700,0.648349
us_000545965,0.773700,0.650980
us_000504860,0.773700,0.651709
us_000591878,0.773700,0.654157
us_000581085,0.773700,0.654887
us_000567040,0.773700,0.657047
us_000554891,0.773700,0.657661
us_000568364,0.773700,0.659298
us_000596677,0.773700,0.660194
us_000597565,0.773700,0.661415
us_000619863,0.773700,0.661840
us_000590457,0.773700,0.663246
us_000589647,0.773700,0.664931
us_000610450,0.773700,0.665107
us_000493480,0.773700,0.666183
us_000617909,0.773700,0.666268
us_000460136,0.773700,0.667733
us_000564371,0.773700,0.668603
us_000615897,0.773700,0.669773
us_000597574,0.773700,0.670326
us_000552453,0.773700,0.672851
us_000590454,0.773700,0.673982
us_000596507,0.773700,0.674306
us_000565632,0.773700,0.677299
us_000561571,0.773700,0.678201
us_000604098,0.773700,0.682739
us_000617970,0.773700,0.716797
us_000615343,0.773700,1.188511
pr_000626287,0.713608,0.000000
pr_001023495,0.713608,0.000000
pr_001652129,0.713608,0.000000
pr_000718879,0.713608,0.000000
pr_000517964,0.713608,0.000000
us_000574067,0.713608,0.000000
pr_001044302,0.713608,0.000000
us_000546788,0.713608,0.000000
us_000620451,0.713608,0.000001
us_000517933,0.713608,0.000014
us_000575688,0.713608,0.000020
pr_002197788,0.713608,0.000031
us_000590245,0.713608,0.000047
us_000575752,0.713608,0.000072
us_000568995,0.713608,0.000363
us_000520732,0.713608,0.000501
us_000571616,0.713608,0.013169
us_000599941,0.713608,0.016300
pr_000199888,0.642791,0.000000
pr_001363085,0.642791,0.000000
pr_000408850,0.642791,0.000000
us_000603921,0.642791,0.000000
us_000496772,0.642791,0.000000
pr_001314691,0.642791,0.000000
us_000552330,0.642791,0.000000
us_000495644,0.642791,0.000001
pr_001207449,0.642791,0.000002
pr_001477869,0.642791,0.000003
pr_000755678,0.642791,0.000005
us_000549298,0.642791,0.000043
us_000552607,0.642791,0.000081
us_000573974,0.642791,0.000123
us_000479368,0.642791,0.000843
us_000487419,0.642410,0.000000
pr_000540947,0.642410,0.000000
pr_001733905,0.642410,0.000000
pr_000612064,0.642410,0.000000
us_000622958,0.642410,0.000000
us_000481967,0.642410,0.000000
us_000547422,0.642410,0.000000
us_000547421,0.642410,0.000000
us_000484309,0.642410,0.000001
us_000062848,0.642410,0.000002
pr_001625224,0.642410,0.000009
pr_000019221,0.642410,0.000019
us_000578082,0.642410,0.000056
