Product ID : 991 JPs covered : 87 : Energy, 
OID,Confidence at Map Node,Error at Map Node
pr_000873761,0.647517, 0.000014
us_000460734,0.647517, 0.000015
pr_000892724,0.647517, 0.000015
pr_000893738,0.647517, 0.000016
pr_000718454,0.647517, 0.000018
us_000354198,0.647517, 0.000030
us_000489162,0.647517, 0.000030
us_000372093,0.647517, 0.000030
us_000465434,0.647517, 0.000032
pr_000386786,0.647517, 0.000051
pr_001621737,0.647517, 0.000051
pr_000375581,0.647517, 0.000051
pr_000389354,0.647517, 0.000051
pr_001156807,0.647517, 0.000051
pr_001155052,0.647517, 0.000051
pr_001158641,0.647517, 0.000051
pr_000510914,0.647517, 0.000051
pr_000597223,0.647517, 0.000051
pr_000592536,0.647517, 0.000056
us_000491469,0.647517, 0.000084
us_000546536,0.647517, 0.000195
us_000524537,0.647517, 0.000209
us_000528525,0.647517, 0.000283
us_000575868,0.647517, 0.001216
us_000512693,0.647517, 0.001355
us_000471418,0.647517, 0.001459
pr_001022708,0.647517, 0.001666
us_000568999,0.647517, 0.002910
us_000506679,0.647517, 0.006689
us_000505021,0.647517, 0.008001
us_000485001,0.647517, 0.010282
us_000550494,0.647517, 0.011400
us_000563388,0.647517, 0.011852
us_000600406,0.647517, 0.012203
us_000485516,0.647517, 0.012496
us_000483239,0.647517, 0.056242
us_000595593,0.647517, 0.131385
pr_001326479,0.647517, 0.986497
pr_001737257,0.546066, 0.000000
pr_002127902,0.546066, 0.000000
pr_001922253,0.546066, 0.000000
pr_000973253,0.546066, 0.000000
pr_001674865,0.546066, 0.000000
pr_001751011,0.546066, 0.000000
pr_000562728,0.546066, 0.000000
pr_000610612,0.546066, 0.000000
pr_000993432,0.546066, 0.000002
pr_000022536,0.546066, 0.000003
pr_001601780,0.546066, 0.000040
pr_000227216,0.546066, 0.000107
pr_000249415,0.546066, 0.000147
us_000125268,0.546066, 0.003493
us_000508969,0.546066, 0.828452
us_000546652,0.496475, 0.000020
us_000568424,0.496475, 0.000262
us_000502252,0.496475, 0.005924
us_000565146,0.496475, 0.006381
us_000492682,0.496475, 0.008380
us_000498289,0.496475, 0.008399
us_000492579,0.496475, 0.013487
us_000536808,0.496475, 0.014623
us_000499768,0.496475, 0.053934
us_000498650,0.496475, 0.165993
us_000584249,0.496475, 0.433171
us_000567107,0.496475, 0.464932
us_000502749,0.496475, 0.467035
us_000586642,0.496475, 0.478403
us_000581345,0.496475, 0.519861
us_000595697,0.496475, 0.532644
us_000485819,0.496475, 0.537513
us_000117265,0.496475, 0.542400
us_000489271,0.496475, 0.551801
us_000486065,0.496475, 0.580324
us_000502890,0.496475, 0.584808
us_000550182,0.496475, 0.595985
us_000498756,0.496475, 0.599869
us_000598849,0.496475, 0.619841
us_000614534,0.496475, 0.632143
us_000575642,0.496475, 0.663852
pr_000728726,0.462542, 0.000000
pr_000001129,0.462542, 0.000138
us_000317920,0.462542, 0.000941
pr_000416917,0.425673, 0.000000
pr_000021577,0.425673, 0.000000
pr_001399190,0.425673, 0.000000
us_000496920,0.425673, 0.000000
pr_000925767,0.425673, 0.000000
us_000519151,0.425673, 0.000000
us_000587231,0.425673, 0.000001
us_000539657,0.425673, 0.000001
us_000518123,0.425673, 0.000003
us_000533157,0.425673, 0.000003
us_000459542,0.425673, 0.000003
us_000463092,0.425673, 0.000003
us_000523737,0.425673, 0.000003
us_000518750,0.425673, 0.000003
us_000464976,0.425673, 0.000003
pr_000584329,0.425673, 0.000004
us_000466300,0.425673, 0.000029
us_000468411,0.425673, 0.000029
us_000458465,0.425673, 0.000029
us_000541963,0.425673, 0.000029
us_000466508,0.425673, 0.000029
us_000467681,0.425673, 0.000029
us_000458466,0.425673, 0.000029
us_000467675,0.425673, 0.000029
us_000466386,0.425673, 0.000029
us_000589005,0.425673, 0.000029
us_000471448,0.425673, 0.000029
us_000459232,0.425673, 0.000029
us_000462019,0.425673, 0.000029
us_000474048,0.425673, 0.000029
