Product ID : 2081 # of JPs covered : 1 : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
us_000488045,0.307815, 0.035219
us_000498965,0.307815, 0.035219
us_000503499,0.307815, 0.035219
us_000483298,0.307815, 0.035219
us_000598243,0.307815, 0.035219
us_000480445,0.307815, 0.035219
us_000521108,0.307815, 0.035219
us_000506897,0.307815, 0.035219
us_000559496,0.307815, 0.035219
us_000487240,0.307815, 0.035219
us_000498175,0.307815, 0.035219
us_000509521,0.307815, 0.035219
us_000519371,0.307815, 0.035219
us_000477072,0.307815, 0.035219
us_000513456,0.307815, 0.035219
us_000487354,0.307815, 0.035219
us_000501009,0.307815, 0.035219
us_000560633,0.307815, 0.035219
us_000512038,0.307815, 0.035219
us_000506231,0.307815, 0.035219
us_000519539,0.307815, 0.035219
us_000489733,0.307815, 0.035219
us_000538424,0.307815, 0.035219
us_000508730,0.307815, 0.035219
us_000477082,0.307815, 0.035219
us_000520628,0.307815, 0.035219
us_000597232,0.307815, 0.036400
us_000516866,0.307815, 0.036400
us_000506322,0.307815, 0.036400
us_000498968,0.307815, 0.036400
us_000496940,0.307815, 0.036400
us_000547387,0.307815, 0.036400
