Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000599054,0.796272,0.306550
us_000601803,0.796272,0.306600
us_000521562,0.796272,0.306762
us_000605103,0.796272,0.306850
us_000602960,0.796272,0.307069
us_000556110,0.796272,0.307110
us_000522286,0.796272,0.307120
us_000601739,0.796272,0.307238
us_000601836,0.796272,0.307242
pr_002281492,0.796272,0.307259
us_000554965,0.796272,0.307416
pr_002193041,0.796272,0.307590
us_000599045,0.796272,0.307644
us_000599044,0.796272,0.307644
us_000580847,0.796272,0.307706
us_000599905,0.796272,0.307771
us_000584146,0.796272,0.307830
us_000575116,0.796272,0.307845
us_000597026,0.796272,0.307965
us_000596888,0.796272,0.308092
us_000583505,0.796272,0.308144
us_000573880,0.796272,0.308251
us_000573878,0.796272,0.308251
us_000573876,0.796272,0.308251
us_000596656,0.796272,0.308303
us_000596655,0.796272,0.308303
us_000596653,0.796272,0.308303
us_000579782,0.796272,0.308358
us_000583522,0.796272,0.308458
us_000538888,0.796272,0.308567
us_000557186,0.796272,0.308838
us_000598413,0.796272,0.308967
us_000581995,0.796272,0.309037
pr_002161226,0.796272,0.309121
us_000538806,0.796272,0.309228
us_000598027,0.796272,0.309243
us_000556607,0.796272,0.309362
us_000479950,0.796272,0.309774
us_000580130,0.796272,0.309819
us_000532821,0.796272,0.309888
us_000559413,0.796272,0.309889
us_000479464,0.796272,0.309994
pr_002194758,0.796272,0.310126
us_000538796,0.796272,0.310281
us_000565706,0.796272,0.310417
us_000480851,0.796272,0.310657
us_000576960,0.796272,0.310714
us_000595973,0.796272,0.310968
us_000523890,0.796272,0.311177
us_000535132,0.796272,0.311288
us_000540954,0.796272,0.311381
us_000535907,0.796272,0.311480
us_000524327,0.796272,0.311583
us_000509345,0.796272,0.311905
pr_002273842,0.796272,0.312294
us_000560167,0.796272,0.312413
us_000509763,0.796272,0.312696
us_000538794,0.796272,0.312765
us_000481212,0.796272,0.312991
us_000540029,0.796272,0.313104
us_000559377,0.796272,0.313223
pr_002124458,0.796272,0.313367
pr_002118874,0.796272,0.313392
us_000592034,0.796272,0.313573
pr_001977375,0.796272,0.313750
us_000494064,0.796272,0.313987
us_000557035,0.796272,0.314008
us_000539676,0.796272,0.314069
us_000471517,0.796272,0.314173
us_000556954,0.796272,0.314369
pr_001663210,0.796272,0.314522
us_000494026,0.796272,0.314532
us_000465858,0.796272,0.314566
us_000539522,0.796272,0.314681
us_000511471,0.796272,0.314832
us_000580518,0.796272,0.314984
us_000565073,0.796272,0.315026
us_000559624,0.796272,0.315052
pr_002056351,0.796272,0.315115
pr_001611286,0.796272,0.315279
us_000584399,0.796272,0.315296
pr_002260544,0.796272,0.315596
us_000586921,0.796272,0.315656
us_000539167,0.796272,0.315764
us_000500177,0.796272,0.315783
us_000558243,0.796272,0.315956
us_000526476,0.796272,0.315973
us_000558068,0.796272,0.315996
us_000538984,0.796272,0.316030
pr_001665531,0.796272,0.316050
us_000467371,0.796272,0.316116
us_000556895,0.796272,0.316187
pr_002106936,0.796272,0.316433
us_000555289,0.796272,0.316453
us_000585119,0.796272,0.316504
us_000484338,0.796272,0.316533
us_000568641,0.796272,0.316767
pr_001914746,0.796272,0.316772
us_000584307,0.796272,0.316818
pr_002123358,0.796272,0.316920
us_000490218,0.796272,0.317031
us_000586059,0.796272,0.317059
us_000539759,0.796272,0.317142
pr_001931297,0.796272,0.317149
us_000539769,0.796272,0.317300
pr_002182993,0.796272,0.317311
pr_001979116,0.796272,0.317315
us_000488311,0.796272,0.317352
pr_002273851,0.796272,0.317389
us_000468045,0.796272,0.317409
us_000574000,0.796272,0.317576
us_000573966,0.796272,0.317577
us_000573965,0.796272,0.317577
us_000581126,0.796272,0.317629
us_000539708,0.796272,0.317672
pr_001662515,0.796272,0.317758
pr_002066552,0.796272,0.317832
us_000539730,0.796272,0.317874
us_000580526,0.796272,0.317890
us_000488318,0.796272,0.317953
us_000582137,0.796272,0.317992
us_000540224,0.796272,0.318003
us_000539890,0.796272,0.318089
us_000512013,0.796272,0.318112
us_000512015,0.796272,0.318112
pr_002063671,0.796272,0.318235
pr_002237890,0.796272,0.318240
pr_002265210,0.796272,0.318241
pr_002201826,0.796272,0.318305
pr_001733661,0.796272,0.318349
us_000538955,0.796272,0.318416
us_000467134,0.796272,0.318467
us_000466928,0.796272,0.318473
us_000479278,0.796272,0.318476
us_000578213,0.796272,0.318544
us_000540125,0.796272,0.318593
us_000573854,0.796272,0.318755
us_000573834,0.796272,0.318760
us_000538795,0.796272,0.318862
us_000577141,0.796272,0.318915
us_000559642,0.796272,0.318975
us_000124414,0.796272,0.319000
us_000537072,0.796272,0.319011
us_000573814,0.796272,0.319194
us_000574518,0.796272,0.319265
us_000577246,0.796272,0.319280
us_000573962,0.796272,0.319303
us_000573960,0.796272,0.319303
us_000573956,0.796272,0.319303
us_000481270,0.796272,0.319308
us_000573860,0.796272,0.319336
us_000573855,0.796272,0.319336
pr_002201818,0.796272,0.319412
pr_002174257,0.796272,0.319485
pr_002131448,0.796272,0.319503
us_000480534,0.796272,0.319503
us_000573599,0.796272,0.319562
us_000527076,0.796272,0.319602
pr_002099472,0.796272,0.319620
pr_002168867,0.796272,0.319621
pr_002123385,0.796272,0.319656
us_000573812,0.796272,0.319713
us_000572621,0.796272,0.319723
us_000573802,0.796272,0.319732
pr_002242427,0.796272,0.319916
us_000470025,0.796272,0.320038
us_000566664,0.796272,0.320149
us_000566663,0.796272,0.320149
us_000566661,0.796272,0.320149
us_000566655,0.796272,0.320149
us_000539776,0.796272,0.320293
pr_002123423,0.796272,0.320373
us_000499914,0.796272,0.320459
pr_001140403,0.796272,0.320662
us_000461086,0.796272,0.320691
pr_001929437,0.796272,0.320705
pr_001972432,0.796272,0.320706
us_000565113,0.796272,0.320726
us_000565189,0.796272,0.320733
us_000565130,0.796272,0.320734
us_000565115,0.796272,0.320737
pr_001767805,0.796272,0.320837
pr_002197971,0.796272,0.320844
pr_001672611,0.796272,0.320859
us_000510646,0.796272,0.320989
pr_002132203,0.796272,0.320995
pr_001115139,0.796272,0.321107
pr_001930348,0.796272,0.321154
pr_002131457,0.796272,0.321318
us_000491208,0.796272,0.321331
