Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 42 | Estate Planning (jpg:42,idx:27)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.008547009,2.0,(11|44)
0.008474576,1.0,(0|33)
0.008474576,1.0,(36|16)
0.008474576,1.0,(42|5)
0.008474576,1.0,(48|13)
0.008456660,2.0,(46|17)
0.008438818,2.0,(21|27)
0.008333334,1.0,(26|43)
0.008097166,2.0,(36|48)
0.008064516,2.0,(0|17)
0.008064516,1.0,(33|24)
0.008051530,3.0,(30|1)
0.008032128,2.0,(1|7)
0.007957560,3.0,(24|0)
0.007874016,2.0,(33|12)
0.007843138,1.0,(4|13)
0.007812500,1.0,(12|41)
0.007772021,1.0,(38|37)
0.007692308,1.0,(30|23)
0.007662835,2.0,(46|16)
0.007633588,1.0,(2|19)
0.007518797,1.0,(17|20)
0.007462686,1.0,(24|8)
0.007326007,2.0,(5|11)
0.007299270,1.0,(37|40)
0.007272727,1.0,(32|45)
0.007194245,1.0,(21|29)
0.007194245,1.0,(44|43)
0.007092198,1.0,(4|18)
0.007092198,2.0,(8|40)
0.007092198,1.0,(23|25)
0.007092198,1.0,(36|34)
0.007092198,1.0,(43|3)
0.007017544,1.0,(26|24)
0.007017544,1.0,(44|16)
0.007017544,2.0,(44|21)
0.006944444,1.0,(4|46)
0.006896552,1.0,(0|13)
0.006896552,1.0,(0|38)
0.006896552,1.0,(10|48)
0.006896552,1.0,(44|6)
0.006872852,1.0,(21|32)
0.006872852,1.0,(47|17)
0.006864989,3.0,(30|12)
0.006849315,2.0,(3|33)
0.006849315,1.0,(45|12)
0.006772009,1.0,(19|24)
0.006756757,1.0,(31|36)
0.006711409,1.0,(47|11)
0.006666667,1.0,(14|39)
0.006622517,1.0,(49|14)
0.006561680,3.0,(23|2)
0.006535948,2.0,(37|18)
0.006493506,1.0,(23|13)
0.006389776,2.0,(22|30)
0.006369427,1.0,(38|8)
0.006329114,2.0,(31|9)
0.006289308,1.0,(4|26)
0.006250000,3.0,(14|2)
0.006250000,1.0,(43|27)
0.006220840,3.0,(4|35)
0.006172840,1.0,(37|35)
0.006160164,1.0,(35|44)
0.006134969,1.0,(41|37)
0.006122449,3.0,(38|45)
0.006006006,1.0,(28|27)
0.006006006,2.0,(29|24)
0.005988024,1.0,(14|46)
0.005970149,1.0,(46|15)
0.005952381,1.0,(33|14)
0.005917160,2.0,(44|24)
0.005847953,1.0,(7|32)
0.005839416,2.0,(38|6)
0.005830904,2.0,(6|32)
0.005813953,1.0,(48|17)
0.005747126,1.0,(41|26)
0.005747126,1.0,(41|27)
0.005714286,1.0,(42|14)
0.005681818,1.0,(27|30)
0.005649718,1.0,(22|43)
0.005649718,1.0,(28|24)
0.005617978,1.0,(3|19)
0.005602241,2.0,(20|30)
0.005571031,2.0,(48|14)
0.005494506,1.0,(45|21)
0.005479452,2.0,(9|42)
0.005464481,1.0,(23|35)
0.005464481,1.0,(37|10)
0.005464481,1.0,(47|18)
0.005434783,1.0,(6|8)
0.005405406,1.0,(2|22)
0.005405406,1.0,(37|1)
0.005376344,1.0,(28|25)
0.005319149,2.0,(10|0)
0.005291005,1.0,(44|1)
0.005154639,1.0,(1|44)
0.005154639,2.0,(6|1)
0.005141388,2.0,(11|5)
0.005102041,1.0,(30|22)
0.005076142,1.0,(17|30)
0.005025126,1.0,(0|26)
0.005025126,1.0,(16|42)
0.005012531,1.0,(39|27)
0.004975124,1.0,(20|4)
0.004950495,1.0,(26|20)
0.004950495,1.0,(43|6)
0.004926108,1.0,(22|37)
0.004866180,2.0,(20|22)
0.004854369,1.0,(30|13)
0.004830918,1.0,(14|45)
0.004807692,2.0,(0|14)
0.004807692,1.0,(49|31)
0.004792332,2.0,(36|29)
0.004761905,1.0,(8|41)
0.004587156,1.0,(30|6)
0.004524887,1.0,(0|24)
0.004504505,1.0,(42|15)
