Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 21 | Tax Law (jpg:21,idx:17)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02459016,3.0,(6|2)
0.02453988,2.0,(19|2)
0.02453988,3.0,(23|1)
0.02448980,3.0,(27|22)
0.02439024,1.0,(15|42)
0.02432432,4.0,(3|10)
0.02419355,3.0,(1|22)
0.02409638,2.0,(1|32)
0.02409638,2.0,(11|26)
0.02409638,2.0,(12|27)
0.02395210,2.0,(10|17)
0.02395210,3.0,(17|33)
0.02380952,2.0,(1|9)
0.02380952,2.0,(4|7)
0.02380952,2.0,(15|31)
0.02380952,2.0,(23|42)
0.02380952,2.0,(26|35)
0.02380952,2.0,(33|14)
0.02380952,1.0,(43|9)
0.02352941,3.0,(5|38)
0.02352941,2.0,(9|27)
0.02352941,3.0,(43|19)
0.02352941,2.0,(47|27)
0.02339181,4.0,(29|23)
0.02325581,3.0,(0|21)
0.02325581,1.0,(3|1)
0.02325581,3.0,(4|21)
0.02325581,3.0,(46|8)
0.02316602,3.0,(8|8)
0.02312139,2.0,(4|11)
0.02298851,1.0,(4|29)
0.02298851,2.0,(41|26)
0.02298851,1.0,(42|22)
0.02285714,3.0,(41|45)
0.02272727,2.0,(36|38)
0.02237136,4.0,(24|44)
0.02230483,4.0,(6|40)
0.02222222,2.0,(10|49)
0.02222222,2.0,(24|36)
0.02212389,2.0,(23|38)
0.02209945,3.0,(9|40)
0.02197802,2.0,(9|15)
0.02197802,1.0,(42|27)
0.02185792,3.0,(6|21)
0.02173913,1.0,(3|20)
0.02173913,2.0,(39|37)
0.02147239,4.0,(39|12)
0.02142857,3.0,(22|0)
0.02139037,3.0,(13|33)
0.02127660,3.0,(10|0)
0.02127660,1.0,(13|36)
0.02127660,2.0,(41|32)
0.02118644,2.0,(0|33)
0.02105263,2.0,(17|37)
0.02105263,1.0,(40|32)
0.02094241,3.0,(0|27)
0.02083333,2.0,(13|27)
0.02083333,1.0,(22|35)
0.02061856,3.0,(40|21)
0.02057613,2.0,(6|20)
0.02051282,3.0,(33|39)
0.02049180,4.0,(40|46)
0.02040816,2.0,(13|12)
0.02033898,2.0,(43|13)
0.02016129,3.0,(47|24)
0.02013423,2.0,(11|16)
0.02008032,3.0,(7|45)
0.01990050,2.0,(20|4)
0.01980198,2.0,(37|13)
0.01960784,1.0,(34|34)
0.01960784,3.0,(39|26)
0.01951220,2.0,(27|42)
0.01948052,1.0,(11|39)
0.01948052,1.0,(11|40)
0.01941748,1.0,(15|43)
0.01941748,2.0,(39|19)
0.01935484,2.0,(13|40)
0.01913876,3.0,(48|19)
0.01910828,1.0,(49|10)
0.01893939,2.0,(11|11)
0.01892745,3.0,(42|13)
0.01886792,2.0,(35|38)
0.01886792,1.0,(37|34)
0.01886792,1.0,(44|28)
0.01869159,2.0,(46|44)
0.01860465,4.0,(32|37)
0.01856764,4.0,(24|0)
0.01851852,1.0,(3|13)
0.01851852,1.0,(7|29)
0.01851852,1.0,(49|34)
0.01840491,3.0,(24|35)
0.01834862,2.0,(16|33)
0.01834862,1.0,(16|38)
0.01834862,2.0,(27|36)
0.01834862,2.0,(41|20)
0.01834862,2.0,(48|25)
0.01793722,2.0,(41|15)
0.01793722,3.0,(49|21)
0.01769911,1.0,(0|23)
0.01769911,2.0,(41|12)
0.01762114,3.0,(6|37)
0.01754386,3.0,(5|20)
0.01754386,2.0,(12|18)
0.01754386,2.0,(33|42)
0.01748252,2.0,(12|48)
0.01739130,2.0,(45|20)
0.01724138,2.0,(9|39)
0.01724138,4.0,(41|27)
0.01712329,3.0,(42|23)
0.01709402,1.0,(2|45)
0.01709402,2.0,(10|34)
0.01709402,2.0,(40|20)
0.01694915,2.0,(24|19)
0.01694915,1.0,(33|0)
0.01694915,1.0,(48|43)
0.01680672,2.0,(2|31)
0.01680672,2.0,(12|43)
0.01680672,2.0,(44|32)
0.01680672,1.0,(45|38)
0.01673640,2.0,(5|34)
0.01666667,1.0,(26|43)
0.01652892,2.0,(9|47)
0.01652892,1.0,(25|32)
0.01652892,3.0,(47|43)
0.01647059,3.0,(35|9)
0.01639344,2.0,(12|31)
0.01630435,2.0,(1|6)
0.01630435,2.0,(10|26)
0.01626016,1.0,(44|26)
0.01621622,1.0,(12|44)
0.01612903,1.0,(17|48)
0.01612903,1.0,(19|34)
0.01600000,3.0,(3|18)
0.01600000,3.0,(41|36)
0.01587302,1.0,(12|39)
0.01584158,4.0,(33|25)
0.01578947,2.0,(5|21)
0.01574803,2.0,(2|24)
0.01568628,2.0,(0|9)
0.01568628,2.0,(4|13)
0.01562500,2.0,(12|42)
0.01562500,1.0,(14|0)
0.01562500,1.0,(43|39)
0.01550388,2.0,(12|28)
0.01550388,2.0,(41|25)
0.01545254,3.0,(40|16)
0.01538462,1.0,(19|14)
0.01538462,1.0,(21|35)
0.01538462,2.0,(36|31)
0.01538462,2.0,(37|25)
0.01538462,4.0,(40|31)
0.01526718,2.0,(15|30)
0.01526718,2.0,(32|30)
0.01526718,1.0,(36|18)
0.01522843,2.0,(30|2)
0.01522843,1.0,(47|35)
0.01515152,1.0,(28|37)
0.01515152,1.0,(49|43)
0.01507538,2.0,(4|5)
0.01500000,2.0,(13|24)
0.01492537,1.0,(25|34)
0.01481481,1.0,(32|31)
0.01476015,2.0,(9|0)
0.01470588,1.0,(4|20)
0.01470588,1.0,(24|40)
0.01466276,3.0,(21|5)
