Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:18)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.006211180,1.0,(8|2)
0.006060606,1.0,(12|17)
0.005988024,1.0,(17|33)
0.005917160,1.0,(44|24)
0.005899705,1.0,(41|12)
0.005870841,1.0,(20|26)
0.005865103,1.0,(21|5)
0.005847953,1.0,(9|46)
0.005847953,1.0,(21|23)
0.005780347,1.0,(0|41)
0.005747126,1.0,(1|46)
0.005747126,1.0,(41|26)
0.005649718,1.0,(22|23)
0.005571031,1.0,(48|14)
0.005524862,1.0,(22|2)
0.005464481,1.0,(18|40)
0.005434783,1.0,(4|9)
0.005405406,1.0,(19|43)
0.005376344,1.0,(48|27)
0.005347594,1.0,(36|4)
0.005319149,1.0,(21|48)
0.005263158,1.0,(5|45)
0.005208333,1.0,(45|9)
0.005154639,1.0,(39|14)
0.005025126,1.0,(20|23)
0.004950495,1.0,(26|20)
0.004807692,1.0,(27|25)
0.004807692,1.0,(31|21)
0.004784689,1.0,(11|48)
0.004739337,1.0,(40|23)
0.004716981,1.0,(33|41)
0.004716981,1.0,(48|28)
0.004608295,1.0,(44|9)
0.004444445,1.0,(14|14)
0.004424779,1.0,(23|38)
0.004405286,1.0,(28|26)
0.004347826,1.0,(22|1)
0.004347826,1.0,(42|26)
0.004310345,1.0,(6|48)
0.004310345,1.0,(28|22)
0.004219409,1.0,(3|23)
0.004201681,1.0,(46|24)
0.004184100,2.0,(24|41)
0.004166667,1.0,(26|3)
0.004016064,1.0,(7|45)
0.003937008,2.0,(23|2)
0.003921569,1.0,(4|13)
0.003875969,1.0,(27|45)
0.003759399,1.0,(38|20)
0.003745318,1.0,(38|16)
0.003663004,1.0,(5|11)
0.003448276,1.0,(0|13)
0.003350084,1.0,(26|27)
0.003252032,1.0,(22|24)
0.003225806,1.0,(24|22)
0.003194888,1.0,(22|30)
0.002985075,1.0,(46|15)
0.002958580,1.0,(43|37)
0.002932551,1.0,(36|45)
0.002923977,1.0,(47|7)
0.002832861,1.0,(21|3)
0.002824859,1.0,(11|1)
0.002747253,1.0,(44|10)
0.002590674,1.0,(25|26)
0.002590674,1.0,(38|37)
0.002525253,1.0,(34|42)
0.002439024,1.0,(22|6)
0.002415459,1.0,(17|27)
0.002237136,1.0,(30|5)
0.001834862,1.0,(28|23)
0.001610306,1.0,(30|1)
0.001424501,1.0,(25|46)
0.001351351,1.0,(20|2)
0.001083424,1.0,(48|42)
0.0009363296,1.0,(21|22)
0.0009082652,1.0,(12|0)
0.0006393862,1.0,(46|30)
