Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 35 | Mergers & Acquisitions (jpg:35,idx:22)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.007407407,1.0,(32|31)
0.007374631,3.0,(8|0)
0.007299270,1.0,(44|44)
0.007194245,1.0,(3|39)
0.007194245,1.0,(49|46)
0.007168459,2.0,(44|34)
0.007142857,1.0,(22|0)
0.007142857,2.0,(30|18)
0.007117438,2.0,(14|32)
0.007092198,1.0,(18|11)
0.007067138,1.0,(38|1)
0.006993007,2.0,(4|33)
0.006944444,1.0,(0|42)
0.006920415,2.0,(32|11)
0.006872852,2.0,(21|32)
0.006849315,2.0,(3|33)
0.006756757,1.0,(33|11)
0.006666667,1.0,(28|7)
0.006666667,1.0,(34|40)
0.006561680,3.0,(23|2)
0.006514658,2.0,(35|28)
0.006482982,2.0,(32|8)
0.006472492,2.0,(38|40)
0.006472492,2.0,(45|15)
0.006410256,2.0,(5|32)
0.006389776,2.0,(34|38)
0.006339144,2.0,(19|20)
0.006250000,1.0,(17|28)
0.006211180,1.0,(8|2)
0.006172840,1.0,(7|29)
0.006134969,1.0,(19|2)
0.006134969,1.0,(41|37)
0.006116208,2.0,(46|18)
0.006097561,2.0,(30|15)
0.006024096,2.0,(43|36)
0.005934718,2.0,(12|1)
0.005805515,2.0,(20|24)
0.005780347,1.0,(0|41)
0.005780347,1.0,(30|48)
0.005780347,1.0,(33|31)
0.005714286,1.0,(32|27)
0.005714286,1.0,(41|43)
0.005681818,1.0,(15|19)
0.005617978,2.0,(44|45)
0.005602241,2.0,(7|39)
0.005586592,2.0,(35|29)
0.005555556,1.0,(42|32)
0.005464481,1.0,(5|47)
0.005405406,1.0,(19|43)
0.005405406,1.0,(31|1)
0.005376344,1.0,(31|5)
0.005319149,1.0,(27|26)
0.005291005,1.0,(44|1)
0.005208333,1.0,(49|39)
0.005181347,1.0,(18|20)
0.005154639,2.0,(39|14)
0.005141388,2.0,(28|48)
0.005115089,2.0,(16|27)
0.005050505,2.0,(9|29)
0.005050505,2.0,(34|42)
0.005025126,1.0,(19|19)
0.005018821,2.0,(34|10)
0.004950495,1.0,(20|13)
0.004938272,2.0,(30|4)
0.004926108,1.0,(27|34)
0.004866180,1.0,(1|30)
0.004866180,2.0,(29|44)
0.004854369,1.0,(12|19)
0.004819277,2.0,(46|40)
0.004807692,1.0,(22|22)
0.004796163,2.0,(44|43)
0.004784689,1.0,(8|10)
0.004587156,1.0,(30|8)
0.004504505,2.0,(34|8)
0.004504505,2.0,(42|39)
0.004424779,1.0,(15|44)
0.004405286,1.0,(38|32)
0.004366812,1.0,(40|1)
0.004329004,1.0,(42|40)
0.004273504,1.0,(36|28)
0.004228330,1.0,(14|28)
