Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 19 | Real Property Transactions (jpg:19,idx:15)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01212121,1.0,(18|26)
0.01204819,2.0,(19|44)
0.01200000,2.0,(4|32)
0.01197605,2.0,(14|46)
0.01190476,1.0,(13|48)
0.01183432,1.0,(1|23)
0.01183432,1.0,(30|32)
0.01179941,1.0,(31|8)
0.01176471,1.0,(7|40)
0.01174168,1.0,(20|26)
0.01173021,2.0,(48|40)
0.01169591,1.0,(0|12)
0.01162791,1.0,(26|2)
0.01162791,2.0,(38|41)
0.01158301,2.0,(0|36)
0.01156069,1.0,(6|42)
0.01156069,1.0,(30|48)
0.01156069,1.0,(44|22)
0.01149425,1.0,(44|15)
0.01149425,1.0,(44|18)
0.01145038,2.0,(15|27)
0.01142857,1.0,(41|22)
0.01136364,1.0,(2|1)
0.01136364,1.0,(31|40)
0.01129944,1.0,(22|20)
0.01127820,1.0,(23|24)
0.01123596,1.0,(9|33)
0.01123596,2.0,(44|45)
0.01123596,1.0,(48|31)
0.01111111,1.0,(15|16)
0.01111111,1.0,(16|29)
0.01102941,3.0,(35|40)
0.01098901,1.0,(0|34)
0.01098901,1.0,(2|10)
0.01098901,2.0,(10|14)
0.01098901,1.0,(44|19)
0.01098901,1.0,(45|21)
0.01081081,1.0,(3|14)
0.01079137,1.0,(42|30)
0.01075269,1.0,(48|37)
0.01069519,1.0,(46|22)
0.01063830,1.0,(1|12)
0.01058201,1.0,(46|4)
0.01052632,1.0,(40|32)
0.01047120,1.0,(25|28)
0.01038062,1.0,(19|25)
0.01034483,1.0,(0|20)
0.01030928,1.0,(6|5)
0.01030928,1.0,(8|39)
0.01030928,2.0,(28|20)
0.01030928,1.0,(39|14)
0.01030928,2.0,(40|21)
0.01020408,1.0,(4|45)
0.01016949,1.0,(32|16)
0.009900990,1.0,(26|20)
0.009900990,1.0,(31|0)
0.009852217,2.0,(11|29)
0.009803922,1.0,(13|35)
0.009803922,2.0,(33|43)
0.009740259,2.0,(4|37)
0.009732360,2.0,(29|44)
0.009708738,1.0,(8|29)
0.009708738,1.0,(22|29)
0.009708738,1.0,(39|33)
0.009646302,1.0,(16|23)
0.009615385,1.0,(0|40)
0.009569378,1.0,(48|19)
0.009523810,1.0,(19|33)
0.009463723,1.0,(21|28)
0.009411764,1.0,(35|9)
0.009389671,2.0,(11|0)
0.009345794,1.0,(29|34)
0.009302326,1.0,(49|8)
0.009259259,1.0,(23|0)
0.009259259,1.0,(30|49)
0.009216590,1.0,(43|16)
0.009174312,1.0,(22|31)
0.009174312,1.0,(44|4)
0.009107468,1.0,(19|26)
0.009090909,2.0,(4|12)
0.009090909,1.0,(11|47)
0.009049774,2.0,(9|31)
0.009009009,1.0,(0|16)
0.009009009,1.0,(6|44)
0.009009009,1.0,(20|33)
0.008968610,1.0,(3|30)
0.008968610,1.0,(46|19)
0.008928572,1.0,(23|30)
0.008849557,1.0,(48|5)
0.008810572,1.0,(38|32)
0.008771930,1.0,(12|18)
0.008771930,1.0,(21|23)
0.008733625,2.0,(40|1)
0.008714597,1.0,(45|17)
0.008695652,1.0,(7|11)
0.008695652,1.0,(7|12)
0.008695652,1.0,(23|15)
0.008695652,1.0,(26|9)
0.008695652,1.0,(42|26)
0.008547009,1.0,(11|44)
0.008547009,1.0,(47|25)
0.008510638,1.0,(45|19)
0.008510638,1.0,(49|19)
0.008474576,1.0,(48|13)
0.008403362,1.0,(21|9)
0.008403362,1.0,(39|38)
0.008368201,2.0,(10|42)
0.008287293,1.0,(9|37)
0.008196721,1.0,(22|26)
0.008130081,1.0,(18|10)
0.008130081,1.0,(28|9)
0.008108108,3.0,(40|43)
0.008064516,1.0,(0|17)
0.008064516,1.0,(1|47)
0.008016032,3.0,(5|1)
0.007812500,1.0,(12|49)
0.007751938,1.0,(15|26)
0.007633588,2.0,(9|43)
0.007633588,1.0,(15|30)
0.007575758,1.0,(0|30)
0.007575758,2.0,(11|11)
0.007537689,1.0,(20|23)
0.007434944,1.0,(22|21)
0.007246377,1.0,(6|38)
0.007194245,1.0,(17|26)
0.007194245,1.0,(49|46)
0.007092198,1.0,(25|13)
0.007092198,1.0,(44|47)
0.007075472,2.0,(33|41)
0.007067138,1.0,(38|1)
0.007058823,1.0,(18|23)
0.007042253,1.0,(43|31)
0.007017544,1.0,(18|28)
0.007017544,1.0,(44|21)
0.006993007,1.0,(10|10)
0.006980803,3.0,(0|35)
0.006944444,1.0,(1|31)
0.006944444,1.0,(25|10)
0.006896552,1.0,(10|48)
0.006896552,2.0,(12|4)
0.006896552,1.0,(44|6)
0.006849315,2.0,(3|33)
0.006849315,1.0,(23|22)
