Product ID : 2066 # of JPs covered : 1 : 126 : Products Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000580290,0.116311, 0.000006
us_000495463,0.116311, 0.000006
us_000495495,0.116311, 0.000006
us_000521522,0.116311, 0.000006
us_000496495,0.116311, 0.000006
us_000504533,0.116311, 0.000006
us_000580295,0.116311, 0.000006
us_000494316,0.116311, 0.000006
us_000580403,0.116311, 0.000006
us_000489519,0.116311, 0.000006
pr_000796422,0.116311, 0.000133
us_000543920,0.116311, 0.001220
us_000575463,0.116311, 0.001265
us_000564051,0.116311, 0.002329
us_000591569,0.116311, 0.003841
us_000488146,0.116311, 0.003974
us_000523498,0.116311, 0.004392
us_000527683,0.116311, 0.005631
us_000506628,0.116311, 0.012053
us_000495676,0.116311, 0.012264
us_000583820,0.116311, 0.018606
us_000575391,0.116311, 0.019395
us_000501358,0.116311, 0.028840
us_000528580,0.116311, 0.046400
us_000560695,0.116311, 0.057550
us_000594270,0.116311, 0.112105
us_000558968,0.116311, 1.533069
us_000527632,0.116311, 1.606657
pr_000711489,0.083012, 0.018052
pr_000697435,0.083012, 0.018052
pr_000202685,0.083012, 0.018052
pr_001089251,0.083012, 0.018052
pr_001153937,0.083012, 0.018052
pr_000637221,0.083012, 0.018052
pr_000880668,0.083012, 0.018052
pr_000992938,0.083012, 0.018052
pr_001080046,0.083012, 0.018052
pr_000161760,0.077333, 0.000000
pr_001400377,0.077333, 0.020160
pr_001077833,0.077333, 0.020160
pr_001002996,0.077333, 0.020160
pr_000592807,0.077333, 0.020160
pr_000884845,0.077333, 0.020160
pr_001075077,0.077333, 0.020160
pr_001118381,0.077333, 0.020160
pr_000702088,0.077333, 0.020160
pr_000161303,0.077333, 0.020160
pr_000944123,0.077333, 0.020160
pr_000589498,0.077333, 0.020160
pr_000769515,0.077333, 0.020160
pr_001819615,0.077333, 0.020160
pr_000241740,0.077333, 0.020160
pr_000951302,0.077333, 0.020160
pr_000938219,0.077333, 0.020160
pr_000187841,0.077333, 0.020160
pr_001005495,0.077333, 0.020160
pr_000637544,0.077333, 0.020160
pr_001086548,0.077333, 0.020160
pr_000338927,0.077333, 0.020160
us_000473436,0.077333, 0.023959
pr_000336828,0.014110, 0.015250
pr_000333010,0.014110, 0.015250
pr_000993406,0.014110, 0.016909
pr_000972190,0.014110, 0.018019
pr_000758342,0.014110, 0.019322
pr_001112687,0.014110, 0.019991
pr_000699669,0.014110, 0.019991
pr_000204543,0.014110, 0.020697
pr_001151269,0.014110, 0.020697
pr_001088403,0.014110, 0.020697
pr_000591091,0.014110, 0.020697
pr_001074611,0.014110, 0.021450
pr_001118812,0.014110, 0.021450
pr_001107556,0.014110, 0.021450
pr_001102730,0.014110, 0.022119
pr_000891128,0.014110, 0.022119
pr_000216967,0.014110, 0.022119
pr_000769340,0.014110, 0.022119
pr_000326621,0.014110, 0.022119
pr_000719793,0.014110, 0.022825
pr_001653277,0.014110, 0.022825
pr_000693618,0.014110, 0.022825
pr_001089620,0.014110, 0.022825
pr_000962496,0.014110, 0.022825
pr_000328876,0.014110, 0.022825
pr_000757777,0.014110, 0.022825
pr_001150369,0.014110, 0.022825
pr_000325363,0.014110, 0.022825
pr_000658315,0.014110, 0.022825
pr_000970833,0.014110, 0.022825
pr_000325261,0.014110, 0.022825
pr_000722348,0.014110, 0.022825
pr_000331826,0.014110, 0.022825
pr_000332975,0.014110, 0.025110
pr_001720681,0.014110, 0.025110
pr_000324837,0.014110, 0.025110
pr_000190950,0.014110, 0.025110
pr_000332705,0.014110, 0.025110
pr_001719041,0.014110, 0.025110
pr_000937994,0.014110, 0.025110
pr_000167151,0.014110, 0.025110
pr_000707832,0.014110, 0.025110
pr_000975580,0.014110, 0.025110
pr_001011009,0.014110, 0.025110
pr_000164961,0.014110, 0.025110
pr_000192179,0.014110, 0.025110
pr_001081435,0.014110, 0.025110
pr_000708991,0.014110, 0.025110
pr_000329077,0.014110, 0.025110
pr_000988657,0.014110, 0.025110
pr_000875292,0.014110, 0.025110
pr_001602239,0.014110, 0.025110
pr_000979619,0.014110, 0.025110
pr_000772266,0.014110, 0.025110
pr_000709737,0.014110, 0.025110
pr_000595479,0.014110, 0.025110
pr_000161300,0.014110, 0.025110
pr_001819293,0.014110, 0.025110
pr_000333673,0.014110, 0.025110
pr_001741631,0.014110, 0.025110
pr_000235179,0.014110, 0.025110
pr_000885781,0.014110, 0.025110
pr_000717147,0.014110, 0.025110
pr_000178125,0.014110, 0.025110
pr_001652146,0.014110, 0.025110
pr_000321637,0.014110, 0.025110
pr_000643719,0.014110, 0.025110
pr_001005875,0.014110, 0.025110
pr_000226786,0.014110, 0.025110
pr_000724755,0.014110, 0.025110
pr_001148561,0.014110, 0.025110
pr_000766676,0.014110, 0.025110
pr_000870840,0.014110, 0.025110
pr_000331486,0.014110, 0.025110
pr_000738320,0.014110, 0.025110
pr_001818560,0.014110, 0.025110
pr_001012586,0.014110, 0.025110
pr_000709769,0.014110, 0.025110
pr_000737483,0.014110, 0.025110
pr_000339976,0.014110, 0.025110
pr_001594709,0.014110, 0.025110
pr_000649690,0.014110, 0.025110
pr_000595356,0.014110, 0.025110
pr_000735816,0.014110, 0.025110
pr_000238291,0.014110, 0.025110
pr_000709658,0.014110, 0.025110
pr_000989449,0.014110, 0.025110
pr_000770772,0.014110, 0.025110
pr_000162886,0.014110, 0.025110
pr_000200650,0.014110, 0.025110
pr_000886398,0.014110, 0.025110
pr_000994163,0.014110, 0.025110
pr_001601789,0.014110, 0.025110
pr_000884986,0.014110, 0.025110
pr_001020668,0.014110, 0.025110
pr_000193843,0.014110, 0.025110
pr_000964049,0.014110, 0.025110
pr_000178398,0.014110, 0.025110
pr_001930335,0.014110, 0.025110
pr_000649914,0.014110, 0.025110
pr_000766689,0.014110, 0.025110
pr_001088739,0.014110, 0.025110
pr_001601803,0.014110, 0.025110
pr_000190517,0.014110, 0.025110
pr_000715066,0.014110, 0.025110
pr_000654578,0.014110, 0.025110
pr_000190455,0.014110, 0.025110
pr_000338865,0.014110, 0.025110
pr_001652148,0.014110, 0.025110
pr_000223042,0.014110, 0.025110
pr_000707726,0.014110, 0.025110
pr_001071777,0.014110, 0.025110
pr_001720675,0.014110, 0.025110
pr_000968001,0.014110, 0.025110
pr_000693918,0.014110, 0.025110
pr_000331478,0.014110, 0.025110
pr_000648078,0.014110, 0.025110
pr_000333716,0.014110, 0.025110
pr_001739595,0.014110, 0.025110
pr_001101588,0.014110, 0.025110
pr_001406931,0.014110, 0.025110
pr_001605208,0.014110, 0.025110
pr_000595484,0.014110, 0.025110
pr_000871092,0.014110, 0.025110
pr_000341964,0.014110, 0.025110
pr_001000006,0.014110, 0.025110
pr_001029383,0.014110, 0.025110
pr_001002275,0.014110, 0.025110
pr_000978818,0.014110, 0.025139
us_000090773,0.014110, 0.028596
pr_001008617,0.007372, 0.019924
pr_000121984,0.007372, 0.022178
pr_000707001,0.007372, 0.022777
pr_001719927,0.007372, 0.023429
pr_000988318,0.007372, 0.023429
pr_000765405,0.007372, 0.023429
pr_001074594,0.007372, 0.023429
pr_000332425,0.007372, 0.023429
pr_000695894,0.007372, 0.023429
pr_000695803,0.007372, 0.023429
pr_000890351,0.007372, 0.023429
pr_000977654,0.007372, 0.024117
pr_001009066,0.007372, 0.024117
pr_000333309,0.007372, 0.024117
pr_000977679,0.007372, 0.024117
pr_001025608,0.007372, 0.024117
pr_000739440,0.007372, 0.024117
pr_000708178,0.007372, 0.024117
pr_000976256,0.007372, 0.024117
pr_000331651,0.007372, 0.024117
pr_000344544,0.007372, 0.024117
pr_001120160,0.007372, 0.024117
pr_000661289,0.007372, 0.024117
pr_000336073,0.007372, 0.024117
pr_000993302,0.007372, 0.024117
pr_001076879,0.007372, 0.024117
pr_000769212,0.007372, 0.024117
pr_000993231,0.007372, 0.024117
pr_000898460,0.007372, 0.024117
pr_000325937,0.007372, 0.024117
pr_001012344,0.007372, 0.024117
pr_001120369,0.007372, 0.024117
pr_000864186,0.007372, 0.024117
pr_000179107,0.007372, 0.024117
us_000025567,0.007372, 0.065961
