Product ID : 894 JPs covered : 186 : Acct-Tax, 
OID,Confidence at Map Node,Error at Map Node
us_000480454,0.781350, 0.433174
us_000458551,0.781350, 0.433174
us_000414715,0.781350, 0.433174
us_000460407,0.781350, 0.433174
us_000488169,0.781350, 0.433174
us_000465251,0.781350, 0.433174
us_000357068,0.781350, 0.433174
us_000465233,0.781350, 0.433174
us_000470164,0.781350, 0.433174
us_000470709,0.781350, 0.433174
us_000476682,0.781350, 0.433174
us_000490538,0.781350, 0.433174
us_000458675,0.781350, 0.433174
us_000463167,0.781350, 0.433174
us_000282156,0.781350, 0.433174
us_000275394,0.781350, 0.433174
us_000461673,0.781350, 0.433174
us_000453616,0.781350, 0.433174
us_000221554,0.781350, 0.433174
us_000606360,0.781350, 0.433174
us_000605002,0.781350, 0.433174
us_000482195,0.781350, 0.433174
us_000464464,0.781350, 0.433174
us_000493701,0.781350, 0.433174
us_000465265,0.781350, 0.433174
us_000469119,0.781350, 0.433174
us_000473688,0.781350, 0.433174
us_000489788,0.781350, 0.433174
us_000477371,0.781350, 0.433174
us_000478236,0.781350, 0.433174
us_000472459,0.781350, 0.433174
us_000257863,0.781350, 0.433174
us_000462322,0.781350, 0.433174
us_000462327,0.781350, 0.433174
us_000474606,0.781350, 0.433174
us_000476831,0.781350, 0.433174
us_000480366,0.781350, 0.433174
us_000473912,0.781350, 0.433174
us_000604649,0.781350, 0.433174
us_000465095,0.781350, 0.433174
us_000273856,0.781350, 0.433174
us_000476407,0.781350, 0.433174
us_000467048,0.781350, 0.433174
us_000489045,0.781350, 0.433174
us_000478038,0.781350, 0.433174
us_000489736,0.781350, 0.433174
us_000482835,0.781350, 0.433174
us_000474660,0.781350, 0.433174
us_000491639,0.781350, 0.433174
us_000464462,0.781350, 0.433174
us_000463827,0.781350, 0.433174
us_000465162,0.781350, 0.433174
us_000467196,0.781350, 0.433174
us_000465136,0.781350, 0.433255
us_000463930,0.781350, 0.433309
us_000475792,0.781350, 0.433502
us_000479269,0.781350, 0.433606
us_000372938,0.781350, 0.434165
us_000470700,0.781350, 0.434165
us_000476817,0.781350, 0.434165
us_000216870,0.781350, 0.434969
us_000476847,0.781350, 0.435185
us_000486923,0.781350, 0.435190
us_000461674,0.781350, 0.435852
us_000476711,0.781350, 0.435997
us_000361930,0.781350, 0.436701
us_000458493,0.781350, 0.436840
us_000486534,0.781350, 0.438976
us_000473348,0.781350, 0.443306
us_000479804,0.781350, 0.444454
us_000468856,0.781350, 0.446258
us_000464387,0.781350, 0.452304
us_000465092,0.781350, 0.452304
us_000482237,0.781350, 0.460806
us_000474500,0.781350, 0.460962
us_000272533,0.781350, 0.462242
us_000469933,0.781350, 0.464653
us_000486250,0.781350, 0.465312
us_000472396,0.781350, 0.467169
us_000463694,0.781350, 0.472174
us_000478265,0.781350, 0.472174
us_000459989,0.781350, 0.472174
us_000288319,0.781350, 0.472174
us_000477456,0.781350, 0.474744
us_000467748,0.781350, 0.530185
us_000482853,0.781350, 0.596253
pr_001120587,0.777802, 0.000000
pr_001809337,0.777802, 0.000000
pr_001772432,0.777802, 0.000010
us_000474848,0.777802, 0.002798
us_000464525,0.777802, 0.005011
us_000474952,0.777802, 0.398992
us_000461310,0.777802, 0.414048
us_000478168,0.777802, 0.417614
us_000474835,0.777802, 0.424428
us_000169467,0.777802, 0.426351
us_000470602,0.777802, 0.430997
us_000471383,0.777802, 0.433371
us_000467535,0.777802, 0.459470
us_000473761,0.777802, 0.466597
us_000467428,0.777802, 0.468172
us_000480368,0.777802, 0.468172
us_000464391,0.777802, 0.468172
us_000486457,0.777802, 0.470469
us_000482702,0.777802, 0.474673
us_000233053,0.777802, 0.479290
us_000468759,0.777802, 0.480138
us_000471343,0.777802, 0.484374
us_000489385,0.777802, 0.484375
us_000473126,0.777802, 0.484375
us_000471360,0.777802, 0.486459
us_000048381,0.777802, 0.486544
us_000471292,0.777802, 0.489244
us_000466787,0.777802, 0.490041
us_000465935,0.777802, 0.490158
us_000326382,0.777802, 0.490158
us_000461744,0.777802, 0.490158
us_000475848,0.777802, 0.492172
us_000469388,0.777802, 0.492404
us_000312449,0.777802, 0.492730
us_000490737,0.777802, 0.492959
us_000465900,0.777802, 0.492959
us_000490738,0.777802, 0.493637
us_000493239,0.777802, 0.493637
us_000464726,0.777802, 0.493874
us_000490051,0.777802, 0.493874
us_000476230,0.777802, 0.493874
us_000461077,0.777802, 0.493874
us_000476546,0.777802, 0.493874
us_000472331,0.777802, 0.493874
us_000487863,0.777802, 0.493874
us_000461615,0.777802, 0.493874
us_000265351,0.777802, 0.493874
us_000487398,0.777802, 0.493874
us_000461266,0.777802, 0.493874
us_000252703,0.777802, 0.493874
us_000481006,0.777802, 0.495553
us_000463324,0.777802, 0.495981
us_000479313,0.777802, 0.496121
us_000601892,0.777802, 0.497146
us_000176472,0.777802, 0.497182
us_000487634,0.777802, 0.499963
us_000463024,0.777802, 0.500881
us_000471680,0.777802, 0.500881
us_000472656,0.777802, 0.502223
us_000611240,0.777802, 0.503119
us_000473090,0.777802, 0.503208
us_000118309,0.777802, 0.503395
us_000478081,0.777802, 0.503395
us_000285435,0.777802, 0.503395
us_000487278,0.777802, 0.503395
us_000459990,0.777802, 0.504360
us_000459290,0.777802, 0.504597
us_000478121,0.777802, 0.504597
us_000486061,0.777802, 0.504597
us_000464411,0.777802, 0.504597
us_000273879,0.777802, 0.506381
us_000486402,0.777802, 0.514327
us_000462090,0.777802, 0.515303
us_000459240,0.777802, 0.521050
us_000469467,0.777802, 0.521225
us_000536558,0.777802, 0.523959
us_000469213,0.777802, 0.525112
us_000308627,0.777802, 0.526088
us_000467997,0.777802, 0.527098
us_000469873,0.777802, 0.528089
us_000469910,0.777802, 0.528089
us_000486106,0.777802, 0.529596
us_000171468,0.777802, 0.534836
us_000477929,0.777802, 0.534905
us_000491155,0.777802, 0.534905
us_000468075,0.777802, 0.536622
us_000269387,0.777802, 0.538557
us_000428677,0.777802, 0.538767
us_000483931,0.777802, 0.540271
us_000486124,0.777802, 0.541256
us_000277442,0.777802, 0.541443
us_000491357,0.777802, 0.541443
us_000510684,0.777802, 0.542645
us_000479159,0.777802, 0.542645
us_000258679,0.777802, 0.542645
us_000464694,0.777802, 0.542645
us_000459040,0.777802, 0.542645
us_000467912,0.777802, 0.542645
us_000479476,0.777802, 0.542645
us_000141529,0.777802, 0.542645
us_000271586,0.777802, 0.550835
us_000514231,0.777802, 0.559632
us_000467089,0.777802, 0.566492
us_000474143,0.777802, 0.590188
us_000472956,0.777802, 0.593654
us_000535988,0.722781, 0.000000
us_000547417,0.722781, 0.000000
us_000463701,0.722781, 1.120264
us_000519844,0.722781, 1.313205
us_000466027,0.722781, 1.364391
us_000554089,0.722781, 1.421492
us_000467262,0.722781, 1.485193
us_000469854,0.722781, 1.511663
us_000471554,0.722781, 1.512004
us_000480565,0.722781, 1.512677
us_000462817,0.722781, 1.535746
us_000468968,0.722781, 1.552098
us_000469248,0.722781, 1.591394
us_000471534,0.722781, 1.612614
us_000469491,0.722781, 1.629602
pr_002122231,0.703054, 0.000000
pr_001827472,0.703054, 0.000001
us_000042343,0.703054, 0.392872
us_000149815,0.703054, 0.394225
us_000483076,0.703054, 0.396577
us_000461960,0.703054, 0.396577
us_000477511,0.703054, 0.396577
us_000475841,0.703054, 0.396577
us_000477130,0.703054, 0.396577
us_000057568,0.703054, 0.396577
us_000474501,0.703054, 0.400018
us_000477834,0.703054, 0.400160
us_000470722,0.703054, 0.400160
us_000475256,0.703054, 0.400160
us_000464826,0.703054, 0.400160
us_000475085,0.703054, 0.400160
us_000469945,0.703054, 0.400160
us_000464100,0.703054, 0.400160
us_000464800,0.703054, 0.400160
us_000458562,0.703054, 0.400160
us_000473485,0.703054, 0.403210
us_000465122,0.703054, 0.403760
us_000475187,0.703054, 0.403760
us_000475098,0.703054, 0.403760
us_000488268,0.703054, 0.403760
us_000461814,0.703054, 0.403760
us_000156036,0.703054, 0.403760
us_000478759,0.703054, 0.403760
us_000476571,0.703054, 0.403760
us_000461034,0.703054, 0.403760
us_000156620,0.703054, 0.403760
us_000461809,0.703054, 0.403760
us_000475069,0.703054, 0.404865
us_000330652,0.703054, 0.406823
us_000472599,0.703054, 0.406890
