Product ID : 211 # of JPs covered : 1 : 214 : Insurance Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000488840,0.914608, 0.485319
us_000460728,0.914608, 0.485319
us_000490124,0.914608, 0.485319
us_000489932,0.914608, 0.485319
us_000518661,0.914608, 0.485319
us_000489963,0.914608, 0.485319
us_000597684,0.914608, 0.485582
us_000597666,0.914608, 0.485582
us_000597690,0.914608, 0.485582
us_000585451,0.914608, 0.485582
us_000597685,0.914608, 0.485582
us_000597681,0.914608, 0.485582
us_000597679,0.914608, 0.485582
us_000597676,0.914608, 0.485582
us_000580271,0.914608, 0.485582
us_000485769,0.914608, 0.485811
us_000489956,0.914608, 0.485942
us_000466267,0.914608, 0.486385
us_000611950,0.914608, 0.488958
us_000574146,0.914608, 0.489221
us_000584312,0.914608, 0.490287
us_000578334,0.914608, 0.490287
us_000472829,0.914608, 0.490923
us_000572577,0.914608, 0.490966
us_000577823,0.914608, 0.490966
us_000572580,0.914608, 0.490966
us_000577821,0.914608, 0.490966
us_000572583,0.914608, 0.490966
us_000572582,0.914608, 0.490966
us_000572581,0.914608, 0.490966
us_000572617,0.914608, 0.490966
us_000477200,0.914608, 0.491272
us_000549884,0.914608, 0.491272
us_000499801,0.914608, 0.491272
us_000593652,0.914608, 0.491656
us_000612852,0.914608, 0.491656
us_000593685,0.914608, 0.491656
us_000599233,0.914608, 0.491656
us_000612723,0.914608, 0.491656
us_000612451,0.914608, 0.491656
us_000613673,0.914608, 0.491656
us_000593250,0.914608, 0.491656
us_000583719,0.914608, 0.491656
us_000459584,0.914608, 0.491925
us_000615227,0.914608, 0.491925
us_000462085,0.914608, 0.491925
us_000475137,0.914608, 0.491925
us_000466130,0.914608, 0.491925
us_000474148,0.914608, 0.491925
us_000572733,0.914608, 0.492356
us_000541203,0.914608, 0.492356
us_000572674,0.914608, 0.492356
us_000473261,0.914608, 0.492356
us_000612982,0.914608, 0.492356
us_000612983,0.914608, 0.492356
us_000588910,0.914608, 0.492356
us_000612984,0.914608, 0.492356
us_000612835,0.914608, 0.492356
us_000572734,0.914608, 0.492356
us_000602611,0.914608, 0.492356
us_000612805,0.914608, 0.493377
us_000510251,0.914608, 0.493583
us_000354513,0.914608, 0.493799
us_000464815,0.914608, 0.495731
us_000577801,0.914608, 0.495731
us_000577802,0.914608, 0.495731
us_000597609,0.914608, 0.496236
us_000465784,0.914608, 0.496391
us_000584599,0.914608, 0.496392
us_000496239,0.914608, 0.497266
us_000130294,0.914608, 0.497266
us_000490064,0.914608, 0.497266
us_000541274,0.914608, 0.497266
us_000533483,0.914608, 0.497266
us_000496304,0.914608, 0.497266
us_000577797,0.914608, 0.497770
us_000597043,0.914608, 0.497770
us_000460241,0.914608, 0.497770
us_000584565,0.914608, 0.497770
us_000596270,0.914608, 0.497770
us_000466990,0.914608, 0.497770
us_000604453,0.914608, 0.498470
us_000586557,0.914608, 0.498470
us_000606889,0.914608, 0.498470
us_000602936,0.914608, 0.498470
us_000573493,0.914608, 0.498470
us_000586370,0.914608, 0.498470
us_000609788,0.914608, 0.498470
us_000582761,0.914608, 0.498470
us_000616964,0.914608, 0.498470
us_000612839,0.914608, 0.498470
us_000573536,0.914608, 0.498470
us_000611702,0.914608, 0.498470
us_000580499,0.914608, 0.498470
us_000460095,0.914608, 0.498470
us_000586371,0.914608, 0.498470
us_000612415,0.914608, 0.498470
us_000477154,0.914608, 0.498470
us_000613009,0.914608, 0.498470
us_000601110,0.914608, 0.498470
us_000480714,0.914608, 0.498470
us_000583153,0.914608, 0.498470
us_000601114,0.914608, 0.498470
us_000586195,0.914608, 0.498470
us_000596350,0.914608, 0.498470
us_000604303,0.914608, 0.498470
us_000586368,0.914608, 0.498470
us_000612720,0.914608, 0.498470
us_000582415,0.914608, 0.498470
us_000612840,0.914608, 0.498470
us_000573532,0.914608, 0.498470
us_000592216,0.914608, 0.498470
us_000586564,0.914608, 0.498470
us_000600876,0.914608, 0.498470
us_000607380,0.914608, 0.498470
us_000571393,0.914608, 0.498470
us_000596266,0.914608, 0.498470
us_000614899,0.914608, 0.498470
us_000476893,0.914608, 0.498470
us_000614595,0.914608, 0.498470
us_000582768,0.914608, 0.498470
us_000614253,0.914608, 0.498470
us_000603391,0.914608, 0.498470
us_000605590,0.914608, 0.498470
us_000581739,0.914608, 0.498470
us_000581971,0.914608, 0.498470
us_000612191,0.914608, 0.498470
us_000612841,0.914608, 0.498470
us_000594434,0.914608, 0.498470
us_000614939,0.914608, 0.498470
us_000594234,0.914608, 0.498470
us_000612682,0.914608, 0.498470
us_000593671,0.914608, 0.499339
us_000599577,0.914608, 0.501503
us_000584600,0.914608, 0.502837
us_000524232,0.914608, 0.503299
us_000495129,0.914608, 0.503299
us_000459525,0.914608, 0.503299
us_000459516,0.914608, 0.503299
us_000520796,0.914608, 0.503299
us_000540232,0.914608, 0.503299
us_000465760,0.914608, 0.503299
us_000563836,0.914608, 0.503299
us_000563844,0.914608, 0.503299
us_000495687,0.914608, 0.503299
us_000501199,0.914608, 0.503299
us_000556130,0.914608, 0.503299
us_000544806,0.914608, 0.503299
us_000518446,0.914608, 0.503299
us_000481131,0.914608, 0.503299
us_000568811,0.914608, 0.503299
us_000132179,0.914608, 0.503299
us_000465728,0.914608, 0.503299
us_000479255,0.914608, 0.503299
us_000564736,0.914608, 0.503299
us_000545095,0.914608, 0.503299
us_000490111,0.914608, 0.503299
us_000459500,0.914608, 0.503299
us_000479168,0.914608, 0.503299
us_000563825,0.914608, 0.503299
us_000459273,0.914608, 0.504008
us_000581729,0.914608, 0.506051
us_000541867,0.914608, 0.507311
us_000614292,0.914608, 0.508054
us_000501287,0.914608, 0.508313
us_000479901,0.914608, 0.509373
us_000563327,0.914608, 0.509373
us_000479439,0.914608, 0.509373
us_000540697,0.914608, 0.509373
us_000567462,0.914608, 0.509373
us_000488722,0.914608, 0.509373
us_000459528,0.914608, 0.509373
us_000539465,0.914608, 0.509373
us_000524394,0.914608, 0.509373
us_000464958,0.914608, 0.509373
us_000599892,0.914608, 0.509373
us_000500386,0.914608, 0.509373
us_000479888,0.914608, 0.509373
us_000599817,0.914608, 0.509373
us_000485782,0.914608, 0.509373
us_000599672,0.914608, 0.509373
us_000464938,0.914608, 0.509373
us_000500259,0.914608, 0.509373
us_000478027,0.914608, 0.509373
us_000553338,0.914608, 0.509373
us_000464910,0.914608, 0.509373
us_000599678,0.914608, 0.509373
us_000338801,0.914608, 0.509373
us_000089462,0.914608, 0.509373
us_000486059,0.914608, 0.509373
us_000479882,0.914608, 0.509373
us_000486845,0.914608, 0.509373
us_000485959,0.914608, 0.509373
us_000581401,0.914608, 0.509373
us_000479984,0.914608, 0.509373
us_000564763,0.914608, 0.509373
us_000599668,0.914608, 0.509373
us_000562039,0.914608, 0.509373
us_000479308,0.914608, 0.509373
us_000480676,0.914608, 0.509373
us_000485739,0.914608, 0.509373
us_000500470,0.914608, 0.509373
us_000581431,0.914608, 0.509373
us_000524450,0.914608, 0.509373
us_000488702,0.914608, 0.509373
us_000465019,0.914608, 0.509373
us_000536318,0.914608, 0.509373
us_000485457,0.914608, 0.509373
us_000540794,0.914608, 0.509373
us_000501540,0.914608, 0.509373
us_000543631,0.914608, 0.509373
us_000317031,0.914608, 0.509373
us_000577877,0.914608, 0.510443
us_000608173,0.914608, 0.511236
us_000563675,0.914608, 0.511302
us_000571709,0.914608, 0.513136
us_000547385,0.914608, 0.513791
us_000461516,0.914608, 0.514813
us_000532777,0.914608, 0.515487
us_000569791,0.914608, 0.515487
us_000481154,0.914608, 0.515487
us_000464527,0.914608, 0.515487
us_000462376,0.914608, 0.515487
us_000542764,0.914608, 0.515487
us_000565979,0.914608, 0.515487
us_000461755,0.914608, 0.515487
us_000476801,0.914608, 0.515487
us_000462374,0.914608, 0.515487
us_000464638,0.914608, 0.515487
us_000462362,0.914608, 0.515487
us_000464416,0.914608, 0.515487
us_000480758,0.914608, 0.515487
us_000604713,0.914608, 0.515487
us_000551019,0.914608, 0.515487
us_000462294,0.914608, 0.515487
us_000461971,0.914608, 0.515487
us_000518959,0.914608, 0.515487
us_000544070,0.914608, 0.515487
us_000598656,0.914608, 0.515487
us_000567449,0.914608, 0.515487
us_000535226,0.914608, 0.515487
us_000567821,0.914608, 0.515487
us_000480730,0.914608, 0.515487
us_000567954,0.914608, 0.515487
us_000462150,0.914608, 0.515487
us_000019125,0.914608, 0.515487
us_000489500,0.914608, 0.515487
us_000568163,0.914608, 0.515487
us_000536196,0.914608, 0.515487
us_000581283,0.914608, 0.515487
us_000563876,0.914608, 0.515487
us_000465158,0.914608, 0.515487
us_000477850,0.914608, 0.515487
us_000466478,0.914608, 0.515487
us_000462412,0.914608, 0.515487
us_000570530,0.914608, 0.515487
us_000540039,0.914608, 0.515487
us_000131702,0.914608, 0.515487
us_000581207,0.914608, 0.515487
us_000567010,0.914608, 0.515487
us_000048327,0.914608, 0.515487
us_000463046,0.914608, 0.515487
us_000565375,0.914608, 0.515487
us_000479971,0.914608, 0.515487
us_000546272,0.914608, 0.515487
us_000462361,0.914608, 0.515487
us_000567016,0.914608, 0.515487
us_000478214,0.914608, 0.515487
us_000480488,0.914608, 0.515487
us_000604716,0.914608, 0.515487
us_000571118,0.914608, 0.515487
us_000462365,0.914608, 0.515487
us_000459548,0.914608, 0.515487
us_000486870,0.914608, 0.515487
us_000563877,0.914608, 0.515487
us_000461807,0.914608, 0.515487
us_000464543,0.914608, 0.515487
us_000496219,0.914608, 0.515487
us_000476649,0.914608, 0.515487
us_000478008,0.914608, 0.515487
us_000567920,0.914608, 0.515487
us_000129367,0.914608, 0.515487
us_000533625,0.914608, 0.515487
us_000502648,0.914608, 0.515487
us_000465086,0.914608, 0.515487
us_000479554,0.914608, 0.515487
us_000463075,0.914608, 0.515487
us_000462378,0.914608, 0.515487
us_000568008,0.914608, 0.515487
us_000465047,0.914608, 0.515487
us_000517549,0.914608, 0.515487
us_000478089,0.914608, 0.515487
us_000458787,0.914608, 0.515487
us_000462512,0.914608, 0.515487
us_000478212,0.914608, 0.515487
us_000536411,0.914608, 0.515487
us_000462316,0.914608, 0.515487
us_000462363,0.914608, 0.515487
us_000563905,0.914608, 0.515487
us_000479774,0.914608, 0.515487
us_000543628,0.914608, 0.515487
us_000487936,0.914608, 0.515487
us_000480986,0.914608, 0.515487
us_000541133,0.914608, 0.515487
us_000485419,0.914608, 0.515487
us_000462974,0.914608, 0.515487
us_000481185,0.914608, 0.515487
us_000093973,0.914608, 0.515487
us_000481189,0.914608, 0.515487
us_000477495,0.914608, 0.515487
us_000198504,0.914608, 0.515487
us_000462136,0.914608, 0.515487
us_000598654,0.914608, 0.515487
us_000555705,0.914608, 0.515487
us_000535510,0.914608, 0.515487
us_000542507,0.914608, 0.515487
us_000461788,0.914608, 0.515487
us_000542116,0.914608, 0.515487
us_000462792,0.914608, 0.515487
us_000218559,0.914608, 0.515487
us_000464506,0.914608, 0.515487
