Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
us_000489992,0.081597, 0.000000
us_000334760,0.081597, 0.000000
us_000467043,0.081597, 0.000000
us_000485892,0.081597, 0.000000
us_000489558,0.081597, 0.000000
us_000472932,0.081597, 0.000000
us_000477817,0.081597, 0.000000
us_000482150,0.081597, 0.000000
us_000467165,0.081597, 0.000000
us_000550366,0.081597, 0.000000
us_000496168,0.081597, 0.000000
us_000475471,0.081597, 0.000000
us_000462576,0.081597, 0.000000
us_000337159,0.081597, 0.000000
us_000055459,0.081597, 0.000000
pr_001910025,0.081597, 0.000000
pr_002244139,0.081597, 0.000000
pr_001889539,0.081597, 0.000000
pr_001835231,0.081597, 0.000000
pr_001719640,0.081597, 0.000000
pr_001888714,0.081597, 0.000000
pr_001795157,0.081597, 0.000000
pr_001790175,0.081597, 0.000000
pr_001942590,0.081597, 0.000000
pr_002198244,0.081597, 0.000000
pr_001894976,0.081597, 0.000000
pr_001610021,0.081597, 0.000000
pr_002069481,0.081597, 0.000000
pr_001905968,0.081597, 0.000000
pr_001939302,0.081597, 0.000000
pr_002121350,0.081597, 0.000000
pr_002204781,0.081597, 0.000000
pr_001942211,0.081597, 0.000000
pr_002063817,0.081597, 0.000000
pr_002080868,0.081597, 0.000000
pr_001138603,0.081597, 0.000000
pr_001895463,0.081597, 0.000000
pr_001635031,0.081597, 0.000000
pr_002040499,0.081597, 0.000000
pr_001851203,0.081597, 0.000000
pr_001729582,0.081597, 0.000000
pr_001840212,0.081597, 0.000000
pr_001895133,0.081597, 0.000000
pr_001398993,0.081597, 0.000000
pr_002121895,0.081597, 0.000000
pr_002244087,0.081597, 0.000000
pr_001806050,0.081597, 0.000000
pr_001975808,0.081597, 0.000000
pr_001907633,0.081597, 0.000000
pr_001815064,0.081597, 0.000000
pr_001886219,0.081597, 0.000000
pr_001625422,0.081597, 0.000000
pr_001895424,0.081597, 0.000000
pr_002132328,0.081597, 0.000000
pr_002230926,0.081597, 0.000000
pr_002245401,0.081597, 0.000000
pr_002099522,0.081597, 0.000000
pr_001895037,0.081597, 0.000000
pr_001940059,0.081597, 0.000000
pr_001898640,0.081597, 0.000000
pr_001583809,0.081597, 0.000000
pr_002065757,0.081597, 0.000000
pr_002201026,0.081597, 0.000000
pr_001942557,0.081597, 0.000000
pr_002121870,0.081597, 0.000000
pr_001907472,0.081597, 0.000000
pr_001899381,0.081597, 0.000000
pr_001733356,0.081597, 0.000000
pr_001963421,0.081597, 0.000000
pr_002136151,0.081597, 0.000000
pr_002176529,0.081597, 0.000000
pr_002105308,0.081597, 0.000000
pr_001908659,0.081597, 0.000000
pr_002222870,0.081597, 0.000000
pr_002121938,0.081597, 0.000000
pr_002123605,0.081597, 0.000000
pr_001154010,0.081597, 0.000000
pr_002053779,0.081597, 0.000000
pr_001906133,0.081597, 0.000000
pr_001786250,0.081597, 0.000000
pr_001884664,0.081597, 0.000000
pr_001397452,0.081597, 0.000000
pr_001940604,0.081597, 0.000000
pr_001942195,0.081597, 0.000000
pr_001980777,0.081597, 0.000000
us_000460885,0.081597, 0.000000
us_000265889,0.081597, 0.000001
pr_001884379,0.081597, 0.000001
pr_001802625,0.081597, 0.000001
pr_001906137,0.081597, 0.000001
pr_001158271,0.081597, 0.000001
pr_001907198,0.081597, 0.000001
pr_001888757,0.081597, 0.000001
pr_001391552,0.081597, 0.000001
pr_001906164,0.081597, 0.000001
pr_001936294,0.081597, 0.000001
pr_001901513,0.081597, 0.000002
pr_001135018,0.081597, 0.000003
pr_000755902,0.081597, 0.000003
pr_000882684,0.081597, 0.000003
pr_000946603,0.081597, 0.000003
pr_001104374,0.081597, 0.000003
pr_000934956,0.081597, 0.000003
pr_001011612,0.081597, 0.000003
pr_001149587,0.081597, 0.000003
pr_001098658,0.081597, 0.000003
pr_001053652,0.081597, 0.000003
pr_001628306,0.081597, 0.000003
pr_001134817,0.081597, 0.000003
pr_001614140,0.081597, 0.000003
pr_001137097,0.081597, 0.000003
pr_001134269,0.081597, 0.000003
pr_001049934,0.081597, 0.000003
pr_000848162,0.081597, 0.000003
pr_000946972,0.081597, 0.000003
pr_001058248,0.081597, 0.000003
pr_001134268,0.081597, 0.000003
pr_001153498,0.081597, 0.000003
pr_001028027,0.081597, 0.000005
us_000595288,0.081597, 0.000006
pr_001120535,0.081597, 0.000006
pr_001802613,0.081597, 0.000006
pr_001787351,0.081597, 0.000006
us_000550108,0.081597, 0.000006
us_000573322,0.081597, 0.000007
us_000558039,0.081597, 0.000007
pr_001948843,0.081597, 0.000007
pr_001882165,0.081597, 0.000007
pr_002171482,0.081597, 0.000007
pr_001939875,0.081597, 0.000007
pr_001889118,0.081597, 0.000007
pr_001942956,0.081597, 0.000007
us_000471298,0.081597, 0.000007
pr_001167614,0.081597, 0.000007
pr_000768914,0.081597, 0.000009
us_000574733,0.081597, 0.000011
