Product ID : 2099 # of JPs covered : 1 : 363 : LoanDoc-UCC, 
OID,Confidence at Map Node,Error at Map Node
us_000584604,0.623590, 0.000029
us_000592544,0.623590, 0.000029
us_000616636,0.623590, 0.000029
us_000592257,0.623590, 0.000029
pr_001138256,0.623590, 0.000031
pr_001802922,0.623590, 0.000047
pr_001777089,0.623590, 0.000047
us_000513021,0.623590, 0.000050
pr_002121650,0.623590, 0.000055
pr_001801207,0.623590, 0.000055
pr_001785803,0.623590, 0.000063
us_000526716,0.623590, 0.000063
pr_001154845,0.623590, 0.000070
pr_000755813,0.623590, 0.000070
pr_001775771,0.623590, 0.000072
us_000516689,0.623590, 0.000080
pr_002038172,0.623590, 0.000080
pr_001027951,0.623590, 0.000094
us_000465997,0.623590, 0.000098
us_000461275,0.623590, 0.000113
us_000469738,0.623590, 0.000113
us_000141844,0.623590, 0.000117
pr_001780587,0.623590, 0.000129
pr_002042257,0.623590, 0.000134
us_000614329,0.623590, 0.000142
pr_001884201,0.623590, 0.000143
us_000215592,0.623590, 0.000163
us_000531255,0.623590, 0.000167
us_000549940,0.623590, 0.000174
us_000478811,0.623590, 0.000183
us_000488851,0.623590, 0.000202
us_000518193,0.623590, 0.000203
pr_001783692,0.623590, 0.000215
us_000479525,0.623590, 0.000218
us_000596966,0.623590, 0.000226
us_000533506,0.623590, 0.000233
us_000500173,0.623590, 0.000233
us_000592444,0.623590, 0.000233
us_000498889,0.623590, 0.000316
us_000510904,0.623590, 0.000324
us_000525420,0.623590, 0.000330
us_000568223,0.623590, 0.000347
us_000483711,0.623590, 0.000417
us_000512248,0.623590, 0.000441
us_000613316,0.623590, 0.000446
us_000479618,0.623590, 0.000463
us_000524552,0.623590, 0.000533
us_000511120,0.623590, 0.000589
pr_000208930,0.623590, 0.000630
