OID,Sq Dist to BMU, BMU Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,
1072,0.00000019,(23|5),0.00022310,(23|6),0.00082878,(22|5),0.00151109,(24|5),0.00165761,(23|4),0.00196361,(24|6),0.00689547,(22|4),0.03705577,(22|6),0.06063512,(24|4),
1073,0.00001156,(30|1),0.00006151,(29|1),0.00177951,(30|2),0.00527025,(31|1),0.00770860,(31|2),0.03353687,(30|0),0.07222667,(31|0),0.52703714,(29|2),0.60238755,(29|0),
1075,0.00000000,(3|41),0.00000108,(4|41),0.00000222,(3|40),0.00000440,(3|42),0.00002476,(2|41),0.00025587,(4|40),0.00050524,(2|40),0.00171004,(2|42),0.04039694,(4|42),
1076,0.00000000,(29|35),0.00000030,(30|35),0.00000104,(28|35),0.00000249,(29|36),0.00000456,(29|34),0.00126820,(28|36),0.00167897,(28|34),0.00214013,(30|34),0.02115971,(30|36),
1077,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1078,0.00000000,(26|31),0.00000392,(26|30),0.00000401,(27|31),0.00005762,(26|32),0.00021972,(25|31),0.00097679,(27|30),0.00346459,(25|32),0.00763442,(27|32),0.00985263,(25|30),
1079,0.00000000,(32|23),0.00000046,(33|23),0.00000446,(31|23),0.00001002,(32|24),0.00001664,(32|22),0.00034446,(31|22),0.00064628,(33|22),0.00382127,(31|24),0.00429206,(33|24),
108,0.00000000,(20|34),0.00000002,(19|34),0.00000952,(21|34),0.00001580,(20|35),0.00002288,(20|33),0.00022025,(19|33),0.00130750,(19|35),0.00200504,(21|35),0.00252917,(21|33),
1080,0.00000000,(10|8),0.00000057,(10|7),0.00000306,(11|8),0.00000716,(10|9),0.00001557,(9|8),0.00012955,(9|7),0.00226748,(9|9),0.00972173,(11|7),0.01876474,(11|9),
1081,0.00000000,(48|42),0.00000773,(48|43),0.00002157,(47|42),0.00004238,(48|41),0.00018569,(49|42),0.00029509,(47|43),0.00354519,(47|41),0.00600985,(49|41),0.00845820,(49|43),
1082,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1083,0.00000467,(33|41),0.00016244,(32|41),0.00031217,(34|41),0.00323607,(33|42),0.00771027,(34|40),0.00851833,(33|40),0.05292011,(34|42),0.06164449,(32|40),0.26378986,(32|42),
1084,0.00000023,(32|17),0.00015833,(32|16),0.00017706,(31|17),0.00151988,(33|17),0.00164624,(32|18),0.00225947,(33|16),0.00265517,(31|16),0.00920878,(31|18),0.01073342,(33|18),
1085,0.00000003,(0|6),0.00000335,(0|7),0.00002093,(49|6),0.00002932,(0|5),0.00009509,(1|6),0.00075426,(1|7),0.00568270,(49|5),0.01147958,(1|5),0.36823601,(49|7),
1086,0.00000001,(41|46),0.00001241,(42|46),0.00001474,(40|46),0.00003289,(41|45),0.00012609,(41|47),0.00029443,(40|45),0.00162319,(40|47),0.00487382,(42|47),0.01348659,(42|45),
1087,0.00007402,(26|44),0.08469204,(27|44),0.14147766,(27|43),0.21848245,(26|45),0.28501233,(26|43),0.56533617,(25|44),0.94858563,(25|43),0.99280107,(25|45),0.99554759,(27|45),
1088,0.00000000,(15|46),0.00000245,(15|47),0.00000326,(16|46),0.00000847,(14|46),0.00000868,(15|45),0.00107559,(14|45),0.00233184,(14|47),0.00284318,(16|47),0.03651397,(16|45),
1089,0.00000000,(20|34),0.00000002,(19|34),0.00000952,(21|34),0.00001580,(20|35),0.00002288,(20|33),0.00022025,(19|33),0.00130750,(19|35),0.00200504,(21|35),0.00252917,(21|33),
109,0.00006686,(25|3),0.00028123,(26|3),0.00545630,(25|4),0.00698126,(25|2),0.03259588,(26|2),0.04072092,(24|3),0.12599057,(24|4),0.59411424,(24|2),0.68723089,(26|4),
1090,0.00000000,(10|8),0.00000057,(10|7),0.00000306,(11|8),0.00000716,(10|9),0.00001557,(9|8),0.00012955,(9|7),0.00226748,(9|9),0.00972173,(11|7),0.01876474,(11|9),
1091,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1092,0.00000000,(3|41),0.00000108,(4|41),0.00000222,(3|40),0.00000440,(3|42),0.00002476,(2|41),0.00025587,(4|40),0.00050524,(2|40),0.00171004,(2|42),0.04039694,(4|42),
1093,0.00000000,(32|23),0.00000046,(33|23),0.00000446,(31|23),0.00001002,(32|24),0.00001664,(32|22),0.00034446,(31|22),0.00064628,(33|22),0.00382127,(31|24),0.00429206,(33|24),
1094,0.00000029,(26|42),0.00001125,(25|42),0.00012272,(26|41),0.00140434,(27|42),0.01501377,(26|43),0.02305065,(27|41),0.09722679,(27|43),0.71490318,(25|41),0.81795120,(25|43),
1095,0.00000006,(23|27),0.00001243,(22|27),0.00002030,(23|26),0.00005355,(23|28),0.00009763,(24|27),0.00019933,(24|28),0.00126819,(24|26),0.00141892,(22|28),0.00225320,(22|26),
1096,0.00001156,(30|1),0.00006151,(29|1),0.00177951,(30|2),0.00527025,(31|1),0.00770860,(31|2),0.03353687,(30|0),0.07222667,(31|0),0.52703714,(29|2),0.60238755,(29|0),
1097,0.00000001,(37|0),0.00001580,(37|1),0.00007289,(38|0),0.00007428,(37|49),0.00013491,(36|0),0.00160818,(38|1),0.00684134,(36|1),0.00922658,(38|49),0.02915551,(36|49),
1098,0.00000002,(12|0),0.00002965,(13|0),0.00007990,(12|49),0.00011955,(12|1),0.00080777,(11|1),0.00127154,(11|0),0.00152676,(13|1),0.00159865,(13|49),0.00451832,(11|49),
1099,0.00000000,(48|42),0.00000773,(48|43),0.00002157,(47|42),0.00004238,(48|41),0.00018569,(49|42),0.00029509,(47|43),0.00354519,(47|41),0.00600985,(49|41),0.00845820,(49|43),
110,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
1100,0.00000023,(32|17),0.00015833,(32|16),0.00017706,(31|17),0.00151988,(33|17),0.00164624,(32|18),0.00225947,(33|16),0.00265517,(31|16),0.00920878,(31|18),0.01073342,(33|18),
1101,0.00000000,(20|40),0.00000001,(20|41),0.00000010,(21|40),0.00000174,(19|40),0.00000252,(20|39),0.00003593,(21|41),0.00014486,(21|39),0.00079656,(19|39),0.02168158,(19|41),
1102,0.00000000,(29|35),0.00000030,(30|35),0.00000104,(28|35),0.00000249,(29|36),0.00000456,(29|34),0.00126820,(28|36),0.00167897,(28|34),0.00214013,(30|34),0.02115971,(30|36),
1103,0.00000019,(23|5),0.00022310,(23|6),0.00082878,(22|5),0.00151109,(24|5),0.00165761,(23|4),0.00196361,(24|6),0.00689547,(22|4),0.03705577,(22|6),0.06063512,(24|4),
1104,0.00000000,(26|31),0.00000392,(26|30),0.00000401,(27|31),0.00005762,(26|32),0.00021972,(25|31),0.00097679,(27|30),0.00346459,(25|32),0.00763442,(27|32),0.00985263,(25|30),
1106,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1107,0.00000000,(40|34),0.00000003,(41|34),0.00000004,(39|34),0.00000011,(40|33),0.00000013,(40|35),0.00001673,(41|33),0.00226447,(39|33),0.01831894,(41|35),0.69077444,(39|35),
1108,0.00000003,(0|6),0.00000335,(0|7),0.00002093,(49|6),0.00002932,(0|5),0.00009509,(1|6),0.00075426,(1|7),0.00568270,(49|5),0.01147958,(1|5),0.36823601,(49|7),
1109,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
111,0.00000014,(24|41),0.00022265,(25|41),0.00273094,(24|40),0.00296106,(23|41),0.07666852,(25|40),0.08778465,(23|40),0.29683462,(24|42),0.31492862,(23|42),0.98427469,(25|42),
1110,0.00000000,(10|8),0.00000057,(10|7),0.00000306,(11|8),0.00000716,(10|9),0.00001557,(9|8),0.00012955,(9|7),0.00226748,(9|9),0.00972173,(11|7),0.01876474,(11|9),
1111,0.00000000,(32|23),0.00000046,(33|23),0.00000446,(31|23),0.00001002,(32|24),0.00001664,(32|22),0.00034446,(31|22),0.00064628,(33|22),0.00382127,(31|24),0.00429206,(33|24),
1112,0.00000000,(40|37),0.00000515,(40|36),0.00001478,(40|38),0.00002006,(41|37),0.00016586,(39|37),0.00089347,(39|38),0.00121088,(41|36),0.00805774,(39|36),0.04540359,(41|38),
1113,0.00000002,(12|0),0.00002965,(13|0),0.00007990,(12|49),0.00011955,(12|1),0.00080777,(11|1),0.00127154,(11|0),0.00152676,(13|1),0.00159865,(13|49),0.00451832,(11|49),
1114,0.00000459,(28|2),0.00082945,(27|2),0.00090743,(28|3),0.00282436,(29|2),0.02086083,(28|1),0.07044478,(27|3),0.09872856,(29|3),0.22708489,(27|1),0.86957836,(29|1),
