Product ID : 2103 # of JPs covered : 1 : 279 : Professional Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000614397,0.017372, 0.000000
us_000593063,0.017372, 0.000000
us_000545830,0.017372, 0.000000
us_000486578,0.017372, 0.000000
pr_000640761,0.017372, 0.000001
pr_001707235,0.017372, 0.000001
pr_002096413,0.017372, 0.000002
pr_002124599,0.017372, 0.000002
pr_001907296,0.017372, 0.000002
pr_002052247,0.017372, 0.000002
us_000492420,0.017372, 0.000002
us_000523168,0.017372, 0.000002
us_000479998,0.017372, 0.000003
us_000474079,0.017372, 0.000003
us_000461610,0.017372, 0.000003
us_000460963,0.017372, 0.000003
us_000194359,0.017372, 0.000003
us_000489434,0.017372, 0.000003
us_000201775,0.017372, 0.000004
us_000495487,0.017372, 0.000004
us_000494695,0.017372, 0.000004
us_000517625,0.017372, 0.000004
us_000588060,0.017372, 0.000004
us_000516990,0.017372, 0.000004
us_000552602,0.017372, 0.000004
us_000492919,0.017372, 0.000004
us_000486918,0.017372, 0.000004
us_000513952,0.017372, 0.000004
us_000516250,0.017372, 0.000004
us_000616107,0.017372, 0.000004
us_000533665,0.017372, 0.000004
us_000606697,0.017372, 0.000004
us_000615042,0.017372, 0.000004
us_000496698,0.017372, 0.000004
us_000584695,0.017372, 0.000004
us_000599070,0.017372, 0.000004
us_000590120,0.017372, 0.000004
us_000599090,0.017372, 0.000004
pr_001664698,0.017372, 0.000008
pr_001977699,0.017372, 0.000008
pr_002083870,0.017372, 0.000008
pr_002113896,0.017372, 0.000008
pr_002112608,0.017372, 0.000008
pr_002082318,0.017372, 0.000008
pr_001756731,0.017372, 0.000008
pr_002084756,0.017372, 0.000008
pr_001663930,0.017372, 0.000008
pr_002116388,0.017372, 0.000008
us_000518578,0.017372, 0.000009
us_000564488,0.017372, 0.000014
pr_001665830,0.017372, 0.000015
pr_001966384,0.017372, 0.000015
us_000482131,0.017372, 0.000017
us_000484015,0.017372, 0.000021
us_000589697,0.017372, 0.000028
us_000615491,0.017372, 0.000028
us_000520693,0.017372, 0.000028
us_000510848,0.017372, 0.000028
