Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
us_000604056,0.271411, 0.015050
us_000533725,0.271411, 0.029109
us_000616803,0.271411, 0.077407
us_000539699,0.271411, 0.092539
us_000573872,0.271411, 0.106642
us_000529869,0.271411, 0.158820
us_000539619,0.271411, 0.177095
us_000545301,0.271411, 0.188958
us_000579525,0.271411, 0.203158
us_000558426,0.271411, 0.203419
us_000508151,0.271411, 0.218338
us_000586348,0.271411, 0.221404
us_000554848,0.271411, 0.224333
us_000489673,0.271411, 0.239588
us_000563681,0.271411, 0.244426
us_000566382,0.271411, 0.245143
us_000592165,0.271411, 0.249617
us_000543831,0.271411, 0.253376
us_000484715,0.271411, 0.256312
us_000538520,0.271411, 0.260838
us_000599156,0.271411, 0.260883
us_000533249,0.271411, 0.270098
us_000513330,0.271411, 0.283047
pr_000900941,0.271411, 0.294724
pr_001360900,0.271411, 0.295233
pr_001265036,0.271411, 0.295458
pr_001490351,0.271411, 0.295782
pr_000810704,0.271411, 0.295813
pr_001347286,0.271411, 0.296225
pr_001302480,0.271411, 0.296380
us_000573671,0.271411, 0.296448
pr_001447906,0.271411, 0.296467
pr_001532446,0.271411, 0.296467
pr_001182217,0.271411, 0.296662
us_000609244,0.271411, 0.296801
pr_001339078,0.271411, 0.296828
pr_001364768,0.271411, 0.297219
pr_001181195,0.271411, 0.297255
pr_001523964,0.271411, 0.297255
pr_001189363,0.271411, 0.297621
pr_001327284,0.271411, 0.297662
us_000518494,0.271411, 0.299297
pr_001225295,0.271411, 0.299499
pr_000819519,0.271411, 0.299657
pr_000871270,0.271411, 0.300092
pr_001156248,0.271411, 0.300286
pr_001387198,0.271411, 0.301757
pr_001188369,0.271411, 0.301887
pr_001470712,0.271411, 0.301887
pr_001253780,0.271411, 0.301887
pr_000858073,0.271411, 0.301887
pr_001366088,0.271411, 0.301909
pr_001446527,0.271411, 0.302462
us_000571409,0.271411, 0.302857
us_000578122,0.271411, 0.304533
pr_001242335,0.271411, 0.304576
pr_001010818,0.271411, 0.304635
pr_001384324,0.271411, 0.304938
pr_001387310,0.271411, 0.304938
pr_001537721,0.271411, 0.310073
pr_001323712,0.271411, 0.310927
us_000574597,0.271411, 0.311558
us_000539655,0.271411, 0.313935
pr_001486626,0.271411, 0.315199
pr_001237514,0.271411, 0.315310
us_000543073,0.271411, 0.317749
us_000608366,0.271411, 0.318593
pr_001529368,0.271411, 0.324501
us_000616433,0.271411, 0.344473
us_000559592,0.271411, 0.345042
us_000586913,0.271411, 0.351348
us_000554043,0.271411, 0.355250
us_000487617,0.208630, 0.000000
us_000494975,0.208630, 0.000000
pr_000592580,0.208630, 0.000002
pr_001142176,0.208630, 0.000068
pr_000992181,0.208630, 0.000068
pr_000655841,0.208630, 0.001124
us_000581964,0.208630, 1.286163
us_000477401,0.134361, 0.000000
us_000462869,0.134361, 0.000000
us_000493712,0.134361, 0.000000
us_000459437,0.134361, 0.000000
us_000471017,0.134361, 0.000000
us_000475873,0.134361, 0.000000
us_000462392,0.134361, 0.000000
us_000474703,0.134361, 0.000000
