Product ID : 912 JPs covered : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000537893,0.591584, 0.775762
us_000496166,0.591584, 0.776102
us_000512391,0.591584, 0.781595
us_000462263,0.591584, 0.783299
us_000525973,0.591584, 0.784871
us_000497373,0.591584, 0.787669
us_000613649,0.591584, 0.787743
us_000498055,0.591584, 0.789097
us_000510142,0.591584, 0.792002
us_000549711,0.591584, 0.794007
us_000531340,0.591584, 0.794334
us_000547900,0.591584, 0.794581
us_000561926,0.591584, 0.794643
us_000609446,0.591584, 0.797648
us_000512404,0.591584, 0.798330
us_000521117,0.591584, 0.798337
us_000520707,0.591584, 0.799560
us_000480776,0.591584, 0.802094
us_000515126,0.591584, 0.802601
us_000561226,0.591584, 0.805736
us_000503188,0.591584, 0.805815
us_000614874,0.591584, 0.805954
us_000605829,0.591584, 0.806067
us_000520866,0.591584, 0.806836
us_000587109,0.591584, 0.807900
us_000499026,0.591584, 0.808971
us_000561793,0.591584, 0.810050
us_000549364,0.591584, 0.810050
us_000527491,0.591584, 0.810090
us_000529774,0.591584, 0.812301
us_000511175,0.591584, 0.812495
us_000576271,0.591584, 0.812746
us_000507880,0.591584, 0.812903
us_000601749,0.591584, 0.813247
us_000610570,0.591584, 0.813786
us_000521284,0.591584, 0.816006
us_000529920,0.591584, 0.819019
us_000561132,0.591584, 0.819019
us_000524896,0.591584, 0.819472
us_000558909,0.591584, 0.820080
us_000561925,0.591584, 0.821235
us_000499036,0.591584, 0.821235
us_000553582,0.591584, 0.823974
us_000515199,0.591584, 0.825579
us_000575742,0.591584, 0.825699
us_000562652,0.591584, 0.825968
us_000499617,0.591584, 0.825968
