Product ID : 2114 # of JPs covered : 1 : 377 : Energy-Renewable-Contracts, 
OID,Confidence at Map Node,Error at Map Node
us_000497679,0.360604, 0.000021
pr_000581799,0.360604, 0.000028
pr_000656326,0.360604, 0.000031
pr_001143647,0.360604, 0.000032
pr_001076156,0.360604, 0.000041
pr_001903707,0.360604, 0.000042
pr_001411457,0.360604, 0.000043
us_000516304,0.360604, 0.000048
pr_000188293,0.360604, 0.000048
us_000524387,0.360604, 0.000049
pr_001722513,0.360604, 0.000052
pr_001959955,0.360604, 0.000067
us_000512532,0.360604, 0.000075
pr_001403687,0.360604, 0.000076
us_000511857,0.360604, 0.000095
pr_001403560,0.360604, 0.000103
us_000590222,0.360604, 0.000118
pr_001085899,0.360604, 0.000133
us_000581499,0.360604, 0.000175
pr_001098621,0.360604, 0.000235
pr_000410075,0.360604, 0.000258
us_000588325,0.360604, 0.000515
us_000555876,0.360604, 0.000619
us_000606431,0.360604, 0.000705
us_000598747,0.360604, 0.000735
us_000558078,0.360604, 0.000908
us_000588931,0.360604, 0.001353
us_000591421,0.360604, 0.001739
us_000591062,0.360604, 0.002105
us_000595152,0.360604, 0.002994
us_000557251,0.360604, 0.004607
us_000582132,0.360604, 0.009002
us_000144573,0.360604, 0.010435
us_000542698,0.360604, 0.010629
us_000496250,0.360604, 6.419337
us_000532795,0.360604, 7.006156
us_000589358,0.360604, 8.812871
us_000536695,0.360604, 9.275600
us_000536478,0.360604, 9.304485
us_000514227,0.360604, 9.450528
us_000496340,0.360604, 9.840022
us_000536638,0.360604, 9.885546
us_000536392,0.360604, 10.219716
us_000507560,0.356026, 0.000000
us_000544523,0.356026, 0.000000
us_000513305,0.356026, 0.002433
us_000609065,0.356026, 0.003363
pr_001160793,0.356026, 0.009948
us_000593935,0.356026, 0.021101
us_000609456,0.356026, 0.026045
us_000503402,0.356026, 0.035793
us_000478072,0.356026, 0.885179
us_000499428,0.356026, 0.928857
us_000479766,0.356026, 0.960774
us_000489697,0.356026, 1.147675
us_000491615,0.356026, 1.158216
us_000526114,0.356026, 1.193598
us_000525339,0.356026, 1.221673
us_000091278,0.356026, 1.241207
us_000516274,0.356026, 1.305306
pr_000973253,0.344214, 0.000000
pr_001737257,0.344214, 0.000000
pr_002127902,0.344214, 0.000000
pr_001922253,0.344214, 0.000000
pr_001674865,0.344214, 0.000000
pr_000562728,0.344214, 0.000000
pr_001751011,0.344214, 0.000000
us_000481911,0.344214, 0.000000
us_000510545,0.344214, 0.000000
us_000483659,0.344214, 0.000000
us_000514802,0.344214, 0.000000
us_000541433,0.344214, 0.000000
us_000493694,0.344214, 0.000000
us_000492998,0.344214, 0.000000
us_000553547,0.344214, 0.000000
us_000574076,0.344214, 0.000000
us_000483545,0.344214, 0.000000
us_000506683,0.344214, 0.000000
us_000535609,0.344214, 0.000000
us_000541845,0.344214, 0.000000
us_000542049,0.344214, 0.000000
us_000525693,0.344214, 0.000000
us_000551815,0.344214, 0.000000
pr_000610612,0.344214, 0.000000
pr_000993432,0.344214, 0.000002
pr_001396800,0.344214, 0.000003
pr_000022536,0.344214, 0.000003
pr_000725445,0.344214, 0.000008
us_000473022,0.344214, 0.000009
pr_001601780,0.344214, 0.000040
us_000590483,0.344214, 0.000048
us_000582811,0.344214, 0.000061
us_000542990,0.344214, 0.000073
pr_000227216,0.344214, 0.000107
pr_000249415,0.344214, 0.000147
us_000502650,0.344214, 0.000250
us_000600886,0.344214, 0.001677
us_000577749,0.344214, 0.002133
us_000125268,0.344214, 0.003493
us_000584187,0.344214, 0.005627
us_000542501,0.344214, 0.008173
us_000505162,0.344214, 0.014181
us_000477094,0.344214, 0.771023
us_000481259,0.344214, 0.796368
us_000299926,0.344214, 0.818896
us_000508969,0.344214, 0.828452
us_000502485,0.344214, 0.921254
us_000537832,0.344214, 0.924657
us_000499351,0.344214, 0.931237
us_000487391,0.344214, 0.940054
us_000513419,0.344214, 0.944534
us_000477653,0.344214, 1.003218
us_000502777,0.344214, 1.003218
us_000524672,0.344214, 1.003994
us_000477278,0.344214, 1.006273
us_000482312,0.344214, 1.006549
us_000522982,0.344214, 1.059470
us_000502292,0.344214, 1.064302
us_000523052,0.344214, 1.066989
us_000521848,0.344214, 1.084054
us_000482985,0.344214, 1.086262
us_000518938,0.344214, 1.087851
us_000475611,0.344214, 1.120145
us_000515142,0.344214, 1.127109
us_000470826,0.344214, 1.135105
us_000498586,0.344214, 1.152776
us_000474296,0.344214, 1.159235
us_000498405,0.344214, 1.160077
us_000529404,0.344214, 1.162891
us_000497296,0.344214, 1.163323
us_000517218,0.344214, 1.166402
us_000530939,0.344214, 1.168048
us_000526112,0.344214, 1.169190
us_000526111,0.344214, 1.169190
us_000526110,0.344214, 1.169190
us_000472151,0.344214, 1.188125
us_000524166,0.344214, 1.189114
us_000502151,0.344214, 1.189471
us_000523709,0.344214, 1.189926
us_000518701,0.344214, 1.192370
us_000547367,0.344214, 1.192880
us_000502865,0.344214, 1.193581
us_000503417,0.344214, 1.193581
us_000521573,0.344214, 1.193581
us_000522884,0.344214, 1.193581
us_000522961,0.344214, 1.193581
us_000522984,0.344214, 1.193581
us_000522983,0.344214, 1.193581
us_000503202,0.344214, 1.193581
us_000503400,0.344214, 1.193581
us_000524846,0.344214, 1.193581
us_000525183,0.344214, 1.196858
us_000497844,0.344214, 1.202808
us_000522463,0.344214, 1.203800
us_000494511,0.344214, 1.206880
us_000523169,0.344214, 1.207013
us_000470724,0.344214, 1.362757
us_000503404,0.344214, 1.427511
us_000496242,0.344214, 1.458304
us_000496926,0.344214, 1.496534
pr_000550135,0.289999, 0.000001
pr_001818607,0.289999, 0.000002
pr_001001160,0.289999, 0.000009
pr_000996835,0.289999, 0.000300
us_000567773,0.289999, 0.014725
us_000518306,0.289999, 0.091865
us_000512088,0.289999, 0.107661
us_000490569,0.289999, 1.661976
us_000490787,0.289999, 1.674187
us_000495466,0.289999, 1.687151
us_000461372,0.289999, 1.697000
us_000410723,0.289999, 1.703660
us_000579030,0.289999, 1.764534
us_000461419,0.289999, 1.792872
us_000616121,0.289999, 1.796697
us_000491504,0.289999, 1.820530
us_000517506,0.289999, 1.825457
us_000518026,0.289999, 1.844365
us_000516392,0.289999, 1.855954
us_000473135,0.289999, 1.892588
us_000524867,0.289999, 1.934345
us_000533397,0.289999, 1.934625
us_000496941,0.289999, 1.934625
us_000514999,0.289999, 1.934625
us_000494714,0.289999, 1.934625
us_000474861,0.289999, 1.953764
us_000581688,0.289999, 1.970492
us_000585554,0.289999, 1.973006
us_000522164,0.289999, 1.973327
us_000521590,0.289999, 1.975138
us_000521862,0.289999, 1.975757
us_000584612,0.289999, 1.987679
us_000580510,0.289999, 1.992717
us_000521779,0.289999, 1.993402
us_000465376,0.289999, 2.000198
us_000544631,0.289999, 2.000676
us_000523287,0.289999, 2.034891
us_000495765,0.289999, 2.044083
us_000515949,0.289999, 2.044083
us_000506173,0.289999, 2.052609
us_000473102,0.289999, 2.061125
us_000472822,0.289999, 2.066988
us_000600979,0.289999, 2.067395
us_000541301,0.289999, 2.068082
us_000297818,0.289999, 2.068716
us_000496954,0.289999, 2.074423
us_000496424,0.289999, 2.074423
us_000467920,0.289999, 2.080167
us_000597547,0.289999, 2.090701
us_000567922,0.289999, 2.106516
us_000523310,0.289999, 2.124035
us_000576423,0.289999, 2.125811
us_000491783,0.289999, 2.134735
us_000599596,0.289999, 2.139976
us_000595870,0.289999, 2.141549
us_000524336,0.289999, 2.142485
us_000511389,0.289999, 2.143105
us_000568746,0.289999, 2.144104
us_000476286,0.289999, 2.144292
us_000525007,0.289999, 2.145705
us_000498237,0.289999, 2.148525
us_000578339,0.289999, 2.148695
us_000472464,0.289999, 2.150392
us_000460474,0.289999, 2.150591
us_000510636,0.289999, 2.154511
us_000476881,0.289999, 2.155885
us_000481805,0.289999, 2.156072
us_000511541,0.289999, 2.157635
us_000519871,0.289999, 2.158200
us_000477780,0.289999, 2.159235
us_000468584,0.289999, 2.160978
us_000613258,0.289999, 2.162281
us_000516537,0.289999, 2.165031
us_000497104,0.289999, 2.165353
us_000503552,0.289999, 2.165353
us_000500810,0.289999, 2.165353
us_000503405,0.289999, 2.166050
us_000516702,0.289999, 2.169086
us_000490991,0.289999, 2.169086
us_000528562,0.289999, 2.170932
us_000613304,0.289999, 2.172237
us_000589591,0.289999, 2.173133
us_000599162,0.289999, 2.174442
us_000471069,0.289999, 2.175417
us_000476214,0.289999, 2.175749
us_000492477,0.289999, 2.176376
us_000571922,0.289999, 2.176786
us_000554478,0.289999, 2.178324
us_000483693,0.289999, 2.179183
us_000496977,0.289999, 2.179681
us_000515262,0.289999, 2.180437
us_000528561,0.289999, 2.182193
us_000495052,0.289999, 2.182193
us_000544672,0.289999, 2.182485
us_000540664,0.289999, 2.182485
us_000523928,0.289999, 2.182485
us_000541603,0.289999, 2.182485
us_000530946,0.289999, 2.182485
us_000523991,0.289999, 2.182485
us_000541776,0.289999, 2.182485
us_000524548,0.289999, 2.182485
us_000540704,0.289999, 2.182485
us_000524002,0.289999, 2.182485
us_000540703,0.289999, 2.182485
us_000540700,0.289999, 2.182485
us_000481642,0.289999, 2.189780
us_000576994,0.289999, 2.190530
us_000540701,0.289999, 2.192129
us_000506820,0.289999, 2.192237
us_000616955,0.289999, 2.193381
us_000536068,0.289999, 2.194425
us_000507468,0.289999, 2.194468
us_000535564,0.289999, 2.195370
us_000483041,0.289999, 2.196631
us_000577384,0.289999, 2.200308
us_000515494,0.289999, 2.207677
us_000516538,0.289999, 2.207677
us_000479685,0.289999, 2.217937
us_000502660,0.289999, 2.228916
us_000598904,0.289999, 2.229688
us_000481380,0.289999, 2.231535
us_000617046,0.289999, 2.232121
us_000599586,0.289999, 2.237171
us_000574042,0.289999, 2.237310
