Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
pr_001102114,0.522957, 0.000051
pr_000886428,0.522957, 0.000056
us_000502102,0.522957, 0.000056
us_000537825,0.522957, 0.000056
us_000502028,0.522957, 0.000056
us_000541889,0.522957, 0.000056
us_000555165,0.522957, 0.000056
us_000519032,0.522957, 0.000056
us_000558919,0.522957, 0.000056
pr_001077751,0.522957, 0.000086
pr_000341744,0.522957, 0.000154
pr_001838338,0.522957, 0.000172
pr_000813614,0.522957, 0.000252
pr_000585667,0.522957, 0.000344
pr_000191926,0.522957, 0.000345
pr_000763590,0.522957, 0.000345
pr_001032053,0.522957, 0.000407
pr_000863744,0.522957, 0.000422
pr_000667057,0.522957, 0.000422
pr_001009779,0.522957, 0.000461
pr_000593839,0.522957, 0.000489
us_000543543,0.522957, 0.024442
us_000583928,0.522957, 0.031657
us_000491534,0.522957, 0.031716
us_000481742,0.522957, 0.050075
us_000467455,0.522957, 1.008145
us_000487903,0.522957, 2.850511
pr_001650429,0.435696, 0.000000
pr_001635091,0.435696, 0.000000
us_000542008,0.435696, 0.000000
us_000497951,0.435696, 0.000000
us_000057102,0.435696, 0.000003
us_000471665,0.435696, 0.000005
pr_000765142,0.435696, 0.000033
us_000466893,0.435696, 0.000042
us_000467053,0.435696, 0.000042
us_000495773,0.435696, 0.000042
us_000467642,0.435696, 0.000042
us_000472928,0.435696, 0.000042
us_000500031,0.435696, 0.000114
us_000469547,0.435696, 0.000114
us_000464069,0.435696, 0.000114
us_000487877,0.435696, 0.000114
us_000473074,0.435696, 0.000114
us_000183779,0.435696, 0.000947
us_000556330,0.435696, 0.002962
us_000490528,0.435696, 0.004836
us_000485738,0.435696, 0.690530
us_000527078,0.435696, 0.791994
us_000035558,0.435696, 0.798156
us_000478349,0.435696, 0.814554
us_000442934,0.435696, 0.866276
us_000485809,0.435696, 0.905572
us_000264687,0.435696, 0.977146
us_000477737,0.435696, 1.066559
us_000551251,0.435696, 1.654284
pr_001836173,0.410883, 0.000000
pr_001707898,0.410883, 0.000000
pr_001079725,0.410883, 0.000000
pr_000677595,0.410883, 0.000004
us_000520912,0.410883, 0.000009
us_000516629,0.410883, 0.000009
us_000532031,0.410883, 0.000017
us_000533633,0.410883, 0.000017
us_000531994,0.410883, 0.000017
us_000558327,0.410883, 0.000017
pr_001148861,0.410883, 0.000020
pr_000918152,0.410883, 0.000048
pr_002054728,0.410883, 0.000057
pr_001692607,0.410883, 0.000109
us_000565907,0.410883, 0.000642
us_000485434,0.410883, 0.008474
us_000522572,0.410883, 0.015033
us_000122250,0.410883, 0.020884
us_000496276,0.410883, 0.070575
us_000565094,0.408762, 0.000001
pr_000982432,0.408762, 0.000057
us_000527835,0.408762, 0.000369
us_000494929,0.408762, 0.003995
us_000530210,0.408762, 0.011716
us_000496944,0.408762, 0.038133
us_000170636,0.408762, 0.647215
us_000533314,0.340131, 0.000000
pr_000194396,0.340131, 0.000091
us_000474598,0.340131, 0.025673
us_000247366,0.340131, 0.414228
us_000504054,0.340131, 0.593747
us_000460772,0.340131, 0.682828
us_000460804,0.340131, 0.689852
us_000500056,0.340131, 0.729131
us_000459538,0.331030, 0.000002
pr_001076616,0.331030, 0.000003
pr_000801297,0.331030, 0.000016
pr_000766149,0.331030, 0.000021
pr_000818641,0.331030, 0.000071
pr_000974760,0.331030, 0.000546
pr_000845265,0.331030, 0.000575
us_000459067,0.331030, 0.532434
us_000539092,0.331030, 0.593608
us_000511057,0.331030, 0.660259
us_000504378,0.331030, 0.697211
us_000459914,0.331030, 0.728491
us_000489553,0.331030, 0.744421
us_000489631,0.331030, 0.751385
us_000489576,0.331030, 0.754930
us_000509204,0.331030, 0.827956
us_000504506,0.331030, 0.844351
us_000509068,0.331030, 0.858390
us_000537693,0.331030, 0.868171
us_000489738,0.331030, 0.874217
us_000489171,0.331030, 0.941733
us_000583052,0.331030, 0.983111
us_000447416,0.331030, 0.986805
us_000582849,0.331030, 0.989962
us_000502070,0.331030, 0.992792
us_000537757,0.331030, 0.995924
us_000508766,0.331030, 1.005545
us_000459446,0.331030, 1.027586
us_000475458,0.331030, 1.789990
pr_001119461,0.252130, 0.000000
pr_001098753,0.252130, 0.000000
pr_000811740,0.252130, 0.000000
pr_001686879,0.252130, 0.000000
pr_000973639,0.252130, 0.000000
pr_001693438,0.252130, 0.000000
us_000526800,0.252130, 0.000004
pr_000187657,0.252130, 0.000021
pr_000199961,0.252130, 0.000030
pr_000199404,0.252130, 0.000030
pr_001401087,0.252130, 0.000030
pr_000199527,0.252130, 0.000030
pr_000556316,0.252130, 0.000039
pr_000666162,0.252130, 0.000046
pr_000717622,0.252130, 0.000058
pr_000889180,0.252130, 0.000064
pr_001095280,0.252130, 0.000064
pr_000887411,0.252130, 0.000064
pr_000313768,0.252130, 0.000064
pr_000563633,0.252130, 0.000084
pr_000209371,0.252130, 0.000084
