Product ID : 911 # of JPs covered : 1 : 198 : Corporate Finance, 
OID,Confidence at Map Node,Error at Map Node
pr_000899693,0.888372, 0.000000
pr_000903973,0.888372, 0.000000
pr_001104602,0.888372, 0.000000
pr_001026649,0.888372, 0.000000
pr_000997987,0.888372, 0.000000
pr_000727175,0.888372, 0.000000
pr_000737051,0.888372, 0.000000
pr_000941796,0.888372, 0.000000
pr_000894551,0.888372, 0.000000
pr_001086720,0.888372, 0.000000
pr_001032183,0.888372, 0.000000
pr_000927242,0.888372, 0.000000
pr_001058318,0.888372, 0.000000
pr_000290480,0.888372, 0.000000
pr_001062802,0.888372, 0.000000
pr_000893453,0.888372, 0.000000
pr_001029459,0.888372, 0.000000
pr_000704013,0.888372, 0.000000
pr_001078722,0.888372, 0.000000
pr_000287173,0.888372, 0.000000
pr_001041066,0.888372, 0.000000
pr_000978986,0.888372, 0.000000
pr_001046455,0.888372, 0.000000
pr_001039913,0.888372, 0.000000
pr_000813029,0.888372, 0.000000
pr_000759124,0.888372, 0.000000
pr_001022468,0.888372, 0.000000
pr_000846277,0.888372, 0.000000
pr_001040105,0.888372, 0.000000
pr_001050719,0.888372, 0.000000
pr_001049147,0.888372, 0.000000
pr_000945545,0.888372, 0.000000
pr_001047738,0.888372, 0.000000
pr_001027332,0.888372, 0.000000
pr_001039908,0.888372, 0.000000
pr_000434156,0.888372, 0.000000
pr_000891960,0.888372, 0.000000
pr_001047813,0.888372, 0.000000
pr_000895276,0.888372, 0.000000
pr_001046646,0.888372, 0.000000
pr_000759569,0.888372, 0.000000
pr_000724477,0.888372, 0.000000
pr_000290979,0.888372, 0.000000
pr_001003706,0.888372, 0.000000
pr_000936417,0.888372, 0.000000
pr_000725937,0.888372, 0.000000
pr_001027775,0.888372, 0.000000
pr_000929609,0.888372, 0.000000
pr_001100671,0.888372, 0.000000
pr_000762865,0.888372, 0.000000
pr_000607320,0.888372, 0.000000
pr_001102711,0.888372, 0.000000
pr_001046623,0.888372, 0.000000
pr_001029718,0.888372, 0.000000
pr_001026771,0.888372, 0.000000
pr_001050865,0.888372, 0.000000
pr_000746674,0.888372, 0.000000
pr_000657634,0.888372, 0.000000
pr_000531162,0.888372, 0.000000
pr_001021534,0.888372, 0.000000
pr_000579021,0.888372, 0.000000
pr_000894446,0.888372, 0.000000
pr_001040764,0.888372, 0.000000
pr_001040691,0.888372, 0.000000
pr_001103448,0.888372, 0.000000
pr_000930391,0.888372, 0.000000
