Product ID : 1018 # of JPs covered : 1 : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000468298,0.888893, 2.016652
us_000521459,0.888893, 2.019487
us_000557042,0.888893, 2.027107
us_000458629,0.888893, 2.031589
us_000481454,0.888893, 2.031995
us_000499782,0.888893, 2.039763
us_000549712,0.888893, 2.044810
us_000582246,0.888893, 2.053681
us_000504917,0.888893, 2.054776
us_000502164,0.888893, 2.056706
us_000598287,0.888893, 2.058556
us_000479817,0.888893, 2.059998
us_000533391,0.888893, 2.060145
us_000408766,0.888893, 2.063237
us_000560522,0.888893, 2.064957
us_000500950,0.888893, 2.065076
us_000504076,0.888893, 2.067164
us_000550147,0.888893, 2.067759
us_000572291,0.888893, 2.068360
us_000585955,0.888893, 2.071794
us_000514349,0.888893, 2.074920
us_000565117,0.888893, 2.076502
us_000539411,0.888893, 2.077309
us_000506031,0.888893, 2.078989
us_000546649,0.888893, 2.080001
us_000591095,0.888893, 2.080888
us_000519637,0.888893, 2.082924
us_000564816,0.888893, 2.087404
us_000482399,0.888893, 2.087669
us_000558146,0.888893, 2.089601
us_000540260,0.888893, 2.098558
us_000533283,0.888893, 2.099081
us_000549695,0.888893, 2.099923
us_000556328,0.888893, 2.105944
us_000503901,0.888893, 2.108585
us_000400033,0.888893, 2.114690
us_000461721,0.888893, 2.123231
us_000544412,0.888893, 2.125217
us_000460055,0.888893, 2.135878
us_000339025,0.888893, 2.143084
us_000564071,0.888893, 2.143275
us_000469482,0.888893, 2.145013
us_000503960,0.888893, 2.146729
us_000583878,0.888893, 2.147014
us_000556213,0.888893, 2.149149
us_000517565,0.888893, 2.149266
us_000519141,0.888893, 2.159135
us_000611036,0.888893, 2.162823
us_000556304,0.888893, 2.170063
us_000533959,0.888893, 2.174806
us_000530509,0.888893, 2.180296
us_000586910,0.888893, 2.181565
us_000536991,0.888893, 2.185468
us_000485829,0.888893, 2.185708
us_000565824,0.888893, 2.187242
us_000502779,0.888893, 2.188081
us_000549123,0.888893, 2.188081
us_000535886,0.888893, 2.191305
us_000502781,0.888893, 2.191934
us_000553889,0.888893, 2.192582
us_000482713,0.888893, 2.192582
us_000483775,0.888893, 2.193236
us_000551879,0.888893, 2.211667
us_000520542,0.888893, 2.216241
us_000561062,0.888893, 2.217460
us_000496501,0.888893, 2.217640
us_000470986,0.888893, 2.224646
us_000483402,0.888893, 2.228903
us_000501876,0.888893, 2.229042
us_000478076,0.888893, 2.230997
us_000487798,0.888893, 2.231972
us_000554342,0.888893, 2.234771
us_000518577,0.888893, 2.234771
us_000469969,0.888893, 2.237744
us_000561243,0.888893, 2.237785
us_000539987,0.888893, 2.239330
us_000481396,0.888893, 2.239646
us_000482166,0.888893, 2.239646
us_000539319,0.888893, 2.239646
us_000478210,0.888893, 2.239646
us_000479863,0.888893, 2.239646
us_000484258,0.888893, 2.240965
us_000464342,0.888893, 2.246463
us_000528177,0.888893, 2.252951
us_000499212,0.888893, 2.253741
us_000479238,0.888893, 2.260741
us_000518043,0.888893, 2.263923
us_000011844,0.888893, 2.268263
us_000476853,0.888893, 2.269571
us_000540383,0.888893, 2.269671
us_000500267,0.888893, 2.272488
us_000551882,0.888893, 2.274821
us_000472807,0.888893, 2.275744
us_000534700,0.888893, 2.276351
us_000521571,0.888893, 2.276717
us_000553704,0.888893, 2.279995
us_000540199,0.888893, 2.285376
us_000490860,0.888893, 2.298933
us_000503644,0.888893, 2.315023
us_000471028,0.888893, 2.321454
us_000459786,0.888893, 2.344185
us_000480522,0.888893, 2.363730
us_000482292,0.888893, 2.367517
us_000476957,0.888893, 2.457655
us_000519731,0.875608, 0.000012
us_000534065,0.875608, 0.048320
us_000492790,0.875608, 0.084733
us_000468074,0.875608, 2.062093
us_000462433,0.875608, 2.270882
us_000476392,0.875608, 2.281631
us_000468533,0.875608, 2.302365
us_000529561,0.875608, 2.328199
us_000529558,0.875608, 2.425229
us_000575828,0.875608, 2.448112
pr_000010612,0.795792, 0.000000
pr_000851458,0.795792, 0.000000
pr_000783853,0.795792, 0.000005
pr_000439121,0.795792, 0.000012
pr_000471209,0.795792, 0.000026
pr_000341375,0.795792, 0.000143
us_000485197,0.795792, 0.001064
us_000544840,0.795792, 0.191930
us_000567505,0.795792, 0.231177
us_000504640,0.795792, 0.429224
us_000588097,0.795792, 0.502501
us_000522665,0.795792, 0.510072
us_000539260,0.795792, 0.515412
us_000469009,0.795792, 0.537343
us_000520566,0.795792, 0.538981
us_000488297,0.795792, 0.548574
us_000560211,0.795792, 0.549799
us_000494963,0.795792, 0.554889
us_000498693,0.795792, 0.560073
us_000611383,0.795792, 0.561059
us_000566995,0.795792, 0.571420
us_000611252,0.795792, 0.573261
us_000520338,0.795792, 0.574693
us_000479707,0.795792, 0.577063
us_000562498,0.795792, 0.582971
us_000585512,0.795792, 0.584250
us_000584031,0.795792, 0.585974
us_000598731,0.795792, 0.589911
us_000160660,0.795792, 0.590028
us_000468849,0.795792, 0.591136
us_000468079,0.795792, 0.591319
us_000579468,0.795792, 0.592318
us_000573444,0.795792, 0.595188
us_000603925,0.795792, 0.599678
us_000532815,0.795792, 0.603028
us_000572889,0.795792, 0.606110
us_000611248,0.795792, 0.606740
us_000565627,0.795792, 0.611009
us_000559316,0.795792, 0.612447
us_000515105,0.795792, 0.617433
us_000592256,0.795792, 0.618595
us_000507947,0.795792, 0.619060
us_000598506,0.795792, 0.619472
us_000562296,0.795792, 0.619741
us_000206667,0.795792, 0.623443
us_000536984,0.795792, 0.624228
us_000522719,0.795792, 0.628098
us_000611830,0.795792, 0.628538
us_000520032,0.795792, 0.631335
us_000523593,0.795792, 0.632074
us_000465412,0.795792, 0.632483
us_000593578,0.795792, 0.632649
us_000520155,0.795792, 0.634635
us_000483484,0.795792, 0.635572
us_000528512,0.795792, 0.635932
us_000589177,0.795792, 0.637245
us_000585849,0.795792, 0.640406
us_000572336,0.795792, 0.640440
us_000572338,0.795792, 0.640440
us_000518467,0.795792, 0.640958
us_000393768,0.795792, 0.641694
us_000564733,0.795792, 0.641948
us_000587795,0.795792, 0.644065
us_000535948,0.795792, 0.644229
us_000574022,0.795792, 0.645024
us_000568765,0.795792, 0.647510
us_000574632,0.795792, 0.649418
us_000520194,0.795792, 0.649797
us_000597429,0.795792, 0.652826
us_000594000,0.795792, 0.653135
us_000512830,0.795792, 0.654864
us_000603478,0.795792, 0.655466
us_000603130,0.795792, 0.660197
us_000568946,0.795792, 0.661186
pr_002026958,0.795792, 0.661345
us_000582729,0.795792, 0.663728
us_000517983,0.795792, 0.664038
us_000492319,0.795792, 0.664266
us_000593447,0.795792, 0.664266
us_000611294,0.795792, 0.664450
us_000592641,0.795792, 0.664943
us_000564705,0.795792, 0.665167
us_000570598,0.795792, 0.668081
us_000567696,0.795792, 0.668144
us_000539870,0.795792, 0.669539
us_000582197,0.795792, 0.670119
us_000486150,0.795792, 0.670305
us_000574240,0.795792, 0.670509
us_000608080,0.795792, 0.672302
us_000565932,0.795792, 0.674012
us_000494911,0.795792, 0.674110
us_000347519,0.795792, 0.674145
us_000615785,0.795792, 0.674545
us_000586649,0.795792, 0.674926
us_000561959,0.795792, 0.675355
us_000511430,0.795792, 0.676082
us_000596126,0.795792, 0.676619
us_000598794,0.795792, 0.677418
us_000592470,0.795792, 0.677811
us_000504029,0.795792, 0.680541
us_000477156,0.795792, 0.686979
us_000597563,0.795792, 0.689030
us_000481488,0.795792, 0.690053
us_000616678,0.795792, 0.690910
us_000509895,0.795792, 0.694084
us_000570786,0.795792, 0.695750
us_000510662,0.795792, 0.696342
us_000560432,0.795792, 0.697065
us_000533614,0.795792, 0.698142
us_000192286,0.795792, 0.700484
us_000520378,0.795792, 0.702909
us_000576069,0.795792, 0.702980
us_000586801,0.795792, 0.704386
us_000607953,0.795792, 0.704587
us_000586769,0.795792, 0.705806
us_000562511,0.795792, 0.706193
us_000605335,0.795792, 0.707648
us_000600616,0.795792, 0.708399
us_000544662,0.795792, 0.709187
us_000482368,0.795792, 0.709386
us_000513545,0.795792, 0.710546
us_000519811,0.795792, 0.710680
us_000564745,0.795792, 0.711446
us_000595044,0.795792, 0.711533
us_000594973,0.795792, 0.711533
us_000511655,0.795792, 0.712714
us_000561387,0.795792, 0.713039
us_000598228,0.795792, 0.713162
us_000598314,0.795792, 0.713749
us_000538844,0.795792, 0.713749
us_000598952,0.795792, 0.713749
us_000511576,0.795792, 0.716683
us_000598915,0.795792, 0.716856
us_000579467,0.795792, 0.718213
us_000511251,0.795792, 0.718811
us_000571956,0.795792, 0.720220
us_000538779,0.795792, 0.720653
us_000518294,0.795792, 0.722587
us_000533934,0.795792, 0.723983
us_000593462,0.795792, 0.726231
us_000481276,0.795792, 0.726717
us_000581253,0.795792, 0.727531
us_000488129,0.795792, 0.728211
us_000569486,0.795792, 0.728229
us_000579574,0.795792, 0.728275
us_000526136,0.795792, 0.728510
us_000572287,0.795792, 0.728711
us_000593589,0.795792, 0.728769
us_000593598,0.795792, 0.728769
us_000593585,0.795792, 0.728769
us_000617336,0.795792, 0.729579
us_000571560,0.795792, 0.731269
us_000599808,0.795792, 0.732333
us_000594333,0.795792, 0.732427
us_000593808,0.795792, 0.733778
us_000503355,0.795792, 0.734501
us_000574308,0.795792, 0.734842
us_000605193,0.795792, 0.734910
us_000577511,0.795792, 0.735296
us_000588126,0.795792, 0.735994
us_000594084,0.795792, 0.736297
us_000594088,0.795792, 0.736297
us_000594090,0.795792, 0.736297
us_000594087,0.795792, 0.736297
us_000594085,0.795792, 0.736297
us_000571574,0.795792, 0.736297
us_000598942,0.795792, 0.736297
us_000594089,0.795792, 0.736297
us_000593614,0.795792, 0.736297
us_000594086,0.795792, 0.736805
us_000612989,0.795792, 0.737410
us_000552149,0.795792, 0.737668
us_000467174,0.795792, 0.738197
us_000605244,0.795792, 0.738512
us_000600125,0.795792, 0.738512
us_000514375,0.795792, 0.738896
us_000608668,0.795792, 0.740727
us_000421245,0.795792, 0.741338
us_000550296,0.795792, 0.742664
us_000571955,0.795792, 0.743246
us_000616758,0.795792, 0.743246
us_000579691,0.795792, 0.743305
us_000577512,0.795792, 0.745398
us_000577543,0.795792, 0.745398
us_000552369,0.795792, 0.746071
us_000498622,0.795792, 0.746504
us_000506772,0.795792, 0.747576
us_000600124,0.795792, 0.747907
us_000578797,0.795792, 0.747907
us_000514040,0.795792, 0.748654
us_000507337,0.795792, 0.750402
us_000594175,0.795792, 0.750426
us_000594092,0.795792, 0.750426
us_000594091,0.795792, 0.750426
us_000593580,0.795792, 0.750426
us_000594093,0.795792, 0.750426
us_000577077,0.795792, 0.750426
us_000594122,0.795792, 0.750426
us_000594281,0.795792, 0.750426
us_000599767,0.795792, 0.750426
us_000600262,0.795792, 0.750426
us_000594273,0.795792, 0.750426
us_000594094,0.795792, 0.750426
us_000603529,0.795792, 0.750426
us_000616697,0.795792, 0.752393
us_000599872,0.795792, 0.753903
us_000577223,0.795792, 0.754409
us_000614237,0.795792, 0.754724
us_000546701,0.795792, 0.755645
us_000607205,0.795792, 0.756124
us_000546684,0.795792, 0.756235
us_000507210,0.795792, 0.757245
us_000527924,0.795792, 0.759839
us_000513566,0.795792, 0.760603
us_000518700,0.795792, 0.763696
us_000106303,0.795792, 0.763765
us_000528040,0.795792, 0.764138
us_000537887,0.795792, 0.766885
us_000537889,0.795792, 0.766885
us_000536193,0.795792, 0.766885
us_000531373,0.795792, 0.766885
us_000499720,0.795792, 0.766885
us_000507689,0.795792, 0.766966
us_000527087,0.795792, 0.770840
us_000531302,0.795792, 0.771753
us_000536451,0.795792, 0.771753
us_000530805,0.795792, 0.771753
us_000530752,0.795792, 0.771753
us_000536405,0.795792, 0.771753
us_000520423,0.795792, 0.771753
us_000513568,0.795792, 0.771753
us_000530455,0.795792, 0.771753
us_000615250,0.795792, 0.771753
us_000498624,0.795792, 0.771753
us_000503399,0.795792, 0.771753
us_000531367,0.795792, 0.771753
us_000520372,0.795792, 0.771753
us_000537896,0.795792, 0.771753
us_000535304,0.795792, 0.772838
us_000471789,0.795792, 0.772872
us_000575895,0.795792, 0.773239
us_000520803,0.795792, 0.773876
us_000537893,0.795792, 0.775762
us_000537894,0.795792, 0.775762
us_000537891,0.795792, 0.775762
us_000496166,0.795792, 0.776102
us_000512391,0.795792, 0.781595
us_000462263,0.795792, 0.783299
us_000525973,0.795792, 0.784871
us_000497373,0.795792, 0.787669
us_000613649,0.795792, 0.787743
us_000498055,0.795792, 0.789097
us_000510142,0.795792, 0.792002
us_000549711,0.795792, 0.794007
us_000531340,0.795792, 0.794334
us_000547900,0.795792, 0.794581
us_000561926,0.795792, 0.794643
us_000609446,0.795792, 0.797648
us_000512404,0.795792, 0.798330
us_000521117,0.795792, 0.798337
us_000520707,0.795792, 0.799560
us_000480776,0.795792, 0.802094
us_000515126,0.795792, 0.802601
us_000561226,0.795792, 0.805736
us_000503188,0.795792, 0.805815
us_000614874,0.795792, 0.805954
us_000605829,0.795792, 0.806067
us_000520866,0.795792, 0.806836
us_000587109,0.795792, 0.807900
us_000499026,0.795792, 0.808971
us_000561793,0.795792, 0.810050
us_000549364,0.795792, 0.810050
us_000527491,0.795792, 0.810090
us_000529774,0.795792, 0.812301
us_000511175,0.795792, 0.812495
us_000576271,0.795792, 0.812746
us_000507880,0.795792, 0.812903
us_000601749,0.795792, 0.813247
us_000610570,0.795792, 0.813786
us_000521284,0.795792, 0.816006
us_000561132,0.795792, 0.819019
us_000529920,0.795792, 0.819019
us_000524896,0.795792, 0.819472
us_000558909,0.795792, 0.820080
us_000561925,0.795792, 0.821235
us_000499036,0.795792, 0.821235
us_000553582,0.795792, 0.823974
us_000515199,0.795792, 0.825579
us_000575742,0.795792, 0.825699
