Product ID : 100 # of JPs covered : 1 : 54 : Property / Excise, 
OID,Confidence at Map Node,Error at Map Node
us_000535041,0.128841, 0.015554
us_000501475,0.128841, 0.015554
us_000464806,0.128841, 0.015554
us_000565722,0.128841, 0.015554
us_000535088,0.128841, 0.015554
us_000535030,0.128841, 0.015554
us_000494779,0.128841, 0.015554
us_000535092,0.128841, 0.015554
us_000514716,0.128841, 0.015554
us_000480841,0.128841, 0.015554
us_000566216,0.128841, 0.015554
us_000464309,0.128841, 0.015554
us_000495985,0.128841, 0.015554
us_000516432,0.128841, 0.015554
us_000567165,0.128841, 0.015554
us_000551399,0.128841, 0.015554
us_000527190,0.128841, 0.015554
us_000541731,0.128841, 0.015554
us_000500089,0.128841, 0.015554
us_000461782,0.128841, 0.015559
us_000498896,0.128841, 0.015627
pr_000386845,0.128841, 0.016606
us_000486340,0.128841, 0.016826
pr_000386335,0.128841, 0.016973
us_000494784,0.128841, 0.017047
us_000504679,0.128841, 0.017137
pr_000764133,0.128841, 0.017395
pr_000525344,0.128841, 0.017395
us_000594410,0.128841, 0.017607
us_000520690,0.128841, 0.018139
us_000577865,0.128841, 0.018980
pr_001035143,0.128841, 0.019351
pr_001159935,0.128841, 0.019351
pr_000763237,0.128841, 0.019351
pr_000390083,0.128841, 0.019351
pr_000383782,0.128841, 0.019351
pr_001151545,0.128841, 0.019351
us_000475794,0.128841, 0.019853
us_000545622,0.128841, 0.021027
us_000567663,0.128841, 0.024456
us_000485551,0.128841, 0.025083
us_000303797,0.128841, 0.028816
us_000420219,0.128841, 0.031308
us_000497287,0.128841, 0.037748
us_000514188,0.128841, 0.077175
us_000485553,0.128841, 0.079204
us_000544974,0.101521, 0.000039
us_000527868,0.101521, 0.000192
us_000480710,0.101521, 0.000462
us_000487043,0.101521, 0.000462
us_000504552,0.101521, 0.802943
us_000460016,0.101521, 0.845326
us_000472390,0.101521, 0.976161
us_000469960,0.101521, 0.980173
us_000461195,0.101521, 0.982496
us_000475825,0.101521, 1.025841
us_000469162,0.101521, 1.071664
us_000040613,0.101521, 1.073288
us_000478779,0.101521, 1.088761
us_000476393,0.101521, 1.089588
us_000530326,0.101521, 1.100529
us_000475202,0.101521, 1.113564
us_000524090,0.101521, 1.130352
us_000545636,0.101521, 1.147558
us_000498188,0.101521, 1.147917
us_000197128,0.101521, 1.164083
us_000328840,0.101521, 1.165694
us_000487823,0.101521, 1.168570
us_000478244,0.101521, 1.191260
us_000479625,0.101521, 1.199137
us_000500874,0.101521, 1.211405
us_000501909,0.101521, 1.216125
us_000473015,0.101521, 1.219248
us_000487359,0.101521, 1.223868
us_000460810,0.101521, 1.226186
us_000202089,0.101521, 1.226883
us_000545377,0.101521, 1.227505
us_000545483,0.101521, 1.227524
us_000516789,0.101521, 1.233095
us_000503009,0.101521, 1.239463
us_000530234,0.101521, 1.254966
us_000397133,0.101521, 1.260920
us_000516727,0.101521, 1.264604
us_000466578,0.101521, 1.268528
us_000395690,0.101521, 1.271937
us_000515239,0.101521, 1.316120
us_000481750,0.101521, 1.321288
us_000502320,0.101521, 1.329685
us_000469892,0.101521, 1.361108
