Product ID : 2104 # of JPs covered : 1 : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
pr_002194887,0.283942, 0.000084
us_000616796,0.283942, 0.000123
pr_002000658,0.283942, 0.000156
us_000500634,0.283942, 0.000731
us_000522820,0.283942, 0.001117
us_000570218,0.283942, 0.003637
us_000474631,0.283942, 0.005417
us_000488246,0.283942, 0.006335
us_000478609,0.283942, 0.008827
us_000518504,0.283942, 0.010181
us_000585626,0.283942, 0.042574
us_000481008,0.283942, 0.059249
us_000503723,0.283942, 3.209715
us_000503569,0.283942, 3.334985
us_000513935,0.283942, 3.351085
us_000475720,0.283942, 3.354909
us_000514647,0.283942, 3.386618
us_000510238,0.283942, 3.396344
us_000483894,0.283942, 3.413551
us_000478547,0.283942, 3.419238
us_000503612,0.283942, 3.420614
us_000503722,0.283942, 3.463832
us_000460216,0.283942, 3.485619
us_000169563,0.283942, 3.486275
us_000491930,0.283942, 3.486275
us_000492372,0.283942, 3.486549
us_000510776,0.283942, 3.486549
us_000483945,0.283942, 3.490046
us_000491939,0.283942, 3.494789
us_000497014,0.283942, 3.497142
us_000496605,0.283942, 3.497142
us_000511716,0.283942, 3.497142
us_000503743,0.283942, 3.504153
us_000510172,0.283942, 3.515334
us_000141268,0.283942, 4.588162
us_000460208,0.283942, 5.905212
us_000526418,0.247946, 0.000010
us_000571892,0.247946, 0.000030
us_000481171,0.247946, 0.000372
us_000592922,0.247946, 0.008415
us_000488418,0.247946, 0.102768
us_000524816,0.247946, 0.114228
us_000579308,0.247946, 0.115371
us_000609542,0.247946, 0.115895
us_000516865,0.247946, 0.116507
us_000548579,0.247946, 0.117992
us_000570745,0.247946, 0.120583
us_000550892,0.247946, 0.121425
us_000566838,0.247946, 0.121425
us_000540542,0.247946, 0.121425
us_000523567,0.247946, 0.121425
us_000523636,0.247946, 0.121425
us_000466505,0.247946, 0.121974
us_000524808,0.247946, 0.122836
us_000566023,0.247946, 0.123919
us_000517523,0.247946, 0.123982
us_000488219,0.247946, 0.124087
us_000525859,0.247946, 0.124289
us_000561213,0.247946, 0.124289
us_000560627,0.247946, 0.124289
us_000575050,0.247946, 0.124289
us_000571942,0.247946, 0.124289
