Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
pr_000773567,0.921554, 0.000000
pr_000972550,0.921554, 0.000000
pr_001084373,0.921554, 0.000000
pr_000935858,0.921554, 0.000000
pr_000956342,0.921554, 0.000000
pr_000886171,0.921554, 0.000000
pr_000770855,0.921554, 0.000000
pr_002103148,0.921554, 0.000000
pr_000998416,0.921554, 0.000000
pr_001085580,0.921554, 0.000000
pr_000886032,0.921554, 0.000000
pr_000886475,0.921554, 0.000000
pr_001133996,0.921554, 0.000000
pr_000981949,0.921554, 0.000000
pr_002226028,0.921554, 0.000000
us_000487432,0.921554, 0.000000
us_000568816,0.921554, 0.000000
us_000511376,0.921554, 0.000000
us_000516811,0.921554, 0.000000
us_000541061,0.921554, 0.000000
us_000549168,0.921554, 0.000000
us_000527593,0.921554, 0.000000
us_000527754,0.921554, 0.000000
us_000564820,0.921554, 0.000000
us_000610761,0.921554, 0.000000
us_000536770,0.921554, 0.000000
us_000529898,0.921554, 0.000000
us_000504741,0.921554, 0.000005
pr_000300316,0.921554, 0.000009
pr_000175241,0.921554, 0.000009
pr_001413477,0.921554, 0.000009
pr_000989170,0.921554, 0.000009
pr_000729599,0.921554, 0.000009
pr_001029360,0.921554, 0.000009
pr_000592452,0.921554, 0.000009
pr_001166388,0.921554, 0.000009
pr_000891719,0.921554, 0.000009
pr_000924846,0.921554, 0.000009
pr_001589836,0.921554, 0.000010
pr_000994780,0.921554, 0.000010
pr_000537869,0.921554, 0.000010
pr_000870869,0.921554, 0.000010
pr_000562985,0.921554, 0.000010
pr_000929329,0.921554, 0.000011
pr_000810027,0.921554, 0.000011
pr_000294675,0.921554, 0.000011
pr_001683923,0.921554, 0.000011
pr_001059677,0.921554, 0.000011
pr_000988748,0.921554, 0.000011
pr_000859456,0.921554, 0.000012
pr_001590421,0.921554, 0.000012
pr_000917001,0.921554, 0.000012
pr_001132252,0.921554, 0.000012
pr_001764225,0.921554, 0.000012
pr_000185263,0.921554, 0.000012
pr_000185485,0.921554, 0.000012
pr_000691819,0.921554, 0.000013
pr_001034887,0.921554, 0.000013
pr_000522031,0.921554, 0.000014
pr_000812987,0.921554, 0.000014
pr_001032401,0.921554, 0.000015
pr_000319593,0.921554, 0.000016
pr_000734527,0.921554, 0.000016
pr_000176589,0.921554, 0.000016
pr_000725787,0.921554, 0.000016
pr_000165053,0.921554, 0.000016
pr_000022635,0.921554, 0.000016
pr_000994418,0.921554, 0.000019
pr_000093842,0.921554, 0.000023
pr_000165223,0.921554, 0.000033
pr_000727535,0.921554, 0.000034
pr_000237265,0.921554, 0.000048
pr_001604592,0.921554, 0.000050
pr_000160230,0.921554, 0.000060
pr_000168638,0.921554, 0.000062
pr_000981186,0.921554, 0.000077
pr_000754378,0.921554, 0.000079
pr_000902976,0.921554, 0.000090
pr_000655109,0.921554, 0.000106
pr_000278776,0.921554, 0.000108
pr_000181847,0.921554, 0.000118
pr_000728567,0.921554, 0.000123
pr_000298443,0.921554, 0.000142
pr_000305017,0.921554, 0.000146
pr_000508291,0.921554, 0.000151
pr_000561382,0.921554, 0.000151
pr_000156940,0.921554, 0.000151
pr_000698484,0.921554, 0.000151
pr_000761375,0.921554, 0.000151
pr_000565420,0.921554, 0.000151
pr_000698854,0.921554, 0.000158
pr_001691542,0.921554, 0.000160
pr_000584750,0.921554, 0.000171
pr_000874431,0.921554, 0.000175
pr_001056465,0.921554, 0.000175
pr_000740372,0.921554, 0.000176
pr_000161362,0.921554, 0.000204
pr_000968248,0.921554, 0.000204
pr_000999242,0.921554, 0.000213
pr_000190239,0.921554, 0.000260
pr_000027901,0.921554, 0.000325
pr_000581152,0.921554, 0.000349
pr_000737099,0.921554, 0.000432
pr_000679872,0.921554, 0.000491
pr_000700411,0.921554, 0.000593
us_000523582,0.921554, 0.002130
us_000274735,0.921554, 0.002516
us_000549506,0.921554, 0.005903
us_000487713,0.921554, 0.010051
us_000507272,0.921554, 0.453371
us_000421677,0.921554, 0.455316
pr_000161321,0.919162, 0.000000
pr_000169614,0.919162, 0.000000
pr_000159609,0.919162, 0.000000
pr_000165516,0.919162, 0.000000
us_000529957,0.919162, 0.000000
us_000471355,0.919162, 0.000000
pr_000634671,0.919162, 0.000000
pr_001931129,0.919162, 0.000007
pr_000091991,0.919162, 0.000035
pr_000074747,0.919162, 0.000140
us_000513247,0.919162, 0.000387
us_000465921,0.919162, 0.005231
us_000236460,0.919162, 0.008127
us_000537010,0.919162, 0.010324
us_000516410,0.919162, 0.013912
us_000554883,0.919162, 0.022235
us_000499257,0.919162, 0.463416
us_000579433,0.919162, 0.490911
us_000475555,0.919162, 0.503278
us_000117223,0.919162, 0.539171
us_000587924,0.919162, 0.571805
us_000460865,0.919162, 0.595144
us_000591954,0.919162, 0.611627
us_000542923,0.919162, 0.672617
us_000467977,0.919162, 0.675167
us_000482577,0.919162, 0.675467
us_000531671,0.919162, 0.675728
us_000269908,0.919162, 0.685478
us_000579665,0.919162, 0.688950
us_000492299,0.919162, 0.689772
us_000581937,0.919162, 0.690778
us_000469049,0.919162, 0.716951
us_000586307,0.919162, 0.718167
us_000613772,0.919162, 0.724644
us_000133367,0.919162, 0.725902
us_000040687,0.919162, 0.730589
us_000063067,0.919162, 0.736679
us_000469773,0.919162, 0.751768
us_000481001,0.919162, 0.762156
us_000119466,0.919162, 0.774174
us_000054670,0.919162, 0.846770
us_000470299,0.871448, 0.000000
us_000473205,0.871448, 0.077801
us_000530501,0.871448, 0.988397
us_000512047,0.871448, 1.023490
us_000511603,0.871448, 1.191766
us_000484291,0.859914, 0.000000
us_000462519,0.859914, 0.000001
us_000463986,0.859914, 0.000001
us_000463258,0.859914, 0.000001
us_000478463,0.859914, 0.000001
us_000490184,0.859914, 0.000001
us_000525239,0.859914, 0.000001
us_000535453,0.859914, 0.000001
us_000463405,0.859914, 0.000001
us_000464072,0.859914, 0.000001
us_000468406,0.859914, 0.000001
us_000461244,0.859914, 0.000001
us_000491745,0.859914, 0.000001
us_000566726,0.859914, 0.000008
us_000566887,0.859914, 0.000008
us_000566924,0.859914, 0.000008
us_000484256,0.859914, 0.000008
us_000488861,0.859914, 0.000008
us_000566724,0.859914, 0.000008
us_000489707,0.859914, 0.000010
us_000484299,0.859914, 0.000012
us_000475481,0.859914, 0.000015
us_000475261,0.859914, 0.001189
us_000474892,0.859914, 0.002239
us_000572722,0.859914, 0.917039
us_000497740,0.859914, 0.942081
us_000578454,0.859914, 1.003468
us_000542280,0.859914, 1.010366
us_000528052,0.859914, 1.035434
us_000475255,0.859914, 1.063865
us_000543730,0.859914, 1.069980
us_000589216,0.859914, 1.091232
us_000184078,0.859914, 1.109713
us_000523112,0.859914, 1.126306
us_000515590,0.859914, 1.135145
us_000567636,0.859914, 1.150506
us_000475096,0.859914, 1.158045
us_000529163,0.859914, 1.162623
us_000503651,0.859914, 1.163731
us_000593299,0.859914, 1.176906
us_000561036,0.859914, 1.185294
us_000573882,0.859914, 1.201750
us_000504677,0.859914, 1.218125
us_000518443,0.859914, 1.240383
us_000557692,0.859914, 1.247476
us_000517513,0.859914, 1.247889
us_000363469,0.859914, 1.251905
us_000458959,0.859914, 1.254336
us_000548603,0.859914, 1.262554
us_000601993,0.859914, 1.269915
us_000491724,0.859914, 1.273453
us_000475982,0.859914, 1.280473
us_000553573,0.859914, 1.284987
us_000580185,0.859914, 1.313409
us_000506301,0.859914, 1.320166
us_000579980,0.859914, 1.323409
us_000475771,0.859914, 1.373800
us_000468106,0.859914, 1.380212
us_000470932,0.859914, 1.382902
pr_001845652,0.844282, 0.000001
pr_001812152,0.844282, 0.000001
pr_001884098,0.844282, 0.000001
us_000508160,0.844282, 0.000021
us_000460239,0.844282, 0.000251
us_000458777,0.844282, 0.000257
pr_000766652,0.826390, 0.001005
us_000573607,0.826390, 0.314498
us_000546154,0.826390, 0.328528
us_000574198,0.826390, 0.329427
us_000459964,0.826390, 0.329703
us_000513001,0.826390, 0.332672
us_000529042,0.826390, 0.333572
us_000580906,0.826390, 0.334725
us_000469052,0.826390, 0.337215
us_000469071,0.826390, 0.337215
