Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000468907,0.029430, 0.013494
us_000463029,0.029430, 0.013494
us_000468467,0.029430, 0.013990
us_000475353,0.029430, 0.014638
us_000473387,0.029430, 0.014638
us_000616652,0.029430, 0.014638
us_000462665,0.029430, 0.014638
us_000616812,0.029430, 0.014638
us_000476848,0.029430, 0.014638
us_000475317,0.029430, 0.014638
us_000465747,0.029430, 0.014638
us_000471800,0.029430, 0.014638
us_000474774,0.029430, 0.014638
us_000064408,0.029430, 0.014638
us_000538148,0.029430, 0.014638
us_000477363,0.029430, 0.014638
us_000477381,0.029430, 0.014638
us_000567850,0.029430, 0.015134
us_000482852,0.029430, 0.015497
us_000463515,0.029430, 0.015832
us_000463074,0.029430, 0.015832
us_000467481,0.029430, 0.015832
us_000489025,0.029430, 0.015832
us_000462723,0.029430, 0.015832
us_000584118,0.029430, 0.015832
us_000472121,0.029430, 0.015832
us_000470854,0.029430, 0.015832
us_000484378,0.029430, 0.015832
us_000462154,0.029430, 0.015832
us_000459223,0.029430, 0.015832
us_000462746,0.029430, 0.015832
us_000459397,0.029430, 0.015832
us_000490789,0.029430, 0.015832
us_000474714,0.029430, 0.015832
us_000458519,0.029430, 0.015832
us_000459407,0.029430, 0.015832
us_000459109,0.029430, 0.015832
us_000082822,0.029430, 0.015832
us_000473231,0.029430, 0.015832
us_000584192,0.029430, 0.015832
us_000475683,0.029430, 0.015832
us_000459151,0.029430, 0.015832
us_000459282,0.029430, 0.015832
us_000473153,0.029430, 0.015832
us_000482243,0.029430, 0.015832
us_000481002,0.029430, 0.015832
us_000472353,0.029430, 0.015832
us_000462728,0.029430, 0.015832
us_000459411,0.029430, 0.015832
us_000473228,0.029430, 0.015832
us_000462702,0.029430, 0.015832
us_000472071,0.029430, 0.015832
us_000518937,0.029430, 0.015832
us_000459361,0.029430, 0.015832
us_000484168,0.029430, 0.015901
us_000474702,0.029430, 0.016328
us_000559667,0.029430, 0.017074
us_000460838,0.029430, 0.017074
us_000518910,0.029430, 0.017074
us_000462828,0.029430, 0.017074
us_000480825,0.029430, 0.017074
us_000555085,0.029430, 0.017074
us_000366360,0.029430, 0.017074
us_000473835,0.029430, 0.017074
us_000469951,0.029430, 0.017074
us_000474627,0.029430, 0.017074
us_000490653,0.029430, 0.017074
us_000595151,0.029430, 0.017074
us_000468885,0.029430, 0.017074
us_000003157,0.029430, 0.017074
us_000471860,0.029430, 0.017074
us_000460552,0.029430, 0.017074
us_000285162,0.029430, 0.017074
us_000473554,0.029430, 0.017074
us_000460897,0.029430, 0.017074
us_000473838,0.029430, 0.017074
us_000480827,0.029430, 0.017074
us_000485477,0.029430, 0.017074
us_000002391,0.029430, 0.017074
us_000461003,0.029430, 0.017074
us_000595146,0.029430, 0.017074
us_000490848,0.029430, 0.017074
us_000502305,0.029430, 0.017074
us_000307850,0.029430, 0.017074
us_000506377,0.029430, 0.017074
us_000465369,0.029430, 0.017074
us_000559983,0.029430, 0.017074
us_000489879,0.029430, 0.017074
us_000454407,0.029430, 0.017074
us_000481456,0.029430, 0.017074
us_000465429,0.029430, 0.017074
us_000472860,0.029430, 0.017074
us_000474483,0.029430, 0.017074
us_000115688,0.029430, 0.017074
us_000475286,0.029430, 0.017074
us_000499595,0.029430, 0.017074
us_000482568,0.029430, 0.017074
us_000227201,0.029430, 0.017074
us_000474146,0.029430, 0.017074
us_000474315,0.029430, 0.017074
us_000460765,0.029430, 0.017074
us_000468225,0.029430, 0.017074
us_000252388,0.029430, 0.017074
us_000480787,0.029430, 0.017074
us_000468846,0.029430, 0.017074
us_000498601,0.029430, 0.017074
us_000589583,0.029430, 0.017074
us_000471658,0.029430, 0.017074
us_000353538,0.029430, 0.017074
us_000471373,0.029430, 0.017074
us_000465512,0.029430, 0.017074
us_000559984,0.029430, 0.017074
us_000474486,0.029430, 0.017074
us_000480245,0.029430, 0.017684
us_000589723,0.029430, 0.017944
us_000554707,0.029430, 0.018001
us_000539331,0.029430, 0.018366
us_000559034,0.029430, 0.018366
us_000463270,0.029430, 0.018366
us_000481262,0.029430, 0.018366
us_000463056,0.029430, 0.018366
us_000468825,0.029430, 0.018366
us_000461444,0.029430, 0.018366
us_000463442,0.029430, 0.018366
us_000609392,0.029430, 0.018366
us_000589392,0.029430, 0.018366
us_000584735,0.029430, 0.018366
us_000502196,0.029430, 0.018366
us_000459680,0.029430, 0.018366
us_000491309,0.029430, 0.018366
us_000463476,0.029430, 0.018366
us_000615825,0.029430, 0.018366
us_000487247,0.029430, 0.018366
