Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
us_000588192,0.969607,0.343238
pr_001626373,0.969607,0.343709
us_000600386,0.969607,0.343978
us_000466208,0.969607,0.366257
us_000207079,0.969607,0.371600
us_000526938,0.969607,0.384275
pr_000715430,0.969607,0.487455
pr_000290930,0.969607,0.526036
us_000235325,0.969607,0.532238
pr_000724148,0.969607,0.546307
pr_000819521,0.969607,0.546307
pr_000714258,0.969607,0.552818
us_000612012,0.969607,0.577408
pr_000776818,0.969607,0.587850
pr_000982273,0.969607,0.612881
pr_000776196,0.969607,0.633153
pr_000724269,0.969607,0.804758
pr_000982287,0.969607,0.891756
pr_001044047,0.969607,0.891756
pr_001021922,0.969607,0.904801
us_000597433,0.965076,0.332765
us_000596673,0.965076,0.333027
us_000596282,0.965076,0.333295
us_000615058,0.965076,0.333628
us_000522179,0.965076,0.334397
us_000593424,0.965076,0.334551
us_000594046,0.965076,0.334643
us_000557906,0.965076,0.335021
us_000557901,0.965076,0.335828
us_000600314,0.965076,0.336770
us_000586011,0.965076,0.337317
us_000549164,0.965076,0.337955
us_000535851,0.965076,0.338005
us_000582660,0.965076,0.338014
us_000582606,0.965076,0.338016
us_000582519,0.965076,0.338048
us_000616660,0.965076,0.338126
us_000581533,0.965076,0.338229
us_000525977,0.965076,0.338304
us_000596258,0.965076,0.338556
us_000509529,0.965076,0.338665
us_000550001,0.965076,0.339112
us_000576359,0.965076,0.339114
us_000574801,0.965076,0.339275
us_000550162,0.965076,0.339492
us_000530983,0.965076,0.339785
us_000566465,0.965076,0.340081
us_000565779,0.965076,0.340125
us_000588791,0.965076,0.340190
us_000500396,0.965076,0.340225
us_000500457,0.965076,0.340293
us_000305409,0.965076,0.340518
us_000557903,0.965076,0.340624
us_000495700,0.965076,0.340638
us_000489197,0.965076,0.340801
us_000553070,0.965076,0.340844
us_000486703,0.965076,0.340848
us_000491408,0.965076,0.340908
us_000551410,0.965076,0.340910
us_000582661,0.965076,0.340928
us_000582584,0.965076,0.340932
us_000582574,0.965076,0.340932
us_000493245,0.965076,0.340981
us_000550167,0.965076,0.340984
us_000473375,0.965076,0.341007
us_000549237,0.965076,0.341030
us_000513837,0.965076,0.341052
us_000492212,0.965076,0.341352
us_000538104,0.965076,0.341474
us_000536720,0.965076,0.341504
us_000535345,0.965076,0.341549
us_000574816,0.965076,0.341561
us_000574792,0.965076,0.341561
us_000534504,0.965076,0.341574
us_000531657,0.965076,0.341642
us_000521094,0.965076,0.341724
us_000527224,0.965076,0.341732
us_000476508,0.965076,0.341770
us_000524840,0.965076,0.341788
us_000472696,0.965076,0.341829
us_000521883,0.965076,0.341851
us_000521566,0.965076,0.341858
us_000566129,0.965076,0.341976
us_000580720,0.965076,0.349201
