Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
us_000424004,0.390053, 0.000001
us_000529827,0.390053, 0.000036
us_000550482,0.390053, 0.000036
us_000550440,0.390053, 0.000036
us_000460847,0.390053, 0.000120
us_000587299,0.390053, 0.000120
us_000584648,0.390053, 0.000120
us_000553239,0.390053, 0.000120
us_000581146,0.390053, 0.000120
us_000548313,0.390053, 0.000120
us_000596802,0.390053, 0.000120
us_000493278,0.390053, 0.000120
us_000549661,0.390053, 0.000120
us_000490585,0.390053, 0.000120
us_000464246,0.390053, 0.000302
us_000460979,0.390053, 0.000540
us_000507954,0.390053, 0.001736
us_000519228,0.390053, 0.002023
us_000569579,0.390053, 0.002453
pr_000509393,0.390053, 0.002811
us_000513529,0.390053, 0.002887
us_000553177,0.390053, 0.003005
us_000553227,0.390053, 0.003684
us_000521277,0.390053, 0.004312
us_000530138,0.390053, 0.004841
us_000520667,0.390053, 0.006654
us_000515377,0.390053, 0.006907
us_000507822,0.390053, 0.007641
us_000548138,0.390053, 0.007991
us_000524115,0.390053, 0.009427
us_000520870,0.390053, 0.011439
us_000552484,0.390053, 0.012131
us_000563948,0.390053, 0.014501
us_000524388,0.390053, 0.014719
us_000513263,0.390053, 0.017070
us_000507446,0.390053, 0.019859
us_000521843,0.390053, 0.021046
us_000592605,0.390053, 0.021386
us_000590230,0.390053, 0.022489
us_000589202,0.390053, 0.025512
us_000514284,0.390053, 0.029882
us_000552942,0.390053, 0.031320
us_000185834,0.390053, 0.031757
pr_001224858,0.390053, 0.033675
us_000514258,0.390053, 0.035011
us_000471532,0.390053, 0.039410
us_000458782,0.390053, 0.041154
us_000477343,0.390053, 0.041700
us_000531084,0.390053, 0.043434
us_000518525,0.390053, 0.044827
us_000591774,0.390053, 0.052131
us_000546081,0.390053, 0.061783
us_000522533,0.390053, 0.079595
us_000505551,0.390053, 0.081869
us_000558029,0.390053, 0.082999
us_000518510,0.390053, 0.095605
us_000504374,0.390053, 0.096783
us_000523871,0.390053, 0.126191
us_000575517,0.390053, 0.146070
us_000513223,0.390053, 0.171927
us_000507766,0.390053, 0.208763
us_000383825,0.390053, 0.231701
us_000510777,0.390053, 0.515994
pr_000552441,0.269636, 0.000000
pr_000545459,0.269636, 0.000000
pr_000435209,0.269636, 0.000000
pr_000554824,0.269636, 0.000000
pr_000560828,0.269636, 0.000000
us_000469231,0.269636, 0.000000
us_000470211,0.269636, 0.000000
us_000331319,0.269636, 0.000001
us_000490797,0.269636, 0.000001
us_000480369,0.269636, 0.000001
us_000465890,0.269636, 0.000001
us_000604646,0.269636, 0.000001
us_000462396,0.269636, 0.000001
us_000461659,0.269636, 0.000001
us_000482955,0.269636, 0.000001
us_000464721,0.269636, 0.000001
us_000465236,0.269636, 0.000001
us_000493657,0.269636, 0.000001
us_000488750,0.269636, 0.000001
us_000463493,0.269636, 0.000001
us_000479781,0.269636, 0.000001
us_000465126,0.269636, 0.000001
us_000483465,0.269636, 0.000001
us_000470707,0.269636, 0.000001
us_000460324,0.269636, 0.000001
us_000475480,0.269636, 0.000001
us_000488027,0.269636, 0.000001
pr_000393968,0.269636, 0.000002
pr_000391967,0.269636, 0.000002
us_000473283,0.269636, 0.000004
us_000478560,0.269636, 0.000004
us_000419923,0.269636, 0.000004
us_000489297,0.269636, 0.000004
us_000465927,0.269636, 0.000004
us_000492388,0.269636, 0.000004
pr_000630379,0.269636, 0.000027
pr_000634674,0.269636, 0.000027
pr_000560087,0.269636, 0.000027
pr_000556580,0.269636, 0.000028
pr_000655901,0.269636, 0.000028
pr_000921911,0.269636, 0.000028
pr_000543189,0.269636, 0.000029
us_000467030,0.269636, 0.000037
