Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
pr_000652146,0.351804, 0.082922
pr_000721248,0.351804, 0.082922
pr_000700320,0.351804, 0.082922
pr_000559614,0.351804, 0.082922
pr_000542760,0.351804, 0.082922
pr_000716547,0.351804, 0.082922
pr_001043068,0.351804, 0.082922
pr_001041580,0.351804, 0.082922
pr_000712731,0.351804, 0.082970
pr_000364545,0.351804, 0.083054
pr_000723011,0.351804, 0.083102
pr_000625442,0.351804, 0.083137
pr_000368262,0.351804, 0.083235
pr_000655960,0.351804, 0.083274
pr_000849382,0.351804, 0.083314
pr_000747924,0.351804, 0.083316
pr_000630343,0.351804, 0.083316
pr_001042469,0.351804, 0.083316
pr_000396603,0.351804, 0.083334
pr_000514219,0.351804, 0.083347
pr_000514428,0.351804, 0.083347
pr_000516246,0.351804, 0.083347
pr_000513911,0.351804, 0.083347
pr_000989575,0.351804, 0.083348
pr_000820099,0.351804, 0.083355
pr_000890022,0.351804, 0.083475
pr_000640610,0.351804, 0.083482
pr_000644994,0.351804, 0.083524
pr_000368192,0.351804, 0.083524
pr_001033404,0.351804, 0.083615
pr_000717235,0.351804, 0.084031
pr_000370329,0.351804, 0.084200
pr_000372116,0.351804, 0.084234
pr_001034096,0.351804, 0.084234
pr_000397067,0.351804, 0.084407
pr_001030501,0.351804, 0.084413
pr_000364829,0.351804, 0.084413
pr_001034599,0.351804, 0.084413
pr_000397794,0.351804, 0.084416
pr_000818183,0.351804, 0.084420
pr_000385070,0.351804, 0.084434
pr_000564532,0.351804, 0.084440
pr_000817599,0.351804, 0.084478
pr_000623000,0.351804, 0.084593
pr_000383099,0.351804, 0.084628
pr_000371159,0.351804, 0.084634
pr_000693394,0.351804, 0.084669
pr_000517971,0.351804, 0.084669
pr_000387133,0.351804, 0.084669
pr_001033633,0.351804, 0.084704
pr_001033649,0.351804, 0.084704
pr_000774334,0.351804, 0.084704
pr_001033761,0.351804, 0.084801
pr_001034119,0.351804, 0.084807
pr_000394295,0.351804, 0.084848
pr_000763747,0.351804, 0.084849
pr_000370779,0.351804, 0.084856
pr_000368603,0.351804, 0.084870
pr_000561105,0.351804, 0.084883
pr_000634697,0.351804, 0.084883
pr_000659951,0.351804, 0.084883
pr_000748944,0.351804, 0.084883
pr_000631854,0.351804, 0.084883
pr_000641898,0.351804, 0.084883
pr_000559288,0.351804, 0.084883
pr_000873918,0.351804, 0.084883
pr_000824965,0.351804, 0.084883
pr_000511637,0.351804, 0.084883
pr_001042301,0.351804, 0.084883
pr_000767406,0.351804, 0.084883
pr_000631729,0.351804, 0.084883
pr_000751131,0.351804, 0.084883
pr_000584296,0.351804, 0.084883
pr_000910600,0.351804, 0.084883
pr_000719311,0.351804, 0.084883
pr_000717296,0.351804, 0.084883
pr_000751561,0.351804, 0.084883
pr_000646031,0.351804, 0.084883
pr_000776812,0.351804, 0.084883
pr_001041735,0.351804, 0.084883
pr_000723600,0.351804, 0.084883
pr_000993541,0.351804, 0.084883
pr_001001770,0.351804, 0.084883
pr_000631984,0.351804, 0.084883
pr_000633393,0.351804, 0.084883
pr_001582700,0.351804, 0.084883
pr_000993181,0.351804, 0.084883
pr_000994867,0.351804, 0.084883
pr_000748231,0.351804, 0.084883
pr_000557443,0.351804, 0.084883
pr_000555396,0.351804, 0.084883
pr_001042547,0.351804, 0.084883
pr_000567677,0.351804, 0.084883
pr_000921797,0.351804, 0.084883
pr_000715749,0.351804, 0.084883
pr_000781541,0.351804, 0.084883
pr_001042577,0.351804, 0.084883
pr_000396191,0.351804, 0.084883
pr_000632728,0.351804, 0.084883
pr_000384623,0.351804, 0.084883
pr_000922118,0.351804, 0.084883
pr_000370538,0.351804, 0.084883
