Product ID : 2127 JPs covered : 361 : LoanDoc-Syndicated Loans, 
OID,Confidence at Map Node,Error at Map Node
us_000467788,0.446564, 0.000002
us_000569909,0.446564, 0.000002
us_000551346,0.446564, 0.000002
us_000525923,0.446564, 0.000002
us_000561286,0.446564, 0.000002
us_000515161,0.446564, 0.000002
us_000528093,0.446564, 0.000002
us_000544366,0.446564, 0.000002
us_000529839,0.446564, 0.000002
us_000493967,0.446564, 0.000002
us_000572124,0.446564, 0.000002
us_000533287,0.446564, 0.000004
pr_000992583,0.446564, 0.000006
pr_000654439,0.446564, 0.000006
pr_001062915,0.446564, 0.000006
pr_001666683,0.446564, 0.000008
pr_000204501,0.446564, 0.000008
pr_000353389,0.446564, 0.000010
us_000525838,0.446564, 0.000014
pr_000922829,0.446564, 0.000026
us_000459957,0.446564, 0.000029
us_000466917,0.446564, 0.000045
pr_001396113,0.446564, 0.000045
pr_001863770,0.446564, 0.000057
us_000512623,0.446564, 0.000058
pr_000214617,0.446564, 0.000068
us_000571760,0.446564, 0.000084
pr_000651867,0.446564, 0.000085
us_000495743,0.446564, 0.000098
pr_000979242,0.446564, 0.000120
us_000519733,0.446564, 0.000151
pr_000654741,0.446564, 0.000189
us_000602929,0.446564, 0.000215
pr_001043964,0.446564, 0.000322
us_000559749,0.446564, 0.000334
pr_000856808,0.446564, 0.000401
pr_000877373,0.446564, 0.000481
pr_001804945,0.446564, 0.000518
pr_000641864,0.446564, 0.000551
us_000468733,0.446564, 0.000576
us_000510902,0.446564, 0.000592
pr_001659572,0.446564, 0.000615
us_000533975,0.446564, 0.000908
pr_000993660,0.446564, 0.001023
pr_001620362,0.446564, 0.001388
pr_000825523,0.446564, 0.001451
us_000499533,0.446564, 0.001574
pr_000697292,0.446564, 0.001640
us_000523410,0.446564, 0.012144
us_000500138,0.446564, 0.013754
us_000500462,0.446564, 0.014014
us_000467070,0.446564, 0.022070
us_000570107,0.446564, 0.025947
us_000551929,0.446564, 0.028690
us_000554681,0.446564, 0.039017
us_000502916,0.446564, 0.043698
us_000129357,0.446564, 0.047213
us_000028057,0.446564, 0.050054
us_000458632,0.446564, 0.061789
us_000435759,0.446564, 0.075212
us_000586742,0.446564, 0.306978
us_000430456,0.446564, 1.038287
us_000560225,0.324544, 0.004032
us_000541734,0.324544, 0.004478
us_000566917,0.324544, 0.915524
us_000499630,0.324544, 0.928234
us_000498943,0.324544, 1.024382
us_000523842,0.324544, 1.029268
us_000526746,0.324544, 1.045794
us_000252500,0.324544, 1.082964
us_000573288,0.324544, 1.084181
us_000574548,0.324544, 1.111947
us_000521763,0.324544, 1.121326
us_000596968,0.324544, 1.124372
us_000533840,0.324544, 1.131347
us_000512420,0.324544, 1.134546
us_000511606,0.324544, 1.134874
us_000501578,0.324544, 1.135142
us_000544167,0.324544, 1.141719
us_000420058,0.324544, 1.160496
us_000231918,0.324544, 1.163367
us_000521257,0.324544, 1.171971
us_000608495,0.324544, 1.175544
us_000553688,0.324544, 1.190439
us_000585856,0.324544, 1.200118
us_000481393,0.324544, 1.200121
us_000607653,0.324544, 1.200936
us_000013307,0.324544, 1.214702
us_000552628,0.324544, 1.214716
us_000542790,0.324544, 1.214898
us_000540087,0.324544, 1.217507
us_000477165,0.324544, 1.219986
us_000524561,0.324544, 1.221637
us_000464995,0.324544, 1.227212
us_000563385,0.324544, 1.233130
us_000546153,0.324544, 1.237415
us_000526876,0.324544, 1.241167
us_000475220,0.324544, 1.243559
us_000463053,0.324544, 1.245253
us_000584017,0.324544, 1.247627
us_000509559,0.324544, 1.248593
us_000553323,0.324544, 1.249257
us_000481589,0.324544, 1.249510
us_000596948,0.324544, 1.253557
us_000488601,0.324544, 1.256358
us_000577173,0.324544, 1.262653
us_000607864,0.324544, 1.264768
us_000556562,0.324544, 1.271283
us_000608646,0.324544, 1.273696
us_000579256,0.324544, 1.274435
us_000304749,0.324544, 1.274475
us_000501132,0.324544, 1.280955
us_000475104,0.324544, 1.288393
us_000507414,0.324544, 1.291835
us_000142957,0.324544, 1.295701
us_000476958,0.324544, 1.297820
us_000461280,0.324544, 1.302820
us_000110358,0.324544, 1.308040
us_000458597,0.324544, 1.318960
us_000465118,0.324544, 1.320176
us_000538101,0.324544, 1.320859
us_000610388,0.324544, 1.326796
us_000557647,0.324544, 1.334814
us_000436858,0.324544, 1.335462
us_000538783,0.324544, 1.490428
pr_002046045,0.304655, 0.000000
pr_001778570,0.304655, 0.000000
pr_001778701,0.304655, 0.000000
pr_001775957,0.304655, 0.000000
pr_001801960,0.304655, 0.000000
pr_001809086,0.304655, 0.000000
pr_001803592,0.304655, 0.000000
pr_001779428,0.304655, 0.000000
pr_000748519,0.304655, 0.000000
pr_001782096,0.304655, 0.000000
pr_002001468,0.304655, 0.000000
pr_001864165,0.304655, 0.000000
pr_001854092,0.304655, 0.000000
pr_001792243,0.304655, 0.000000
pr_001790475,0.304655, 0.000000
pr_002045860,0.304655, 0.000000
pr_001888076,0.304655, 0.000000
pr_001780997,0.304655, 0.000000
pr_001787742,0.304655, 0.000000
pr_001788807,0.304655, 0.000000
pr_001775158,0.304655, 0.000000
pr_002041730,0.304655, 0.000000
pr_001789345,0.304655, 0.000000
pr_001893310,0.304655, 0.000000
pr_002014622,0.304655, 0.000000
pr_001807085,0.304655, 0.000000
pr_001801550,0.304655, 0.000000
pr_001855520,0.304655, 0.000000
pr_001790182,0.304655, 0.000000
pr_002038214,0.304655, 0.000000
pr_001888505,0.304655, 0.000000
pr_001792214,0.304655, 0.000000
pr_001888259,0.304655, 0.000000
pr_001784218,0.304655, 0.000000
pr_001723260,0.304655, 0.000000
pr_001887259,0.304655, 0.000000
pr_002046060,0.304655, 0.000000
pr_002045508,0.304655, 0.000000
pr_001853070,0.304655, 0.000000
pr_002027453,0.304655, 0.000000
pr_002015461,0.304655, 0.000000
pr_001782314,0.304655, 0.000000
pr_001776950,0.304655, 0.000000
pr_002039158,0.304655, 0.000000
pr_001800718,0.304655, 0.000000
pr_001887074,0.304655, 0.000000
pr_001893720,0.304655, 0.000000
pr_001778720,0.304655, 0.000000
pr_002044527,0.304655, 0.000000
pr_001778244,0.304655, 0.000000
pr_001939377,0.304655, 0.000000
pr_001808991,0.304655, 0.000000
pr_001801516,0.304655, 0.000000
pr_001888383,0.304655, 0.000000
