Prospect OID,Prospect BMU Dist,Product OID, Product Confidence,...
us_000511037,0.516057,983:0.183162,
us_000600104,0.160740,2095:0.747507,
us_000495440,0.114437,997:0.150180,
us_000555950,0.107703,215:0.139125,
pr_000091229,0.046419,933:0.103996,
us_000065693,0.618943,2123:1.000000,
us_000522156,0.089874,983:0.027724,
us_000485455,0.079916,997:0.054803,
us_000468909,0.368581,932:0.826390,
us_000490947,0.078466,2126:0.182104,
pr_002078972,0.067497,933:0.248657,
us_000588265,0.631706,2092:0.975586,
pr_001028240,0.037500,2095:0.157683,
pr_000384463,0.116793,895:0.142661,
us_000078088,0.544764,930:0.635040,2070:0.401917,
us_000487982,1.803741,2119:1.000000,2096:0.109780,
us_000534214,0.259908,957:0.122639,
pr_000564381,0.049589,2091:0.058780,
us_000527654,0.243859,2095:0.828960,
pr_001029475,0.026114,2095:0.047896,
pr_001158683,0.068038,895:0.144696,
us_000596456,0.543162,930:0.209053,
us_000499602,0.654853,2092:0.975586,
us_000087655,0.070171,983:0.410027,
us_000588059,0.967385,2139:1.000000,2092:0.725649,
pr_000845772,0.048038,933:0.249844,
us_000536794,0.724300,2104:0.993258,
us_000479459,0.326811,982:1.000000,
us_000516013,0.487676,2108:1.000000,
us_000495502,1.091354,932:1.000000,988:0.007542,
us_000512991,0.450898,2091:0.323822,895:0.234411,2146:0.116726,
pr_000819192,0.245379,2064:0.581005,
pr_000991133,0.044772,215:0.019098,
pr_001041049,0.037500,2095:0.157683,
us_000503607,1.401074,1005:0.909655,2132:0.245188,2127:0.032768,
us_000470976,0.041551,215:0.019098,
us_000564403,0.462437,893:0.855656,968:0.197102,983:0.073384,
pr_000347613,0.045239,215:0.019098,
pr_000406856,0.044488,215:0.019098,
pr_000202632,0.046915,2067:0.082387,
us_000527308,0.108458,933:0.569031,
us_000598596,0.410113,932:0.807867,
us_000504655,0.695580,890:0.062506,
pr_001124555,0.247257,2064:0.581005,
us_000593523,0.734173,2119:0.519867,
us_000567825,0.440942,988:0.695703,897:0.439292,
us_000531840,0.467987,2096:0.302743,2082:0.301198,
us_000586218,0.308076,895:0.764121,
us_000485487,2.230005,2093:1.000000,
pr_000703239,0.045296,2067:0.082387,
pr_000387364,0.066935,895:0.144696,
us_000582834,0.171108,2095:0.747507,
us_000549255,0.721510,2064:0.985936,
us_000574614,0.166095,997:0.080627,
us_000510019,0.090762,215:0.224731,
us_000564867,0.940102,915:0.061165,
us_000567399,0.081818,2076:0.085171,
us_000571016,0.093513,215:0.224731,
us_000489385,0.484375,972:0.888901,2146:0.037409,
us_000615860,0.094328,983:0.224722,
us_000562120,0.021574,2126:0.067998,
pr_000853677,0.032143,1037:0.202869,
us_000470953,0.604215,988:0.586830,
us_000596499,0.098547,2067:0.017265,
us_000519617,0.137291,215:0.247018,2107:0.119144,
us_000499620,0.106013,997:0.054803,
us_000572548,0.447002,2092:0.678524,
us_000476999,0.316599,890:0.238714,
us_000471220,0.370331,932:0.826390,
pr_001409661,0.068038,895:0.144696,
us_000540476,0.172863,983:0.389324,1047:0.008499,
us_000449474,0.185942,951:0.549339,966:0.189174,
pr_000659530,0.048952,1037:0.199104,
pr_001124530,0.247257,2064:0.581005,
pr_001000302,0.036890,1037:0.199104,
us_000488674,0.307587,2126:0.982070,
us_000522102,0.234405,2095:0.775362,2126:0.054181,
us_000538852,0.645800,915:0.078573,2105:0.007728,
us_000470022,0.092610,997:0.150180,
pr_000735003,0.048038,933:0.249844,
pr_001127923,0.241648,2064:0.581005,
us_000463820,0.114357,933:0.607975,
pr_000830996,0.210850,932:0.555872,
us_000560136,1.155263,2093:0.956947,
pr_001029904,0.087604,215:0.019098,
pr_000993585,0.180785,89:0.657263,
pr_001149836,0.066935,895:0.144696,
us_000397013,0.258128,895:0.642628,
us_000554309,0.453013,2064:0.985936,
us_000483397,0.396632,972:0.890675,
us_000466552,0.163459,993:0.437233,2064:0.063365,
pr_000558067,0.065841,895:0.144696,
pr_000875455,0.035373,1037:0.199104,
pr_000369509,0.066935,895:0.144696,
us_000593652,0.491656,893:0.914608,
us_000471806,0.079916,997:0.054803,
us_000570993,0.155564,890:0.023748,
us_000469094,0.312770,895:0.764121,
