Product ID : 2102 # of JPs covered : 1 : 63 : Law Firm Management, 
OID,Confidence at Map Node,Error at Map Node
pr_001897354,0.427167, 0.000102
pr_001149294,0.427167, 0.000102
pr_002127991,0.427167, 0.000102
pr_001896184,0.427167, 0.000139
pr_002138348,0.427167, 0.000139
pr_001135542,0.427167, 0.000140
pr_002108507,0.427167, 0.000208
pr_000639578,0.427167, 0.000216
pr_000435453,0.427167, 0.000216
pr_001053789,0.427167, 0.000241
pr_001864137,0.427167, 0.000249
pr_001910760,0.427167, 0.000253
pr_000596814,0.427167, 0.000261
us_000541804,0.427167, 0.000292
pr_000891677,0.427167, 0.000350
pr_000942373,0.427167, 0.000352
pr_000431315,0.427167, 0.000737
pr_000769873,0.427167, 0.000974
pr_000706718,0.427167, 0.001033
us_000462350,0.427167, 0.001448
us_000474493,0.427167, 0.002002
pr_000728425,0.427167, 0.002119
us_000492633,0.427167, 0.007617
us_000603008,0.427167, 0.007825
us_000491698,0.427167, 0.012379
us_000177096,0.427167, 0.012379
us_000610133,0.427167, 0.030487
us_000510665,0.427167, 0.030696
us_000077639,0.427167, 0.032752
us_000607042,0.427167, 0.047406
us_000557482,0.427167, 0.072586
us_000598008,0.427167, 0.089066
us_000536982,0.427167, 0.094936
us_000475801,0.427167, 0.103905
us_000486806,0.427167, 0.122721
us_000494262,0.427167, 0.130049
us_000483947,0.427167, 0.150815
us_000491311,0.427167, 0.193968
us_000251994,0.427167, 0.250694
us_000464790,0.427167, 0.518994
us_000467107,0.427167, 0.618944
us_000475466,0.427167, 0.642354
us_000482720,0.427167, 0.651419
us_000482883,0.427167, 0.716848
us_000482875,0.427167, 0.716848
us_000481879,0.427167, 0.724560
us_000483604,0.427167, 0.735158
us_000483616,0.427167, 0.759085
pr_000668307,0.369233, 0.000000
pr_001049573,0.369233, 0.000000
pr_000462146,0.369233, 0.000000
pr_000937068,0.369233, 0.000000
pr_000287027,0.369233, 0.000000
pr_000770734,0.369233, 0.000000
pr_001026809,0.369233, 0.000000
pr_000941628,0.369233, 0.000000
pr_001039889,0.369233, 0.000000
pr_001063501,0.369233, 0.000000
us_000589425,0.369233, 0.000001
us_000589410,0.369233, 0.000001
us_000577590,0.369233, 0.000001
us_000572250,0.369233, 0.000001
us_000617184,0.369233, 0.000001
us_000580642,0.369233, 0.000001
us_000600893,0.369233, 0.000001
us_000612154,0.369233, 0.000001
us_000600836,0.369233, 0.000001
us_000613087,0.369233, 0.000001
us_000524217,0.369233, 0.000001
us_000609175,0.369233, 0.000001
us_000617010,0.369233, 0.000001
us_000611911,0.369233, 0.000001
us_000596082,0.369233, 0.000001
us_000516757,0.369233, 0.000003
us_000029141,0.369233, 0.000003
us_000570098,0.369233, 0.000003
us_000480801,0.369233, 0.000003
us_000551687,0.369233, 0.000003
us_000554877,0.369233, 0.000003
us_000495761,0.369233, 0.000003
us_000596769,0.369233, 0.000004
us_000524882,0.369233, 0.000004
us_000569185,0.369233, 0.000004
us_000561320,0.369233, 0.000004
us_000613156,0.369233, 0.000004
us_000596079,0.369233, 0.000007
us_000466640,0.369233, 0.000008
us_000488176,0.369233, 0.000008
us_000570818,0.369233, 0.000012
pr_001052182,0.369233, 0.000014
us_000581630,0.369233, 0.000064
us_000548040,0.369233, 0.000071
pr_000763013,0.369233, 0.000111
us_000550490,0.369233, 0.000189
pr_001135802,0.369233, 0.000493
us_000548477,0.369233, 0.000530
us_000603958,0.369233, 0.000668
us_000485244,0.369233, 0.000676
pr_000982386,0.369233, 0.000797
pr_001198500,0.369233, 0.001713
us_000562304,0.369233, 0.002214
us_000471310,0.369233, 0.004644
us_000558767,0.369233, 0.009299
us_000478428,0.369233, 0.009365
us_000476034,0.369233, 0.038673
us_000478723,0.369233, 0.769134
us_000271859,0.369233, 1.383832
us_000530758,0.333449, 0.000000
us_000554416,0.333449, 0.000000
us_000526848,0.333449, 0.000000
us_000545124,0.333449, 0.000000
us_000519261,0.333449, 0.000010
us_000616021,0.333449, 0.000017
us_000590912,0.333449, 0.000036
us_000530724,0.333449, 0.000087
us_000459311,0.333449, 0.000138
us_000500652,0.333449, 0.055977
us_000482966,0.333449, 0.100528
us_000576847,0.333449, 0.378369
pr_000832437,0.124406, 0.000000
pr_000713781,0.124406, 0.000021
us_000496106,0.124406, 0.000477
pr_000607160,0.124406, 0.000634
pr_000903795,0.124406, 0.000634
pr_001765303,0.124406, 0.000634
pr_000790331,0.124406, 0.000634
pr_000727711,0.124406, 0.000634
pr_000774251,0.124406, 0.000634
pr_000956345,0.124406, 0.000634
pr_000924443,0.124406, 0.000634
pr_000886691,0.124406, 0.000634
pr_000929727,0.124406, 0.000634
pr_000777063,0.124406, 0.000634
pr_000862732,0.124406, 0.000634
pr_000847724,0.124406, 0.000636
pr_000820968,0.124406, 0.000636
pr_000600859,0.124406, 0.000641
pr_000603883,0.124406, 0.000643
pr_000599160,0.124406, 0.000645
pr_000999274,0.124406, 0.000653
pr_000631582,0.124406, 0.000653
pr_000773548,0.124406, 0.000655
pr_000606604,0.124406, 0.000891
us_000494459,0.124406, 0.001454
pr_000828568,0.124406, 0.002572
pr_000873666,0.124406, 0.004199
pr_000837315,0.124406, 0.008277
pr_001053107,0.124406, 0.008899
pr_000848703,0.124406, 0.011120
pr_000740977,0.124406, 0.011311
pr_001057624,0.124406, 0.012146
pr_000879870,0.124406, 0.013475
pr_000768770,0.124406, 0.028544
us_000491980,0.124406, 0.125805
