Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
pr_001182618,0.712230,0.000001
pr_001272073,0.712230,0.000001
pr_001308920,0.712230,0.000001
pr_001320741,0.712230,0.000001
pr_001283676,0.712230,0.000001
pr_001274886,0.712230,0.000001
pr_001382043,0.712230,0.000001
pr_001278212,0.712230,0.000001
pr_001135677,0.712230,0.000001
pr_001321077,0.712230,0.000001
pr_001260464,0.712230,0.000001
pr_001186295,0.712230,0.000001
pr_001316756,0.712230,0.000001
pr_001172122,0.712230,0.000001
pr_001374107,0.712230,0.000001
pr_001315570,0.712230,0.000001
pr_001315930,0.712230,0.000001
pr_001337835,0.712230,0.000001
pr_001182240,0.712230,0.000001
pr_001369014,0.712230,0.000001
pr_001253523,0.712230,0.000001
pr_001282517,0.712230,0.000001
pr_001230734,0.712230,0.000001
pr_001255851,0.712230,0.000001
pr_001194129,0.712230,0.000001
pr_001174120,0.712230,0.000001
pr_001380941,0.712230,0.000001
pr_001315674,0.712230,0.000001
pr_001230030,0.712230,0.000001
pr_001176535,0.712230,0.000001
pr_001336305,0.712230,0.000001
pr_001325615,0.712230,0.000001
pr_001349737,0.712230,0.000001
pr_001278936,0.712230,0.000001
pr_001284803,0.712230,0.000001
pr_001272276,0.712230,0.000001
pr_001184828,0.712230,0.000001
pr_001338020,0.712230,0.000001
pr_000714603,0.712230,0.000001
pr_001295596,0.712230,0.000001
pr_001261740,0.712230,0.000001
pr_000716565,0.712230,0.000001
pr_001237004,0.712230,0.000001
pr_001385448,0.712230,0.000001
pr_001176097,0.712230,0.000001
pr_001258147,0.712230,0.000001
pr_001310849,0.712230,0.000001
pr_001249955,0.712230,0.000001
pr_001234386,0.712230,0.000001
pr_001234920,0.712230,0.000001
pr_001354898,0.712230,0.000001
pr_001322641,0.712230,0.000001
pr_001273938,0.712230,0.000001
pr_001381935,0.712230,0.000001
pr_001287848,0.712230,0.000001
pr_001202152,0.712230,0.000001
pr_001233641,0.712230,0.000001
pr_001353513,0.712230,0.000001
pr_001243355,0.712230,0.000001
pr_001173469,0.712230,0.000001
