Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 401 | RP Finance-Tax (jp:401,idx:236)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01136364,2.0,(9|30)
0.01132075,3.0,(21|20)
0.01123596,2.0,(5|22)
0.01123596,2.0,(8|4)
0.01123596,3.0,(41|8)
0.01117318,2.0,(2|39)
0.01115242,3.0,(37|32)
0.01107011,3.0,(11|32)
0.01098901,1.0,(29|3)
0.01084011,4.0,(25|28)
0.01075269,1.0,(2|34)
0.01075269,1.0,(22|36)
0.01075269,3.0,(43|11)
0.01066098,5.0,(22|28)
0.01063830,1.0,(16|19)
0.01063830,2.0,(43|16)
0.01060071,3.0,(22|29)
0.01052632,2.0,(38|3)
0.01052632,2.0,(48|48)
0.01047120,2.0,(4|13)
0.01045296,3.0,(44|32)
0.01041667,2.0,(3|37)
0.01041667,2.0,(4|14)
0.01041667,2.0,(4|15)
0.01041667,1.0,(42|48)
0.01030928,3.0,(23|4)
0.01027397,3.0,(28|47)
0.01025641,2.0,(48|17)
0.01015228,2.0,(6|38)
0.01015228,2.0,(34|3)
0.01010101,2.0,(19|11)
0.01010101,2.0,(20|11)
0.01010101,4.0,(38|45)
0.01010101,2.0,(43|18)
0.01007557,4.0,(43|35)
0.01005025,4.0,(10|29)
0.01000000,1.0,(41|39)
0.009950249,2.0,(44|7)
0.009940358,5.0,(21|34)
0.009925558,4.0,(25|26)
0.009900990,1.0,(11|31)
0.009900990,1.0,(36|22)
0.009803922,1.0,(11|1)
0.009708738,1.0,(45|37)
0.009615385,3.0,(27|26)
0.009478673,2.0,(40|21)
0.009433962,2.0,(11|9)
0.009433962,1.0,(45|41)
0.009416196,5.0,(0|21)
0.009416196,5.0,(49|21)
0.009389671,2.0,(15|29)
0.009345794,2.0,(23|25)
0.009345794,2.0,(42|10)
0.009345794,2.0,(46|37)
0.009259259,1.0,(6|25)
0.009259259,1.0,(37|47)
0.009216590,2.0,(22|16)
0.009202454,3.0,(44|1)
0.009174312,1.0,(10|15)
0.009174312,1.0,(17|16)
0.009174312,2.0,(39|12)
0.009090909,1.0,(0|7)
0.009090909,2.0,(0|25)
0.009090909,1.0,(6|35)
0.009090909,2.0,(11|17)
0.009090909,1.0,(21|19)
0.009090909,1.0,(34|43)
0.009049774,2.0,(7|9)
0.009049774,2.0,(27|2)
0.009009009,1.0,(9|14)
0.009009009,5.0,(46|5)
0.009009009,3.0,(46|16)
0.009009009,5.0,(47|4)
0.009009009,5.0,(47|5)
0.008928572,2.0,(16|15)
0.008888889,2.0,(41|44)
0.008849557,1.0,(8|48)
0.008810572,2.0,(15|34)
0.008746356,3.0,(45|39)
0.008720931,3.0,(22|0)
0.008658009,2.0,(0|49)
0.008645534,3.0,(11|8)
0.008620690,3.0,(39|17)
0.008474576,2.0,(37|29)
0.008438818,2.0,(12|10)
0.008438818,2.0,(35|12)
0.008403362,1.0,(15|32)
0.008368201,2.0,(44|45)
0.008333334,1.0,(11|10)
0.008298756,2.0,(42|14)
0.008264462,1.0,(0|3)
0.008264462,1.0,(26|2)
0.008241759,3.0,(11|7)
0.008196721,1.0,(22|7)
0.008196721,2.0,(44|22)
0.008174387,3.0,(37|23)
0.008152174,6.0,(14|24)
0.008130081,1.0,(45|40)
0.008097166,4.0,(10|34)
0.008064516,2.0,(15|23)
0.007968128,2.0,(30|18)
0.007936508,1.0,(44|11)
0.007858546,4.0,(10|21)
0.007843138,2.0,(1|21)
0.007812500,1.0,(43|0)
0.007782101,2.0,(20|26)
0.007751938,2.0,(12|25)
0.007722008,2.0,(36|14)
0.007722008,2.0,(39|13)
0.007692308,2.0,(37|36)
0.007672634,3.0,(46|19)
0.007662835,2.0,(37|9)
0.007656968,5.0,(18|27)
0.007633588,1.0,(15|20)
0.007575758,1.0,(44|35)
0.007575758,1.0,(49|9)
0.007518797,2.0,(7|8)
0.007518797,1.0,(27|9)
0.007518797,1.0,(37|31)
0.007518797,2.0,(39|8)
0.007490637,2.0,(45|16)
0.007481297,3.0,(38|28)
0.007434944,2.0,(37|20)
0.007407407,1.0,(6|37)
0.007380074,2.0,(39|32)
0.007380074,2.0,(41|36)
0.007352941,1.0,(2|8)
0.007352941,1.0,(21|7)
