Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 295 | Tax Law-Partnership (jp:295,idx:144)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01190476,2.0,(45|15)
0.01183432,2.0,(4|19)
0.01176471,1.0,(48|3)
0.01174168,6.0,(6|28)
0.01171875,3.0,(6|36)
0.01169591,2.0,(5|36)
0.01167315,3.0,(31|49)
0.01162791,3.0,(35|32)
0.01152074,5.0,(22|27)
0.01145038,3.0,(36|18)
0.01140684,3.0,(5|10)
0.01140684,3.0,(5|11)
0.01136364,1.0,(45|33)
0.01129944,2.0,(40|49)
0.01123596,3.0,(40|37)
0.01120000,7.0,(13|27)
0.01119403,3.0,(3|15)
0.01117318,2.0,(33|31)
0.01111111,3.0,(6|19)
0.01104972,2.0,(41|14)
0.01098901,1.0,(46|10)
0.01090909,3.0,(13|41)
0.01086957,1.0,(8|17)
0.01086957,1.0,(8|32)
0.01081081,2.0,(3|46)
0.01078167,4.0,(43|26)
0.01075269,1.0,(2|34)
0.01070664,5.0,(39|35)
0.01058201,2.0,(2|33)
0.01052632,2.0,(42|38)
0.01047120,2.0,(2|47)
0.01043841,5.0,(34|37)
0.01041667,2.0,(4|14)
0.01041667,2.0,(4|15)
0.01041667,1.0,(16|16)
0.01036269,2.0,(10|8)
0.01030928,1.0,(35|45)
0.01025641,2.0,(28|18)
0.01025641,2.0,(29|17)
0.01025641,2.0,(40|14)
0.01015228,2.0,(6|27)
0.01013025,7.0,(39|38)
0.01000000,4.0,(40|19)
0.009950249,2.0,(25|3)
0.009940358,5.0,(21|34)
0.009852217,2.0,(3|26)
0.009815951,8.0,(23|49)
0.009815951,8.0,(36|26)
0.009708738,2.0,(1|10)
0.009708738,2.0,(2|10)
0.009708738,1.0,(6|15)
0.009708738,1.0,(45|37)
0.009584664,3.0,(48|6)
0.009569378,2.0,(42|20)
0.009569378,6.0,(42|25)
0.009523810,1.0,(11|28)
0.009404388,3.0,(33|26)
0.009404388,3.0,(34|12)
0.009389671,2.0,(12|29)
0.009389671,2.0,(15|29)
0.009345794,1.0,(3|49)
0.009273570,6.0,(15|19)
0.009259259,1.0,(11|47)
0.009216590,2.0,(6|22)
0.009132420,2.0,(27|10)
0.009090909,1.0,(0|34)
0.009090909,3.0,(17|27)
0.009090909,4.0,(29|24)
0.009090909,2.0,(38|36)
0.009077156,6.0,(36|33)
0.009049774,2.0,(45|7)
0.008992806,5.0,(38|48)
0.008955223,3.0,(33|27)
0.008928572,3.0,(7|19)
0.008928572,1.0,(22|1)
0.008849557,2.0,(7|17)
0.008771930,1.0,(2|22)
0.008771930,2.0,(7|21)
0.008746356,3.0,(45|39)
0.008658009,2.0,(1|9)
0.008658009,2.0,(2|9)
0.008658009,2.0,(36|0)
0.008620690,5.0,(18|22)
0.008620690,1.0,(20|24)
0.008620690,2.0,(42|19)
0.008587041,11.0,(47|49)
0.008583691,2.0,(26|18)
0.008565310,4.0,(12|28)
0.008438818,2.0,(35|12)
0.008403362,1.0,(2|32)
0.008403362,1.0,(15|32)
0.008368201,4.0,(15|46)
0.008310249,3.0,(17|29)
0.008298756,2.0,(15|22)
