Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 222 | Contracts (jp:222,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.008403362,2.0,(6|45)
0.008403362,1.0,(9|25)
0.008403362,2.0,(30|4)
0.008368201,2.0,(34|44)
0.008368201,2.0,(44|45)
0.008310249,6.0,(30|41)
0.008298756,4.0,(21|33)
0.008298756,2.0,(26|15)
0.008264462,3.0,(25|46)
0.008264462,1.0,(28|7)
0.008219178,3.0,(17|12)
0.008196721,3.0,(15|4)
0.008196721,1.0,(22|7)
0.008130081,3.0,(2|24)
0.008130081,4.0,(27|37)
0.008042895,3.0,(31|45)
0.007968128,2.0,(3|32)
0.007957560,3.0,(22|3)
0.007952286,4.0,(21|34)
0.007874016,1.0,(5|15)
0.007874016,1.0,(48|4)
0.007858546,4.0,(10|21)
0.007843138,2.0,(1|21)
0.007832898,3.0,(26|34)
0.007812500,1.0,(5|30)
0.007812500,1.0,(27|48)
0.007812500,1.0,(36|6)
0.007692308,2.0,(13|14)
0.007656968,5.0,(18|27)
0.007633588,1.0,(1|47)
0.007633588,1.0,(15|20)
0.007633588,2.0,(16|44)
0.007575758,1.0,(1|2)
0.007575758,2.0,(49|46)
0.007518797,2.0,(14|28)
0.007496252,5.0,(20|27)
0.007462686,1.0,(5|20)
0.007407407,1.0,(14|45)
0.007407407,1.0,(36|37)
0.007389163,3.0,(19|12)
0.007389163,3.0,(20|12)
0.007299270,1.0,(30|45)
0.007272727,2.0,(13|41)
0.007255139,6.0,(24|35)
0.007142857,1.0,(6|16)
0.007142857,2.0,(29|16)
0.007092198,1.0,(1|28)
0.007067138,2.0,(22|29)
0.007017544,2.0,(12|11)
0.006960557,3.0,(0|1)
0.006960557,3.0,(0|2)
0.006920415,2.0,(7|18)
0.006711409,2.0,(5|34)
0.006711409,1.0,(34|8)
0.006711409,1.0,(34|10)
0.006666667,1.0,(3|19)
0.006666667,1.0,(16|13)
0.006666667,1.0,(19|44)
0.006644518,2.0,(23|43)
0.006589786,4.0,(27|17)
0.006578947,1.0,(28|34)
0.006535948,1.0,(16|8)
0.006493506,1.0,(0|19)
0.006472492,2.0,(26|22)
0.006469501,7.0,(15|40)
0.006410256,1.0,(41|1)
0.006410256,1.0,(44|40)
0.006396588,3.0,(22|28)
0.006369427,2.0,(29|25)
0.006289308,1.0,(3|23)
0.006289308,1.0,(7|39)
0.006263048,6.0,(17|28)
0.006191950,2.0,(24|28)
0.006179197,6.0,(19|31)
0.006172840,1.0,(8|10)
0.006127451,5.0,(28|24)
0.006116208,2.0,(17|45)
0.006097561,2.0,(40|40)
0.006097561,1.0,(47|37)
0.006060606,1.0,(13|44)
0.005964215,3.0,(25|32)
0.005952381,1.0,(13|4)
0.005882353,1.0,(18|17)
0.005882353,1.0,(25|35)
0.005830904,2.0,(31|16)
0.005813953,1.0,(6|41)
0.005813953,2.0,(22|0)
0.005714286,1.0,(3|18)
0.005681818,1.0,(8|7)
0.005649718,2.0,(43|30)
0.005649718,2.0,(44|30)
0.005628518,3.0,(38|43)
0.005617978,1.0,(4|32)
0.005617978,2.0,(22|32)
0.005586592,1.0,(2|39)
0.005540166,2.0,(17|29)
0.005524862,1.0,(11|45)
0.005524862,1.0,(49|27)
0.005512679,5.0,(29|47)
0.005494506,1.0,(27|27)
0.005464481,1.0,(19|45)
0.005434783,1.0,(42|40)
0.005405406,1.0,(3|46)
0.005277045,2.0,(38|40)
0.005263158,1.0,(25|21)
0.005263158,1.0,(41|6)
0.005235602,1.0,(4|13)
0.005208333,1.0,(8|37)
0.005208333,1.0,(28|10)
0.005194805,2.0,(27|40)
0.005181347,2.0,(41|37)
0.005154639,1.0,(39|40)
0.005145798,3.0,(30|5)
0.005102041,1.0,(16|26)
0.005076142,1.0,(6|27)
0.005076142,2.0,(7|43)
0.005025126,1.0,(31|6)
0.005000000,2.0,(23|47)
0.004987531,2.0,(6|47)
0.004975124,1.0,(24|2)
0.004926108,1.0,(6|4)
0.004926108,1.0,(10|7)
0.004926108,3.0,(26|0)
0.004901961,1.0,(10|17)
0.004858300,6.0,(25|45)
0.004739337,1.0,(23|8)
0.004694836,1.0,(12|29)
0.004686036,5.0,(28|36)
0.004683841,2.0,(20|8)
0.004566210,1.0,(2|4)
0.004566210,1.0,(48|38)
0.004566210,1.0,(48|39)
0.004524887,1.0,(0|4)
0.004464286,1.0,(16|15)
0.004464286,1.0,(22|12)
0.004444445,2.0,(23|34)
0.004444445,3.0,(29|39)
0.004385965,1.0,(7|21)
0.004357298,2.0,(37|44)
0.004276550,6.0,(20|39)
0.004273504,1.0,(21|13)
0.004219409,1.0,(24|21)
0.004149378,1.0,(15|22)
0.004109589,3.0,(33|36)
0.004032258,1.0,(19|27)
0.003968254,3.0,(0|23)
0.003968254,1.0,(30|16)
0.003921569,1.0,(8|8)
0.003921569,1.0,(18|30)
0.003861004,1.0,(5|4)
0.003846154,1.0,(37|36)
0.003816794,1.0,(16|1)
0.003802281,1.0,(36|43)
0.003745318,1.0,(12|42)
0.003745318,1.0,(27|4)
0.003703704,2.0,(17|32)
0.003690037,1.0,(2|19)
0.003690037,1.0,(8|38)
0.003690037,1.0,(41|36)
0.003676471,1.0,(30|25)
0.003649635,1.0,(24|16)
0.003591954,5.0,(28|35)
0.003565062,2.0,(46|28)
0.003496503,1.0,(15|6)
0.003496503,1.0,(48|5)
0.003484321,1.0,(44|32)
0.003472222,1.0,(11|24)
0.003448276,1.0,(43|34)
0.003424658,1.0,(15|26)
0.003424658,1.0,(28|47)
0.003393665,3.0,(30|37)
0.003382187,3.0,(20|41)
0.003378378,1.0,(32|5)
0.003367003,2.0,(14|0)
0.003359463,3.0,(23|33)
0.003275109,3.0,(33|40)
0.003252032,2.0,(11|44)
0.003215434,1.0,(15|24)
0.003164557,1.0,(20|47)
0.003154574,1.0,(14|6)
0.003144654,2.0,(23|16)
0.003125000,1.0,(13|46)
0.003125000,1.0,(49|48)
0.003076923,1.0,(20|31)
0.003067485,1.0,(17|42)
0.003048780,1.0,(39|37)
0.003030303,1.0,(17|27)
0.002976191,1.0,(7|19)
0.002946955,3.0,(21|31)
0.002919708,2.0,(23|36)
0.002919708,2.0,(23|38)
0.002911208,2.0,(9|27)
0.002890173,1.0,(8|33)
0.002890173,1.0,(33|7)
0.002832861,1.0,(31|44)
0.002824859,1.0,(32|19)
0.002820875,2.0,(8|20)
0.002812939,2.0,(14|25)
0.002754821,1.0,(10|39)
0.002754821,1.0,(38|37)
0.002739726,1.0,(9|42)
0.002735978,2.0,(19|29)
0.002710027,1.0,(40|44)
0.002680965,2.0,(3|22)
0.002610966,1.0,(16|25)
0.002604167,1.0,(24|15)
0.002531646,2.0,(3|25)
0.002531646,1.0,(20|17)
0.002525253,1.0,(38|45)
0.002518892,1.0,(13|22)
0.002518892,1.0,(36|40)
0.002481390,1.0,(9|3)
0.002481390,1.0,(25|26)
0.002398082,1.0,(21|16)
0.002372479,2.0,(26|40)
0.002372479,2.0,(28|38)
0.002325581,1.0,(18|29)
0.002320186,2.0,(19|32)
0.002262444,2.0,(16|49)
0.002227172,1.0,(42|41)
0.002202643,1.0,(18|15)
0.002178649,1.0,(26|43)
0.002159827,1.0,(46|46)
0.002150538,2.0,(14|5)
0.002141328,1.0,(8|35)
0.002141328,1.0,(15|44)
0.002141328,1.0,(39|35)
0.002109705,1.0,(32|41)
0.002109705,1.0,(33|46)
